_id,Constituency No,Constituency Name,District Name,Winning Candidate,Sex,Age,Party,Constituency Type,Total Candidates,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %,Deposit Lost ?
423,38,YADGIR,YADGIR,SIDDRAMAPPA,M,37,IND,General,10,190536,119778,3141,62.86,2.62,1.15,Yes
424,38,YADGIR,YADGIR,BASANNAGOUDA NAIKAL,M,33,IND,General,10,190536,119778,1758,62.86,1.47,0.55,Yes
425,38,YADGIR,YADGIR,ANANTH REDDY KANDALLI,M,28,IND,General,10,190536,119778,1103,62.86,0.92,0.14,Yes
426,38,YADGIR,YADGIR,JALANDHAR RAO,M,41,IND,General,10,190536,119778,932,62.86,0.78,0.09,Yes
427,38,YADGIR,YADGIR,BASAVARAJ,M,43,BSP,General,10,190536,119778,826,62.86,0.69,0,Yes
428,38,YADGIR,YADGIR,VEER BASWANT REDDY  (Runner Up),M,61,KJP,General,10,190536,119778,31330,62.86,26.16,6.14,No
429,38,YADGIR,YADGIR,DR. MAALAKAREDDY  (Winner),M,75,INC,General,10,190536,119778,40434,62.86,33.76,7.6,No
430,39,GURMITKAL,YADGIR,BABURAO CHINCHANASOOR  (Winner),M,62,INC,General,17,203045,129030,36051,63.55,27.94,1.28,No
431,39,GURMITKAL,YADGIR,SABANNA,M,36,IND,General,17,203045,129030,1087,63.55,0.84,0.1,Yes
432,39,GURMITKAL,YADGIR,CHANDRASHEKHAR T. DASANKERI,M,27,IND,General,17,203045,129030,698,63.55,0.54,0.04,Yes
433,39,GURMITKAL,YADGIR,DR. DEVANAND KOLI,M,43,LJP,General,17,203045,129030,645,63.55,0.5,0.02,Yes
434,39,GURMITKAL,YADGIR,P.KANNAYYA,M,38,IND,General,17,203045,129030,615,63.55,0.48,0,Yes
435,39,GURMITKAL,YADGIR,NAGANA GOUDA KANDAKURA  (Runner Up),M,67,JD(S),General,17,203045,129030,34401,63.55,26.66,1.58,No
436,39,GURMITKAL,YADGIR,VENKATAREDDY VISHWANATHREDDY MUDNAL,M,58,KJP,General,17,203045,129030,32362,63.55,25.08,17.49,No
437,39,GURMITKAL,YADGIR,GIRISH MATTENNAVAR,M,35,BJP,General,17,203045,129030,9795,63.55,7.59,4.16,Yes
438,39,GURMITKAL,YADGIR,SHAIK MEHABOOB,M,42,IND,General,17,203045,129030,4432,63.55,3.43,1.99,Yes
439,39,GURMITKAL,YADGIR,BABU CHAVHAN,M,36,BSRCP,General,17,203045,129030,1860,63.55,1.44,0.45,Yes
440,39,GURMITKAL,YADGIR,SATHYANARAYANA YADAV,M,54,SP,General,17,203045,129030,1277,63.55,0.99,0.05,Yes
441,39,GURMITKAL,YADGIR,KRISHNA BHIMARAO BADIGERA,M,38,IND,General,17,203045,129030,953,63.55,0.74,0.04,Yes
442,39,GURMITKAL,YADGIR,MALLIKARJUN M.KANTIMANI,M,42,IND,General,17,203045,129030,895,63.55,0.69,0.06,Yes
443,39,GURMITKAL,YADGIR,SHALINI LOUIS KORI,F,37,IND,General,17,203045,129030,824,63.55,0.64,0.02,Yes
444,39,GURMITKAL,YADGIR,SANJIVKUMAR MADIVAL,M,33,KMP,General,17,203045,129030,804,63.55,0.62,0.08,Yes
445,39,GURMITKAL,YADGIR,SHIVALINGAPPA KINNURA,M,71,BSP,General,17,203045,129030,1211,63.55,0.94,0.07,Yes
446,39,GURMITKAL,YADGIR,ANILKUMAR,M,31,IND,General,17,203045,129030,1120,63.55,0.87,0.03,Yes
447,40,CHITTAPUR,GULBARGA,PRIYANK M. KHARGE  (Winner),M,34,INC,SC,9,190429,123716,69379,64.97,56.08,25.21,No
448,40,CHITTAPUR,GULBARGA,VALMIKI NAIK  (Runner Up),M,65,BJP,SC,9,190429,123716,38188,64.97,30.87,23.11,No
449,40,CHITTAPUR,GULBARGA,GURUNATH,M,65,KJP,SC,9,190429,123716,9596,64.97,7.76,6.51,Yes
450,40,CHITTAPUR,GULBARGA,RAJU MUKKANNA WADI,M,46,IND,SC,9,190429,123716,1546,64.97,1.25,0.19,Yes
451,40,CHITTAPUR,GULBARGA,AYYAPPA RAMATEERTH,M,34,BSP,SC,9,190429,123716,1310,64.97,1.06,0.17,Yes
452,40,CHITTAPUR,GULBARGA,DHANALAXMI RATHOD,F,48,WPOI,SC,9,190429,123716,1103,64.97,0.89,0.1,Yes
453,40,CHITTAPUR,GULBARGA,MAHESH KASHI,M,29,IND,SC,9,190429,123716,982,64.97,0.79,0.02,Yes
454,40,CHITTAPUR,GULBARGA,TIPPANNA ODEYARAJ,M,26,JD(S),SC,9,190429,123716,955,64.97,0.77,0.24,Yes
455,40,CHITTAPUR,GULBARGA,RAMADEVI R MADGI,F,34,IND,SC,9,190429,123716,657,64.97,0.53,0,Yes
456,41,SEDAM,GULBARGA,SHANKAR BANDI,M,32,JD(U),General,13,185201,135976,420,73.42,0.31,0.01,Yes
457,41,SEDAM,GULBARGA,SHIVSHARNAPPA MAILARI,M,42,BSP,General,13,185201,135976,1589,73.42,1.17,0.33,Yes
458,41,SEDAM,GULBARGA,VAIJNATH PATIL,M,74,KJP,General,13,185201,135976,6148,73.42,4.52,3.03,Yes
459,41,SEDAM,GULBARGA,JAGANNATH REDDY NAGAREDDY GOTUR,M,46,IND,General,13,185201,135976,535,73.42,0.39,0.08,Yes
460,41,SEDAM,GULBARGA,KANNAYYA MADANA DESHMUKH,M,57,BSRCP,General,13,185201,135976,412,73.42,0.3,0.04,Yes
461,41,SEDAM,GULBARGA,GUNDAPPA R. MUKRAMBI,M,51,IND,General,13,185201,135976,352,73.42,0.26,0,Yes
462,41,SEDAM,GULBARGA,DR SHARANPRAKASH PATIL  (Winner),M,46,INC,General,13,185201,135976,53546,73.42,39.38,8.75,No
463,41,SEDAM,GULBARGA,VENKATESH MARUTI MENGAJI,M,48,IND,General,13,185201,135976,2034,73.42,1.5,0.33,Yes
464,41,SEDAM,GULBARGA,AMRUTAPPA,M,58,SP,General,13,185201,135976,353,73.42,0.26,0,Yes
465,41,SEDAM,GULBARGA,MUKRAM KHAN,M,55,JD(S),General,13,185201,135976,27047,73.42,19.89,15.37,No
466,41,SEDAM,GULBARGA,MOHAMMED ALI (BABA SAHEB),M,41,IND,General,13,185201,135976,1141,73.42,0.84,0.29,Yes
467,41,SEDAM,GULBARGA,RAJKUMAR PATIL  (Runner Up),M,38,BJP,General,13,185201,135976,41651,73.42,30.63,10.74,No
468,41,SEDAM,GULBARGA,MUKUND REDDY NAGAREDDY,M,37,IND,General,13,185201,135976,748,73.42,0.55,0.16,Yes
469,42,CHINCHOLI,GULBARGA,DR UMESH G JADAV  (Winner),M,54,INC,SC,12,169337,112983,58599,66.72,51.87,23.07,No
470,42,CHINCHOLI,GULBARGA,VITHAL KERI AMBALGA,M,61,BSRCP,SC,12,169337,112983,308,66.72,0.27,0,Yes
471,42,CHINCHOLI,GULBARGA,MALLIKARJUN GAJRE,M,48,JD(S),SC,12,169337,112983,1218,66.72,1.08,0.48,Yes
472,42,CHINCHOLI,GULBARGA,GOPAL L RATTOD,M,28,SP,SC,12,169337,112983,448,66.72,0.4,0.12,Yes
473,42,CHINCHOLI,GULBARGA,GOUTAM B BOMNALLI,M,27,BSP,SC,12,169337,112983,1374,66.72,1.22,0.08,Yes
474,42,CHINCHOLI,GULBARGA,SUNIL MOTHILAL,M,28,IND,SC,12,169337,112983,3081,66.72,2.73,1.51,Yes
475,42,CHINCHOLI,GULBARGA,SANDEEP CHAWAN,M,26,IND,SC,12,169337,112983,1288,66.72,1.14,0.06,Yes
476,42,CHINCHOLI,GULBARGA,SUNIL VALLYAPUR  (Runner Up),M,47,KJP,SC,12,169337,112983,32539,66.72,28.8,17.88,No
477,42,CHINCHOLI,GULBARGA,DR. OMRAJ RATTOD,M,35,IND,SC,12,169337,112983,588,66.72,0.52,0.05,Yes
478,42,CHINCHOLI,GULBARGA,VENKATESHWARAO KUPAVAT,M,29,JD(U),SC,12,169337,112983,678,66.72,0.6,0.08,Yes
479,42,CHINCHOLI,GULBARGA,RAMESH YAKAPUR,M,58,BJP,SC,12,169337,112983,12333,66.72,10.92,8.19,Yes
480,42,CHINCHOLI,GULBARGA,BASAVARAJ. M. WADI,M,36,IND,SC,12,169337,112983,529,66.72,0.47,0.07,Yes
481,43,GULBARGA RURAL,GULBARGA,G.RAMKRISHNA  (Winner),M,72,INC,SC,15,211123,123418,40075,58.46,32.47,5.84,No
482,43,GULBARGA RURAL,GULBARGA,D.G.SAGAR,M,56,JD(S),SC,15,211123,123418,8612,58.46,6.98,3.17,Yes
483,43,GULBARGA RURAL,GULBARGA,LAXMAN KISHAN RATHOD,M,38,BHPP,SC,15,211123,123418,612,58.46,0.5,0.02,Yes
484,43,GULBARGA RURAL,GULBARGA,AMBARAYA S.BELAMGI,M,39,BSP,SC,15,211123,123418,1584,58.46,1.28,0.13,Yes
485,43,GULBARGA RURAL,GULBARGA,SATISH BASAVARAJ SHINDE,M,28,IND,SC,15,211123,123418,1426,58.46,1.16,0.5,Yes
486,43,GULBARGA RURAL,GULBARGA,SHIVASHARANPPA,M,39,IND,SC,15,211123,123418,556,58.46,0.45,0.04,Yes
487,43,GULBARGA RURAL,GULBARGA,MASTAN C.DANDE,M,39,RPI(A),SC,15,211123,123418,693,58.46,0.56,0.07,Yes
488,43,GULBARGA RURAL,GULBARGA,BABURAO CHAUHAN,M,57,KJP,SC,15,211123,123418,26612,58.46,21.56,14.58,No
489,43,GULBARGA RURAL,GULBARGA,REVUNAYAK BELAMGI  (Runner Up),M,72,BJP,SC,15,211123,123418,32866,58.46,26.63,5.07,No
490,43,GULBARGA RURAL,GULBARGA,NIGANNA S. JAMBAGI,M,27,SUCI,SC,15,211123,123418,1673,58.46,1.36,0.07,Yes
491,43,GULBARGA RURAL,GULBARGA,T.N.RATHOD,M,72,IND,SC,15,211123,123418,805,58.46,0.65,0.09,Yes
492,43,GULBARGA RURAL,GULBARGA,NAGENDRAPPA HANMANTH VADDAR NANDIKUR,M,51,IND,SC,15,211123,123418,589,58.46,0.48,0.03,Yes
493,43,GULBARGA RURAL,GULBARGA,BABUHONNA NAIK,M,59,BSRCP,SC,15,211123,123418,2113,58.46,1.71,0.36,Yes
494,43,GULBARGA RURAL,GULBARGA,GOPINATH GHANU,M,63,IND,SC,15,211123,123418,508,58.46,0.41,0,Yes
495,43,GULBARGA RURAL,GULBARGA,AMBALGI MARUTI MANPADE,M,56,CPM,SC,15,211123,123418,4694,58.46,3.8,2.09,Yes
496,44,GULBARGA DAKSHIN,GULBARGA,ABDUL WAHAB KHAN,M,46,IND,General,26,211956,117303,351,55.34,0.3,0,Yes
497,44,GULBARGA DAKSHIN,GULBARGA,A. B. HOSMANI,M,45,RPI(A),General,26,211956,117303,231,55.34,0.2,0.01,Yes
498,44,GULBARGA DAKSHIN,GULBARGA,SYAD USMAN PASHA,M,42,IND,General,26,211956,117303,348,55.34,0.3,0.04,Yes
499,44,GULBARGA DAKSHIN,GULBARGA,VASUDEV RAO BHEEMRAO,M,32,BSP,General,26,211956,117303,1444,55.34,1.23,0.63,Yes
500,44,GULBARGA DAKSHIN,GULBARGA,KAILASH VEERENDRA PATIL,M,62,INC,General,26,211956,117303,22074,55.34,18.82,0.01,No
501,44,GULBARGA DAKSHIN,GULBARGA,S.K.KANTA,M,73,KJP,General,26,211956,117303,22065,55.34,18.81,17.58,No
502,44,GULBARGA DAKSHIN,GULBARGA,SANDEEP. S. PATIL,M,31,IND,General,26,211956,117303,292,55.34,0.25,0.01,Yes
503,44,GULBARGA DAKSHIN,GULBARGA,ABDUL HAMEED QURESHI,M,31,IUML,General,26,211956,117303,379,55.34,0.32,0,Yes
504,44,GULBARGA DAKSHIN,GULBARGA,SHASHIKANTH R.DIKSHITH,M,51,IND,General,26,211956,117303,296,55.34,0.25,0,Yes
505,44,GULBARGA DAKSHIN,GULBARGA,DATTATRAYA C. PATIL REVOOR (APPU GOUDA)  (Winner),M,31,BJP,General,26,211956,117303,36850,55.34,31.41,8.5,No
506,44,GULBARGA DAKSHIN,GULBARGA,BASAVARAJ CHINCHOLLI,M,59,IND,General,26,211956,117303,463,55.34,0.39,0.04,Yes
507,44,GULBARGA DAKSHIN,GULBARGA,MAHAMD JAKEER HUSEN (BADEBAHI),M,45,IND,General,26,211956,117303,534,55.34,0.46,0.06,Yes
508,44,GULBARGA DAKSHIN,GULBARGA,V. NAGAMMAL,F,48,SUCI,General,26,211956,117303,418,55.34,0.36,0.03,Yes
509,44,GULBARGA DAKSHIN,GULBARGA,GURUDEVAPPA S. NARONI,M,36,IND,General,26,211956,117303,375,55.34,0.32,0.02,Yes
510,44,GULBARGA DAKSHIN,GULBARGA,POOJARI DHARMAVEER S. PATTAN,M,52,IND,General,26,211956,117303,708,55.34,0.6,0.1,Yes
511,44,GULBARGA DAKSHIN,GULBARGA,DINAKAR RAO NARAYAN RAO KULKARNI,M,50,IND,General,26,211956,117303,591,55.34,0.5,0.01,Yes
512,44,GULBARGA DAKSHIN,GULBARGA,SHASHIL.G.NAMOSHI  (Runner Up),M,57,JD(S),General,26,211956,117303,26880,55.34,22.92,4.1,No
513,44,GULBARGA DAKSHIN,GULBARGA,GURUSHANT PATTEDAR,M,59,IND,General,26,211956,117303,558,55.34,0.48,0,Yes
514,44,GULBARGA DAKSHIN,GULBARGA,HANMANTHRAYA.M.PUJARI,M,47,IND,General,26,211956,117303,278,55.34,0.24,0.04,Yes
515,44,GULBARGA DAKSHIN,GULBARGA,KARIKAL SANJEEV KUMAR,M,37,IND,General,26,211956,117303,233,55.34,0.2,0,Yes
516,44,GULBARGA DAKSHIN,GULBARGA,VENKATESH DOREPALLI,M,43,IND,General,26,211956,117303,555,55.34,0.47,0.02,Yes
517,44,GULBARGA DAKSHIN,GULBARGA,BASHEER ALAM,M,56,INL,General,26,211956,117303,222,55.34,0.19,0.06,Yes
518,44,GULBARGA DAKSHIN,GULBARGA,VEERESH G.RATHOD (ISHWAR),M,26,AIFB(S),General,26,211956,117303,137,55.34,0.12,0,Yes
519,44,GULBARGA DAKSHIN,GULBARGA,PARVATI JAGANNATH CHAVAN,F,39,NDEP,General,26,211956,117303,146,55.34,0.12,0.01,Yes
520,44,GULBARGA DAKSHIN,GULBARGA,VINOD KUMAR ANAVARKAR,M,33,IND,General,26,211956,117303,297,55.34,0.25,0,Yes
521,44,GULBARGA DAKSHIN,GULBARGA,R.D.KATTIMANI,M,60,SAJP,General,26,211956,117303,578,55.34,0.49,0.02,Yes
522,45,GULBARGA UTTAR,GULBARGA,KALYANRAO AMBALGI,M,41,BSRCP,General,14,208698,104839,339,50.23,0.32,0.01,Yes
523,45,GULBARGA UTTAR,GULBARGA,DATTATRAYA CHOWDHARY,M,47,JD(U),General,14,208698,104839,296,50.23,0.28,0.1,Yes
524,45,GULBARGA UTTAR,GULBARGA,NASIR HUSSAIN USTAD  (Runner Up),M,36,KJP,General,14,208698,104839,30377,50.23,28.97,11.19,No
525,45,GULBARGA UTTAR,GULBARGA,RAJGOPAL REDDY,M,52,BJP,General,14,208698,104839,18642,50.23,17.78,16.65,No
526,45,GULBARGA UTTAR,GULBARGA,QAMAR UL ISLAM  (Winner),M,66,INC,General,14,208698,104839,50498,50.23,48.17,19.19,No
527,45,GULBARGA UTTAR,GULBARGA,MD NOOH,M,48,IUML,General,14,208698,104839,194,50.23,0.19,0.03,Yes
528,45,GULBARGA UTTAR,GULBARGA,SHAUKAT ALI,M,44,SP,General,14,208698,104839,167,50.23,0.16,0,Yes
529,45,GULBARGA UTTAR,GULBARGA,SYED ZAFAR HUSSAIN,M,45,JD(S),General,14,208698,104839,1189,50.23,1.13,0.41,Yes
530,45,GULBARGA UTTAR,GULBARGA,SYEDA RAZIYA BEGUM,F,46,IND,General,14,208698,104839,764,50.23,0.73,0.1,Yes
531,45,GULBARGA UTTAR,GULBARGA,ABDUL HAMEED FARAAN,M,71,WPOI,General,14,208698,104839,572,50.23,0.55,0.14,Yes
532,45,GULBARGA UTTAR,GULBARGA,SHAMALA,F,40,IND,General,14,208698,104839,420,50.23,0.4,0.02,Yes
533,45,GULBARGA UTTAR,GULBARGA,VASANT,M,29,IND,General,14,208698,104839,330,50.23,0.31,0.03,Yes
534,45,GULBARGA UTTAR,GULBARGA,ABDUL RAHEEM PATEL,M,34,SDPI,General,14,208698,104839,654,50.23,0.62,0.08,Yes
535,45,GULBARGA UTTAR,GULBARGA,PRAKASH K.SUTAR,M,44,IND,General,14,208698,104839,397,50.23,0.38,0.06,Yes
536,46,ALAND,GULBARGA,ZAHER ANSARI,M,35,IND,General,13,192986,132385,516,68.6,0.39,0.01,Yes
537,46,ALAND,GULBARGA,GUTTEDAR SUBHASH RUKMAYYA  (Runner Up),M,61,JD(S),General,13,192986,132385,49971,68.6,37.75,34.79,No
538,46,ALAND,GULBARGA,SIDDANNA MASTER SHEGAJI,M,68,INC,General,13,192986,132385,3912,68.6,2.96,1.26,Yes
539,46,ALAND,GULBARGA,RAMCHANDRA SHANKRAO PATIL,M,43,BSP,General,13,192986,132385,505,68.6,0.38,0.06,Yes
540,46,ALAND,GULBARGA,BABURAO HANAMANT NAGURE,M,50,IND,General,13,192986,132385,1865,68.6,1.41,0.4,Yes
541,46,ALAND,GULBARGA,D.K. KOKADE,M,36,RSPS,General,13,192986,132385,1336,68.6,1.01,0.38,Yes
542,46,ALAND,GULBARGA,SHANKARAO R. PATIL,M,70,IND,General,13,192986,132385,2239,68.6,1.69,0.07,Yes
543,46,ALAND,GULBARGA,K.M. BURLE,M,30,SP,General,13,192986,132385,812,68.6,0.61,0.06,Yes
544,46,ALAND,GULBARGA,B.R. PATIL  (Winner),M,63,KJP,General,13,192986,132385,67085,68.6,50.67,12.93,No
545,46,ALAND,GULBARGA,KARABASHTI SIDRAMAPPA NAGAPPA,M,49,IND,General,13,192986,132385,734,68.6,0.55,0.16,Yes
546,46,ALAND,GULBARGA,BASAVARAJ N. PAVADSHETTY,M,50,BJP,General,13,192986,132385,2144,68.6,1.62,0.21,Yes
547,46,ALAND,GULBARGA,S.M. HIREMATH,M,32,NCP,General,13,192986,132385,431,68.6,0.33,0,Yes
548,46,ALAND,GULBARGA,UDAYAKUMAR G. BIRADAR,M,30,BSRCP,General,13,192986,132385,835,68.6,0.63,0.02,Yes
549,47,BASAVAKALYAN,BIDAR,MULEY DNYANESHWAR,M,42,IND,General,17,198007,126172,514,63.72,0.41,0.13,Yes
550,47,BASAVAKALYAN,BIDAR,CHITAGUPPA MAHADEVI SHAMARAO,F,29,IND,General,17,198007,126172,798,63.72,0.63,0.1,Yes
551,47,BASAVAKALYAN,BIDAR,SHAHAJIRAO,M,47,IND,General,17,198007,126172,896,63.72,0.71,0.05,Yes
552,47,BASAVAKALYAN,BIDAR,SYED ANWAR (PEERAN),M,28,IND,General,17,198007,126172,834,63.72,0.66,0.03,Yes
553,47,BASAVAKALYAN,BIDAR,MALLIKARJUN,M,43,NPP,General,17,198007,126172,553,63.72,0.44,0.03,Yes
554,47,BASAVAKALYAN,BIDAR,ABDUL RAZAQ,M,32,BSP,General,17,198007,126172,1489,63.72,1.18,0.47,Yes
555,47,BASAVAKALYAN,BIDAR,MALLIKARJUN SIDRAMAPPA KHUBA  (Winner),M,36,JD(S),General,17,198007,126172,37494,63.72,29.72,12.6,No
556,47,BASAVAKALYAN,BIDAR,B. NARAYANRAO  (Runner Up),M,58,INC,General,17,198007,126172,21601,63.72,17.12,2.68,No
557,47,BASAVAKALYAN,BIDAR,M.G.MULEY,M,64,BSRCP,General,17,198007,126172,18214,63.72,14.44,0.2,Yes
558,47,BASAVAKALYAN,BIDAR,ATTUR MALLAMMA PATIL,F,51,KJP,General,17,198007,126172,17965,63.72,14.24,0.42,Yes
559,47,BASAVAKALYAN,BIDAR,SYED GOUSE,M,35,HJP,General,17,198007,126172,317,63.72,0.25,0,Yes
560,47,BASAVAKALYAN,BIDAR,SARDAR KHAN,M,49,WPOI,General,17,198007,126172,2742,63.72,2.17,0.12,Yes
561,47,BASAVAKALYAN,BIDAR,JAGANATH PATIL,M,58,IND,General,17,198007,126172,2595,63.72,2.06,0.71,Yes
562,47,BASAVAKALYAN,BIDAR,MALLAMMA BIRADAR,F,41,IND,General,17,198007,126172,1701,63.72,1.35,0.17,Yes
563,47,BASAVAKALYAN,BIDAR,A.MILIND GURUJI,M,59,RPI,General,17,198007,126172,673,63.72,0.53,0.1,Yes
564,47,BASAVAKALYAN,BIDAR,ARUNKUMAR,M,41,IND,General,17,198007,126172,355,63.72,0.28,0.03,Yes
565,47,BASAVAKALYAN,BIDAR,SANJAY D PATWARI,M,50,BJP,General,17,198007,126172,17431,63.72,13.82,11.64,Yes
566,48,HOMNABAD,BIDAR,NARASAPPA LACHAPPA MUTTANGI,M,73,IND,General,12,206145,136013,601,65.98,0.44,0.03,Yes
567,48,HOMNABAD,BIDAR,RAJASHEKHAR BASAVARAJ PATIL  (Winner),M,49,INC,General,12,206145,136013,64694,65.98,47.56,18.01,No
568,48,HOMNABAD,BIDAR,M. NASEENODDIN PATEL  (Runner Up),M,51,JD(S),General,12,206145,136013,40194,65.98,29.55,23.6,No
569,48,HOMNABAD,BIDAR,ANKUSH LINGAPPA CHITTA,M,42,BSP,General,12,206145,136013,8093,65.98,5.95,1.09,Yes
570,48,HOMNABAD,BIDAR,PADMAKAR PATIL,M,48,BJP,General,12,206145,136013,6604,65.98,4.86,0.67,Yes
571,48,HOMNABAD,BIDAR,MEER ASHREEFALI MEER SYEDALI,M,50,KJP,General,12,206145,136013,5695,65.98,4.19,0.34,Yes
572,48,HOMNABAD,BIDAR,BANKREDDY PRABHUREDDY,M,26,BSRCP,General,12,206145,136013,5238,65.98,3.85,2.32,Yes
573,48,HOMNABAD,BIDAR,RAVIKANTH K. HUGAR,M,42,IND,General,12,206145,136013,2076,65.98,1.53,0.67,Yes
574,48,HOMNABAD,BIDAR,ISMAIL MAHEBOOBSAB,M,36,NPP,General,12,206145,136013,1164,65.98,0.86,0.32,Yes
575,48,HOMNABAD,BIDAR,PARAMESHWAR RAMCHANDRA,M,44,IND,General,12,206145,136013,729,65.98,0.54,0.09,Yes
576,48,HOMNABAD,BIDAR,ASHOK CHANDRAKANT SAGAR,M,32,IND,General,12,206145,136013,560,65.98,0.41,0.14,Yes
577,48,HOMNABAD,BIDAR,LAXAMAN GURAPPA,M,41,RPI(A),General,12,206145,136013,365,65.98,0.27,0,Yes
578,49,BIDAR SOUTH,BIDAR,DR. BASWARAJ PATIL,M,53,BJP,General,21,181107,124857,1301,68.94,1.04,0.12,Yes
579,49,BIDAR SOUTH,BIDAR,DR. ABDUL KAREEM,M,30,LSP,General,21,181107,124857,1156,68.94,0.93,0.12,Yes
580,49,BIDAR SOUTH,BIDAR,ZAMEERUDDIN,M,59,NDEP,General,21,181107,124857,1002,68.94,0.8,0,Yes
581,49,BIDAR SOUTH,BIDAR,ASHOK KHENY  (Winner),M,62,KMP,General,21,181107,124857,47763,68.94,38.25,12.64,No
582,49,BIDAR SOUTH,BIDAR,BABURAO HONNA,M,58,CPI,General,21,181107,124857,999,68.94,0.8,0.12,Yes
583,49,BIDAR SOUTH,BIDAR,ABRAHAM T.J.,M,52,IND,General,21,181107,124857,846,68.94,0.68,0.01,Yes
584,49,BIDAR SOUTH,BIDAR,PRAVEENKUMAR R.,M,30,BSRCP,General,21,181107,124857,829,68.94,0.66,0.03,Yes
585,49,BIDAR SOUTH,BIDAR,ALI KHAN (DON),M,49,ABML(S),General,21,181107,124857,794,68.94,0.64,0.07,Yes
586,49,BIDAR SOUTH,BIDAR,SHARAFODDIN,M,58,IND,General,21,181107,124857,712,68.94,0.57,0.09,Yes
587,49,BIDAR SOUTH,BIDAR,VASANTH,M,47,IND,General,21,181107,124857,604,68.94,0.48,0.05,Yes
588,49,BIDAR SOUTH,BIDAR,NARSAPPA,M,85,IND,General,21,181107,124857,537,68.94,0.43,0.04,Yes
589,49,BIDAR SOUTH,BIDAR,SHANKAR MARUTI FIRANGE,M,57,RPI,General,21,181107,124857,488,68.94,0.39,0.07,Yes
590,49,BIDAR SOUTH,BIDAR,BHASKER BABU PATERPALLI,M,57,ANC,General,21,181107,124857,403,68.94,0.32,0.04,Yes
591,49,BIDAR SOUTH,BIDAR,PRABHU,M,46,IND,General,21,181107,124857,350,68.94,0.28,0.03,Yes
592,49,BIDAR SOUTH,BIDAR,BANDEPPA KHASHEMPUR  (Runner Up),M,49,JD(S),General,21,181107,124857,31975,68.94,25.61,12.78,No
593,49,BIDAR SOUTH,BIDAR,HASIM,M,41,BPJP,General,21,181107,124857,310,68.94,0.25,0.07,Yes
594,49,BIDAR SOUTH,BIDAR,BASHEERMIYA,M,36,IND,General,21,181107,124857,225,68.94,0.18,0,Yes
595,49,BIDAR SOUTH,BIDAR,ABDUL MANNAN,M,47,BSP,General,21,181107,124857,16015,68.94,12.83,3.57,Yes
596,49,BIDAR SOUTH,BIDAR,DR. SHAYALENDRA KASHINATH BELDALE,M,39,KJP,General,21,181107,124857,11560,68.94,9.26,5.17,Yes
597,49,BIDAR SOUTH,BIDAR,MEENAKSHI SANGRAM,F,43,INC,General,21,181107,124857,5105,68.94,4.09,2.58,Yes
598,49,BIDAR SOUTH,BIDAR,AMRUTHRAO CHIMKODE,M,57,IND,General,21,181107,124857,1883,68.94,1.51,0.47,Yes
599,50,BIDAR,BIDAR,GURUPADAPPA NAGAMARPALLI  (Winner),M,71,KJP,General,18,190262,112971,50718,59.38,44.89,2.28,No
600,50,BIDAR,BIDAR,ABDUL JAMEEL KHAN,M,41,IND,General,18,190262,112971,362,59.38,0.32,0.07,Yes
601,50,BIDAR,BIDAR,PRABHU,M,46,IND,General,18,190262,112971,288,59.38,0.25,0,Yes
602,50,BIDAR,BIDAR,SAYED HAJI PASHA,M,35,IND,General,18,190262,112971,288,59.38,0.25,0.01,Yes
603,50,BIDAR,BIDAR,S. S. ISLAM,M,50,IND,General,18,190262,112971,274,59.38,0.24,0.01,Yes
604,50,BIDAR,BIDAR,ISHWAR HADHENAVAR,M,43,IND,General,18,190262,112971,258,59.38,0.23,0.01,Yes
605,50,BIDAR,BIDAR,KONDIBA RAO GOPAL RAO PANDRE,M,53,IND,General,18,190262,112971,249,59.38,0.22,0.02,Yes
606,50,BIDAR,BIDAR,SHAIKH HAJI,M,49,IND,General,18,190262,112971,228,59.38,0.2,0.04,Yes
607,50,BIDAR,BIDAR,DR. AMAR AVINASH YEROLKAR,M,44,JD(S),General,18,190262,112971,2420,59.38,2.14,0.83,Yes
608,50,BIDAR,BIDAR,PANDARI,M,65,PPOI,General,18,190262,112971,1485,59.38,1.31,0.7,Yes
609,50,BIDAR,BIDAR,ANILKUMAR GUNDAPPA,M,41,BSRCP,General,18,190262,112971,693,59.38,0.61,0.13,Yes
610,50,BIDAR,BIDAR,KHAYAMUDDIN,M,29,NDEP,General,18,190262,112971,549,59.38,0.49,0.11,Yes
611,50,BIDAR,BIDAR,ABDUL FAYAZ KHAN,M,27,NCP,General,18,190262,112971,429,59.38,0.38,0.06,Yes
612,50,BIDAR,BIDAR,CHANDRASHEKER MADEPPA PASARGI,M,38,IND,General,18,190262,112971,362,59.38,0.32,0,Yes
613,50,BIDAR,BIDAR,RAHEEM KHAN  (Runner Up),M,47,INC,General,18,190262,112971,48147,59.38,42.62,37.41,No
614,50,BIDAR,BIDAR,RAMESH KUMAR PANDE,M,67,BJP,General,18,190262,112971,5888,59.38,5.21,3.07,Yes
615,50,BIDAR,BIDAR,ESHWAR KANARI,M,62,IND,General,18,190262,112971,154,59.38,0.14,0,Yes
616,50,BIDAR,BIDAR,PENINA,F,30,IND,General,18,190262,112971,179,59.38,0.16,0.02,Yes
