,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
235,Kanakagiri,B Jnanasundar,61,0,1938000.0,,PUC (Science) Anjuman College Dharwad 1983-84,SC,Koppal,Social service,House wife,Social Work / Activism,Not Given,IND,396.0,M,AnhYeD48,2023,Higher Secondary Education
236,Kunigal,B B Ramaswamy Gowda,67,1,663030362.0,91160319.0,"Bachelor of Arts, Mysore University, 1977-78",GEN,Tumkur,Agriculture and Business,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,IND,561.0,M,Tdnyz74M,2023,Graduate
237,Tiptur,B N Vijayakumar,46,0,12720964.0,54460422.0,PUC Kalpataru PU college Tiptur 1994-95,GEN,Tumkur,Agriculture and business,house wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,IND,256.0,M,DZq45Dmj,2023,Higher Secondary Education
238,Sidlaghatta,B N Ravikumar,54,0,22565901.0,20000.0,"7th passed government higher primary school , maloor in 1987-88",GEN,Chikkaballapur,Agriculture,House wife,Agriculture / Farming,Not Given,JD(S),68932.0,M,QcBZ84ia,2023,Primary Education
239,Jayanagar,B Ramamurthy,59,0,357000.0,,SSLC in 1981,GEN,B.B.M.P(South),Business,No,Business / Entrepreneurship,Cound't Classify,IND,203.0,M,JRz2czst,2023,Higher Secondary Education
240,Harihar,B P Harish,62,0,57339331.0,12341925.0,B.A- M.S.B.College Davangere -1981,GEN,Davangere,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,BJP,63924.0,M,JWmcAnzG,2023,Graduate
241,Harihar,B S Ujjanappa,53,0,6457390.0,55000.0,"High School , DRM School Harihara 1977-1980",GEN,Davangere,Agriculture and social service,House wife,"Agriculture / Farming, Social Work / Activism",Not Given,IND,140.0,M,E4Y8X3Je,2023,Secondary Education
242,Hosakote,B Sonnappa,63,0,36682000.0,,"Secondary School Leaving Certificate, Vivekananda High School, Sulibele 1977 78, Karnataka Higher Education Board",GEN,Bangalore Rural,Agriculture and Business,Self Employed,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,KRS,225.0,M,TY62BwxU,2023,Secondary Education
243,Pulakeshinagar,B R Bhaskar Prasad,47,6,12907468.0,511000.0,"Diploma in Electrical Engineering from SJ Polytecnic Bangalore in 1997, Diploma in Performing Arts from Rangashikshana Nelamangala in 1996",SC,B.B.M.P(North),Commercial Artist,House Wife,Arts / Entertainment,Cound't Classify,SDPI,4102.0,M,TiY3p5Bk,2023,Diploma Holder
244,Hiriyur,B Shashikala,46,0,18324055.0,1793233.0,SSLC Gyanajyothi Village High school Chithrdurga 1993,GEN,Chitradurga,House wife,Retired post officer,Not Given,Politics / Public Service,IND,319.0,M,XnZAG6tq,2023,Higher Secondary Education
245,Govindraj Nagar,B R Shashikumar,60,0,112279.0,,"9th Class Pass, Gandhinagar Higher Secondary School, Higher Education board Bengaluru - 1981-82",GEN,B.B.M.P(South),Retired from Private Company,Lab Attender in Private College,Unknown,"Education / Academia, Information Technology",KRS,183.0,M,efhVEhB5,2023,Secondary Education
246,Belur,B Shivaramu,74,0,41610613.0,2900000.0,"B.A., LLB from Mysore University, Govt Law College, Bangalore University In 1970-71",GEN,Hassan,Agriculture and social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,INC,55835.0,M,me4Cgawu,2023,Graduate
247,Sidlaghatta,B S Moulajan,43,0,422000.0,,10th from Shri Saraswathi Convent High School 1998,GEN,Chikkaballapur,Auto Ride,House Wife,Cound't Classify,Cound't Classify,AAP,1387.0,M,PQ7yJAMG,2023,Secondary Education
248,T.Narasipur,B R Puttaswamy,55,0,38052000.0,120000.0,M.A. Mysore University in 1993-94,SC,Mysore,Agriculture,House wife,Agriculture / Farming,Not Given,BSP,992.0,M,CzjU6FsK,2023,Postgraduate
249,Mangalore City North,B Praveen Chandra Rao,57,1,3757995.0,,"B.A Degree from University College, Mangalore In 1987",GEN,Dakshina Kannada,Business,Not Given,Business / Entrepreneurship,Cound't Classify,HJPS,107.0,M,7jnAm9rf,2023,Graduate
250,Bellary,B Sreeramulu,52,4,732234742.0,60609652.0,B.A- Alagappa University - 2008,ST,Bellary,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,BJP,74536.0,M,iKZuvX2L,2023,Graduate
251,Kunigal,B T Tirumale Gowda,69,0,10223661.0,,PUC From Siddaganga PU College Tumkur Nagara Mysore University In 1972,GEN,Tumkur,Retired Police Constable,House Wife,Law Enforcement / Security,Cound't Classify,IND,303.0,M,ARsjYJBd,2023,Higher Secondary Education
252,Rajaji Nagar,B T Naganna,54,1,177539284.0,10154258.0,BE Year 1988-1993 From Sri Siddharatha Engineering College Thumkur,GEN,B.B.M.P(Central),Small Scale Industrialist,Small Scale Industrialist,Business / Entrepreneurship,Business / Entrepreneurship,AAP,701.0,M,WZEct6Li,2023,Graduate
253,Hirekerur,B. C. Patil,67,0,116803578.0,164500000.0,Graduate from D V S senior collage shivamoga,GEN,Haveri,"Social Work, Agriculture, business, film Actor","social work, Film Actor","Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship, Arts / Entertainment","Social Work / Activism, Arts / Entertainment",BJP,70358.0,M,jGygmNai,2023,Graduate
254,Sidlaghatta,B V Rajeev Gowda,44,12,797838218.0,51000000.0,Diploma Computer Science from Oxford College Bangalore in 1999-2002,GEN,Chikkaballapur,BUSINESS,BUsiness,Business / Entrepreneurship,Business / Entrepreneurship,INC,36157.0,M,NwHwspkf,2023,Diploma Holder
255,Indi,B. D. Patil (Hanjagi),51,1,8680000.0,345000.0,"BA, JRJ Arts and Vai A Patil University ,Indi , Karnataka University Dharwad in 1993",GEN,Bijapur,"Social Service, Agriculture","House Work , Social Service","Social Work / Activism, Agriculture / Farming",Social Work / Activism,JD(S),61456.0,M,gqV8Sxhp,2023,Graduate
256,K.R.Pura,B. A. Basavaraja,59,3,1225222505.0,231884072.0,B.A Government Arts College Bangalore 1st Year Not Completed in 1988-89,GEN,B.B.M.P(North),Business,House Wife,Business / Entrepreneurship,Cound't Classify,BJP,139925.0,M,ibA77DHk,2023,Literate
257,Hosadurga,B. Geethanjali,46,0,4647500.0,,"Bachelor of Arts, Bachelor of Laws, S J M Law University, Chitradurga",GEN,Chitradurga,"Advocate, Chitradurga","Advocate, Chitradurga",Law / Judiciary,Law / Judiciary,IND,136.0,M,mifQM3ts,2023,Graduate
258,Koratagere,B. H. Anil Kumar,61,0,329445033.0,87589124.0,Master of Science (Nuclear Physics) from Bangalore University in 1984,SC,Tumkur,Social Service,Business,Social Work / Activism,Business / Entrepreneurship,BJP,24091.0,M,R7JV5T8j,2023,Postgraduate
259,Nanjangud,B. Harshavardhan,46,0,21762340.0,697072.0,"B.E[IEM] Industrial Engineering Management from M.S.Ramaiah Institute of Engineering 2000 year Batch, PG Diploma Business Management from Bharathiya VidyaBhavan-2007",SC,Mysore,"Social Service, Ex-MLA Mysore District",Accountants and Income Tax Consultant,"Social Work / Activism, Politics / Public Service","Banking / Finance, Consulting / Advisory",BJP,61518.0,F,GUaobx84,2023,Graduate
260,Hassan,B. K. Rangaswamy,46,0,246490846.0,62263541.0,SSLC Passed in Gandhi Smaraka Kendra Kaval Bairasandra Bangalore,GEN,Hassan,"Business, Agriculture and Srishti group of builders and developers institute partner",House wife and srishti group of builders and developers institute partner,"Business / Entrepreneurship, Agriculture / Farming","Not Given, Business / Entrepreneurship",INC,4305.0,M,cFq2uJDd,2023,Higher Secondary Education
261,Siruguppa,B. Lokesha Nayaka,29,0,438032.0,,9th Pass from Government High School Siruguppa,ST,Bellary,Labour,House wife,Cound't Classify,Not Given,AAP,491.0,M,XTvZMB59,2023,Secondary Education
262,Jayanagar,B. Manikanta Dravidar,36,2,5096750.0,,7th Standard Govt high school Mukuddu,GEN,B.B.M.P(South),Wood Steel Work,Computer Repair Services,Construction / Real Estate,Information Technology,KRS,316.0,F,dndE9sXa,2023,Primary Education
263,Bantval,B. Ramanath Rai,71,1,97042927.0,25860075.0,B.A From govt. College Mangalore Mysore University in 1977,GEN,Dakshina Kannada,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,INC,85042.0,M,NftHRfjS,2023,Graduate
264,Krishnaraja,B. Rohith Kumar,51,0,43283563.0,5340850.0,"Bachelor of Engineering(Mechanical) National Institute of Engineering Mysore - 1996 and Master in Business Administration, Manasagangothri, Mysore University - 1998",GEN,Mysore,Contractor,No,Consulting / Advisory,Cound't Classify,IND,100.0,M,eZCAVyEv,2023,Postgraduate
265,Siruguppa,B. Parameshwara Nayaka,38,0,1611200.0,1875000.0,"Bachelor of Arts, Master of Social Work in Alvas Collage, Mudabidre, Mangalore Dist.",ST,Bellary,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,JD(S),992.0,M,4YkviCJk,2023,Postgraduate
266,Davanagere South,B. Rajashekar,55,0,50000.0,130303.0,"SSLC Karnataka Secondary education, Govt senior college, goruru, hassan dist",GEN,Davangere,Church Pastor,Not Given,Religion / Spirituality,Cound't Classify,IND,233.0,F,n68SUPur,2023,Secondary Education
267,Nargund,B. R. Yavagal,75,1,56632478.0,,"LLB From Karnataka University Law Collage, Karnataka University Dharwad 1971",GEN,Gadag,Agriculture and social work,nil,"Agriculture / Farming, Social Work / Activism",Cound't Classify,INC,71044.0,M,aKXGQ37Z,2023,Graduate
268,Siruguppa,B. M. Nagaraja,51,0,92962608.0,,"SSLC from Govt. High School, Siruguppa - Failed",ST,Bellary,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,INC,90862.0,M,bdY7YwB3,2023,Secondary Education
269,Gokak,B. Lohit,39,0,800000.0,,10th STD English High school Gokak passed out in 2002,GEN,Belgaum,Social Service,Private School Teacher,Social Work / Activism,Education / Academia,BSP,748.0,M,bmfsYMdo,2023,Secondary Education
270,Basavanagudi,B. S. Sathyanarayana,57,0,21630074.0,,"8th std ,Model education and welfare association ,TR Nagar,Bangalore-1982",GEN,B.B.M.P(South),Business,Housewife,Business / Entrepreneurship,Education / Academia,IND,148.0,M,CdEk4ohF,2023,Primary Education
271,Tiptur,B.C. Nagesh,63,0,126473251.0,361459.0,"Bachelor of Electronics From B.M.S Collage of Engineering, Bangalore,1981-82",GEN,Tumkur,Agriculture and business,Housewife and business partner,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,BJP,54347.0,M,3PQbeBpU,2023,Graduate
272,Badami,B.B.Chimmanakatti,39,0,57071896.0,27148417.0,"BBM From Bhagavan Mahaveera Jain College Bangalore, Bangalore University - August-2021",GEN,Bagalkot,Agriculture,Layer and Director of Hyper Megamart and Food Processing Industery Private Limited,Agriculture / Farming,Business / Entrepreneurship,INC,65845.0,M,R8ipTqKL,2023,Graduate
273,Jagalur,B.Devendrappa,61,0,21154681.0,3200000.0,"PUC Pass- Graduate Education Incomplete, Govt. Arts College, Chithraduraga, In 1983-84",ST,Davangere,Retired Govt. Employee and Agriculture,Agriculture,"Education / Academia, Agriculture / Farming",Agriculture / Farming,INC,50765.0,F,EpbCu3xm,2023,Higher Secondary Education
274,Anekal,B. Shivanna,56,1,352472752.0,40725739.0,"M.Sc., Bangalore University 1992 L.L.B Islamia Law College Bangalore 1995",SC,Bangalore Urban,"Social Worker ,Business",House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,INC,134797.0,M,BNNxnN9y,2023,Postgraduate
275,Bhadravati,B.K. Sanagameshwara,60,4,69748411.0,28386203.0,"SSLC ,Bhadra High School,Halappa Circle ,Bhadravathi",GEN,Shimoga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,INC,66208.0,M,JRRjbvFX,2023,Higher Secondary Education
276,Gadag,B. M. Patil,42,0,7962000.0,227000.0,PUC Science MGVC College Muddebihal in September 2000,GEN,Gadag,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,IND,95.0,M,J6pRdaij,2023,Higher Secondary Education
277,Bellary City,B.Arun Kumar,35,0,151000.0,,10th from Municipality College Bellary In 2005,GEN,Bellary,Savitha (Salon Shop),House Wife,Construction / Real Estate,Cound't Classify,IND,85.0,M,gpFCWnPU,2023,Secondary Education
278,Chitradurga,B.E.Jagadish,58,1,436844400.0,,"2nd PUC, SJM College, Chitradurga - 1985",GEN,Chitradurga,Business and Agriculture,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,AAP,1348.0,M,e6S4Jsr8,2023,Higher Secondary Education
279,Devanahalli,B.K.Shivappa,44,1,65009816.0,1530253.0,BA from Bangalore University Bangalore in 2010,SC,Bangalore Rural,Agriculture and Social Service,Government Job,"Agriculture / Farming, Social Work / Activism",Politics / Public Service,AAP,1093.0,M,DNgCVGau,2023,Graduate
280,Doddaballapur,B.L.Pillappa,64,0,200000.0,,Unknown,GEN,Bangalore Rural,Social Service,No,Social Work / Activism,Cound't Classify,BSP,366.0,M,AsnXxyiP,2023,Unknown
281,Nelamangala,B.M.Gangabylappa,51,0,7345000.0,3500000.0,"10th Class from Junior College, Nelamangala in 1987-88",SC,Bangalore Rural,Social Service,House Wife,Social Work / Activism,Cound't Classify,AAP,1650.0,M,UMo4KVG5,2023,Secondary Education
282,Kollegal,B.Puttaswamy,49,0,13152300.0,2217271.0,"M.A. From Karnataka State Open University, Mysore",SC,Chamarajnagar,Retired Police Inspector,Not Given,Law Enforcement / Security,Cound't Classify,JD(S),3925.0,M,6w6XDTzk,2023,Postgraduate
283,Hiriyur,B.Puttalingappa,61,0,1325000.0,,"SSLC Bisiniru Muddappa Prowdashel, Chellakere Chitradurga 1982-83",GEN,Chitradurga,Retired Agriculture Officer,Housewife,Agriculture / Farming,Education / Academia,RPIA,851.0,M,9pNs7uEr,2023,Higher Secondary Education
284,Chikmagalur,B.M. Thimma Shetty,40,1,5330000.0,1300000.0,B.A. in 2005 From Bangalore University,GEN,Chikmagalur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,JD(S),1763.0,M,QDiGEzNq,2023,Graduate
285,Mayakonda,B.M. Pushpa Vageeshaswamy,40,0,142209155.0,1770854.0,"SSLC ,Govt Pre -Graduation College for girls ,Chitradurga 2001",SC,Davangere,Housewife Business,Business and Agriculture,Business / Entrepreneurship,"Business / Entrepreneurship, Agriculture / Farming",IND,37614.0,M,V3mGqhqZ,2023,Higher Secondary Education
286,Bhadravati,B.N.Raju,51,1,31000.0,,SSLC Government High School,GEN,Shimoga,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,93.0,M,Zm3ZenFg,2023,Secondary Education
287,Mandya,B.R. Ramachandra,46,0,91929236.0,18568936.0,"SSLC From Government High School, Mudagandur, Mandya Ta., Year-1993",GEN,Mandya,Business,Housewife,Business / Entrepreneurship,Education / Academia,JD(S),59392.0,F,Qr7idBGx,2023,Higher Secondary Education
288,Nagamangala,B.M. Mallikarjun (Fighter Ravi),53,2,849669390.0,98005663.0,SSLC From Gandhinagar Secondary Education School Bangalore,GEN,Mandya,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,3293.0,M,8n2LgeKk,2023,Secondary Education
289,Tarikere,B.P.Vikas,34,0,14321548.0,50000.0,Master of Arts Kuvempu University 2013-14,GEN,Chikmagalur,Lawyer,House Wife,Law / Judiciary,Cound't Classify,UPP,548.0,M,atVSLVU4,2023,Postgraduate
290,Doddaballapur,B.Munegowda,67,8,473477528.0,100000.0,"B.A- V.V.Puram College, 1983-84 Bangalore University",GEN,Bangalore Rural,Agriculture and Crusher,House Wife,Agriculture / Farming,Cound't Classify,JD(S),39280.0,M,GbuLs4bM,2023,Graduate
291,Kollegal,"B.Rachaiah, Kinakahalli",55,0,6870000.0,2200000.0,MA in Sociology From University of Mysore In Year 1993,SC,Chamarajnagar,Social work,"Engineer, KPTCL, Mysuru",Social Work / Activism,Engineering / Technology,IND,1519.0,M,MXRv44qd,2023,Postgraduate
292,Doddaballapur,B.Shivashankar Krs,58,0,3913000.0,441053.0,Bachelor of Enginerring,GEN,Bangalore Rural,Electrical Contract and Tourism,Not Given,Transportation / Logistics,Cound't Classify,KRS,249.0,M,TAq5z6n2,2023,Graduate
293,Tumkur Rural,B.Suresh Gowda,58,2,139740978.0,9700000.0,"B.Com from RC College, Bangalore University in 1987-1988",GEN,Tumkur,social Service,House Wife and Agriculturist,Social Work / Activism,"Agriculture / Farming, Not Given",BJP,89191.0,M,GtdQNQRg,2023,Graduate
294,Devanahalli,B.Ramachandra Press,45,0,235000.0,,SSLC Government Pre University College Kolar in 1994,SC,Bangalore Rural,News Reporter,House Wife,Media / Journalism,Cound't Classify,IND,237.0,M,Z7d4DnuQ,2023,Higher Secondary Education
295,Arkalgud,B.T. Javaregowda,67,2,39599547.0,2413135.0,"Bachelor of Arts in 1981, Bachelor of Education in 1983 from Maharajas College and Institute of Education Mysore",GEN,Hassan,"Retired State Government Employee, Businessman",Business,Business / Entrepreneurship,Business / Entrepreneurship,AAP,2022.0,M,P9uLUx97,2023,Graduate
296,Kittur,Babasaheb Patil,51,0,51716730.0,11233735.0,"B.Sc. (Agri) From University of Agricultural Science, Dharwad, Year-1994",GEN,Belgaum,Agriculture Business,Business Public Servant,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Politics / Public Service",INC,77536.0,M,UsMq5rLa,2023,Graduate
297,Chamrajpet,B.Z.Zameer Ahmed Khan,55,5,727258460.0,423926175.0,"SSLC Discontinued at Siddhartha High School Kunigal, Tumkur Dist In 1982-83",GEN,B.B.M.P(Central),Business Politics,N.A.,"Business / Entrepreneurship, Politics / Public Service",Not Given,INC,77631.0,M,QF9WLcVd,2023,Secondary Education
298,Aurad,Babu,45,0,56739842.0,333147.0,BE Mechanical Engg from P.D.A College Gulbarga University Gulbarga Year of 2002,SC,Bidar,Agriculture and Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,AAP,945.0,M,5aWz9BVN,2023,Graduate
299,Yelburga,Balappa S. Veerapur,36,0,13360000.0,,"MA, Bed LLB From Karnataka University Dharwad 2020-21",GEN,Koppal,Advocate,Housewife,Law / Judiciary,Education / Academia,IND,502.0,M,bHXVaLBD,2023,Postgraduate
300,Hubli-Dharwad Central,Badni Hemaraj Adiveppa,64,2,597285411.0,2200000.0,"B.Com from JG Commerce University Vidyanagar Hubli -580021 Karnataka University, Dharwad In 1983",GEN,Dharwad,Farming and Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,494.0,M,M2iCawJg,2023,Graduate
301,Arabhavi,Balachandra Laxmanrao Jarkiholi,56,0,356992186.0,1750000.0,"PUC 1st From J S S Arts, Science and Commerce College, Gokak, Year-1983",GEN,Belgaum,Agriculture Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,BJP,115402.0,M,Dtmf8t4i,2023,Higher Secondary Education
302,Hubli-Dharwad Central,Badangkar Sabaji,62,0,15810000.0,1600000.0,2nd class from Kannada Medium School No 8 Ganesh Pete Hubli In April 1969,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,126.0,M,2ahCRegP,2023,Primary Education
303,Gurmitkal,Baburao Chinchansoor,73,5,89063320.0,21447717.0,"Master of Arts, Mysore University, Correspondence Course",GEN,Yadgir,"May. Amar Wineries Flat No. 103, KIADB Industry Colony Village Gadavanthi Humnabad Tq.,Bidar Dist.","May. Shakthidala Industries, Flat No. 120(B), KIADB Industry Colony Village Gadavanthi Humnabad Tq.,Bidar Dist. and May. Shakthidala Industries, Flat No. 120(B), KIADB Industry Colony Village Gadavanthi Humnabad Tq.,Bidar Dist.",Cound't Classify,Cound't Classify,INC,69718.0,F,8WmvigXG,2023,Postgraduate
304,Chitradurga,Bale Kai Srinivasa H,42,7,3495000.0,30000.0,"8th Class, Naveen High School, Cholagudda, Chitradurga",GEN,Chitradurga,Bajaragi Trading Company Owner (Broker Business),City Council Member,Business / Entrepreneurship,Politics / Public Service,SDPI,2555.0,M,mLxAeK54,2023,Primary Education
305,Raichur Rural,Badesaab,37,0,1929813.0,,"07th Std at Govt. Higher Primary School, Manjarla",ST,Raichur,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,357.0,M,ZPsaj3UZ,2023,Primary Education
306,Govindraj Nagar,Balakrishna. M,31,0,2876571.0,,7th Class,GEN,B.B.M.P(South),Flower Decoration,No,Arts / Entertainment,Cound't Classify,UPP,2148.0,F,fAkpbQCJ,2023,Primary Education
307,Bellary City,Babu Kuruvalli,46,0,1215570.0,425300.0,"9th pass from S.J Collage, Gandhinagar Bellary In 1991-92",GEN,Bellary,Taxi Driver,Housewife,Transportation / Logistics,Education / Academia,BSP,515.0,M,FNz7m6z4,2023,Secondary Education
308,Magadi,Balakrishna,51,0,120000.0,,"Secondary School Leaving Certificate, Pass",GEN,Ramanagaram,Daily wage labor,Daily wage labor,Not Given,Not Given,IND,91.0,M,At5xpSod,2023,Secondary Education
309,Sedam,Balraj Guttedar,41,0,111142433.0,59928347.0,"BBM from SB College of Comm, Glb in April 2003, PGDBM from SB College of Comm, Glb in April 2004",GEN,Gulbarga,Business,Homemaker and Business,Business / Entrepreneurship,"Law / Judiciary, Business / Entrepreneurship",JD(S),21125.0,M,Eaj6HHtr,2023,Postgraduate
310,Khanapur,Bagawan Nasir Papulsab,65,3,1955281528.0,176864832.0,"Secondary School Leaving Certificate, CRS High School, Itagi, Passed in 1973 and ITI, Govt. ITI College Hubli, Passed Year 1976",GEN,Belgaum,Business and Agriculture,Agriculture and Business,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship",JD(S),15600.0,M,3yjm4Lsx,2023,Vocational Training
311,Byadgi,Ballari Virupakshappa Rudrappa,60,0,193597473.0,8090592.0,7th Class in Govt Higher Primary High School in the Motebennur in the Year 1975-1976,GEN,Haveri,Agriculture and Business,Agriculture,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,BJP,73899.0,M,bhs3ehyr,2023,Primary Education
312,Bijapur City,Bandenawaz Husenasab Mahabari,58,0,35269339.0,1000000.0,"Diploma (Technical Engineering),Department of Technical Board of Technical Examinations in 1986",GEN,Bijapur,Contractors- Social Service,House Work,"Construction / Real Estate, Social Work / Activism",Cound't Classify,JD(S),459.0,M,8xmdx4gw,2023,Diploma Holder
313,Bidar South,Bandeppa Khashempur,59,0,124481759.0,6400000.0,"B.V.Sc. from Veterinary College, Bangalore in 1982-87, PUC 1st 2nd from B.V Bhoomreddy College, Bidar in 1980-82",GEN,Bidar,Sitting MLA,"House wife, Dairy Petty Business",Politics / Public Service,"Not Given, Business / Entrepreneurship",JD(S),31374.0,M,dwZ35EtN,2023,Graduate
314,Sira,Bandi Ranganatha Y R,29,0,27425.0,,BA from Tumkuru University in 2020,GEN,Tumkur,Unemployed,Not Given,Unknown,Cound't Classify,IND,100.0,M,7XmNurLu,2023,Graduate
315,Sidlaghatta,Balamuralikrishna,43,0,5440000.0,1000000.0,9th Swami Vivekananda High School Mulluru in 1995,GEN,Chikkaballapur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,244.0,M,hWyzawWx,2023,Secondary Education
316,Mudhol,Bandiwaddar Satish Chinnappa,54,0,339556698.0,191791866.0,Diploma Civil engineering BVV Sanga Bagalkot Year 1990 - Technical education department bangalore,SC,Bagalkot,Business and Agriculture,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,IND,17902.0,M,AKRxx8hY,2023,Diploma Holder
317,Nagthan,Bandi Shrikant Hanamantappa,40,0,43015055.0,41404717.0,10th Pass - Bailahongala Taluk Bailahongala Jilla Belagavi Year - 1999,SC,Bijapur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,KRPP,10770.0,M,AUCL6WZ3,2023,Secondary Education
318,Lingsugur,Bandi Shiddu,45,2,76573809.0,14369398.0,9th Passed Govt Primary High School Alampura Bagalkote 1995,SC,Raichur,Shetty and Granite Business,Agricultural and House wife,Business / Entrepreneurship,"Agriculture / Farming, Not Given",JD(S),41322.0,M,jn8TDdNL,2023,Secondary Education
319,Bilgi,Basalingayya Rajashekharayya Hombalimath,48,0,30000.0,,"1st PUC Basaveshwara vidyavardaka Sangha, Bagalkote 1991",GEN,Bagalkot,Agriculture,Housewife,Agriculture / Farming,Education / Academia,KRS,82.0,M,mXfHzeMC,2023,Higher Secondary Education
320,Humnabad,Bank Reddy,36,1,30635000.0,9100000.0,Secondery Government Boys P P College Humnabad 2005-2006,GEN,Bidar,Agriculture and Own Business,Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia,AAP,1413.0,M,LgeSNV66,2023,Secondary Education
321,Maski,Basan Gouda Turvihal,58,1,29965452.0,3112602.0,SSLC Sri Vasavi High School Sindhanur,ST,Raichur,Agriculture,no,Agriculture / Farming,Cound't Classify,INC,79566.0,M,ij6mdE8o,2023,Higher Secondary Education
322,Saundatti Yellamma,Bapugouda Siddanagouda Patil,69,0,13166000.0,1720000.0,"Bachalor of Arts, Muncipal Arts College , Nargund, Karnataka University Dharwad",GEN,Belgaum,Bank of baroda manager and employee,house wife,Banking / Finance,Not Given,AAP,1596.0,M,MtR343it,2023,Graduate
323,Ramdurg,Basappa Gurusiddappa Kumbar,63,1,13777000.0,700000.0,"SSLC From Shri Shivanand Bharati Education Trust Inchara, Year- 1978-79",GEN,Belgaum,Retired Hescom Employee Social work,Social Work,"Not Given, Social Work / Activism",Social Work / Activism,KRS,137.0,M,YKnWZbZ6,2023,Higher Secondary Education
324,Bailhongal,Basanagouda. M. Chikkanagoudar,61,1,29687731.0,1584007.0,"IIND PUC FROM KRCES COLLEGE BAILAHONGALA IN 1981, TCH FROM BENANSMITH COLLEGE BELGAVI IN 1983",GEN,Belgaum,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,AAP,970.0,M,nm4L6WiT,2023,Higher Secondary Education
325,Bijapur City,Basanagouda R Patil (Yatnal),60,4,261010514.0,206167799.0,B.Com from S S P commerce college bijapur 1983 from kud dharwad,GEN,Bijapur,Agriculture and social service,house wife and social service,"Agriculture / Farming, Social Work / Activism","Not Given, Social Work / Activism",BJP,94211.0,M,8sYZk9rp,2023,Graduate
326,Devar Hippargi,Basalingappa Urf Basalingappagouda S O Basavantaray Ingalagi,45,0,3381400.0,510000.0,PUC Pre-graduation education,GEN,Bijapur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,AAP,1787.0,M,T3vMC8eA,2023,Higher Secondary Education
327,Kittur,Basappa (Basavaraj) Y Kelagade,43,0,3040000.0,50000.0,"9th Std.- Shri Guru Siddeshwara High school, Kittur",GEN,Belgaum,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,548.0,M,eocgaRow,2023,Secondary Education
328,Yellapur,Bansode Laxman,40,0,11376800.0,2100000.0,"In 2011 Completed Graduate from, Mundagoda Govt. First Grade College",GEN,Uttara Kannada,Business,House wife,Business / Entrepreneurship,Not Given,IND,661.0,M,hGGwzhQx,2023,Graduate
329,Raichur Rural,Basanagouda Daddal,51,1,106206942.0,8731726.0,"PUC from Sharada Vidyaniketana, Open University Manvi in 2013",ST,Raichur,Agriculture,House Hold and Agriculture,Agriculture / Farming,Agriculture / Farming,INC,89140.0,M,DofhBZqt,2023,Higher Secondary Education
330,Arabhavi,Basappa Shivappa Naganur,45,0,3052000.0,600000.0,4th STD Government High School Kolalhalli in 1971-74,GEN,Belgaum,Agriculture,House Wife and agriculture,Agriculture / Farming,"Agriculture / Farming, Social Work / Activism",IND,919.0,M,2xPBEsVk,2023,Primary Education
