,constituency,name,cases,assets,liabilities,education,self_profession,spouse_profession,self_profession_category,spouse_profession_category,district,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent,uuid,Year,education_category
761,Hebbal,Fakruddin.S,0.0,6716018.0,858000.0,"Prshat unnath pathshala, Pallasamundram, Hindupur, Andhra Pradesh. year 1985",self employed (shopkeeper),House Wife,Business / Entrepreneurship,Cound't Classify,B.B.M.P(North),M,45,SDPI,GEN,210497,115540,1473,1.27,kkYSzcpb,2013,Unknown
762,Belgaum Uttar,Fairoz Nuruddin Saith,0.0,212620302.0,,"PUC, RLS College, Belgaum Karnataka University Dharwad from 1969-70",Business,House wife Business,Business / Entrepreneurship,Business / Entrepreneurship,Belgaum,M,61,INC,GEN,193980,115183,45125,39.18,6z4GXs9W,2013,Higher Secondary Education
763,Narasimharaja,Farid N.K.,0.0,24342210.0,6000000.0,Unknown,BUSSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,Mysore,M,52,KJP,GEN,211635,115764,1750,1.51,Dbx5azeY,2013,Unknown
764,Belur,Eshwarahally Lakshmana,0.0,70000000.0,,Diploma FROM CHIKAMANGLUR,Real Estate Coffee Planter,Coffee Planter,"Business / Entrepreneurship, Construction / Real Estate",Agriculture / Farming,Hassan,M,55,BJP,GEN,174842,132940,10281,7.73,Axyw6Lzv,2013,Diploma Holder
765,Kushtagi,Fakirappa Somappa Chalageri Vakeelaru,0.0,10700000.0,,University Law Bangalore,"Lawyer,Notary",Housewife,Law / Judiciary,Education / Academia,Koppal,M,52,KJP,GEN,193774,138246,1442,1.04,bjvjWd9J,2013,Unknown
766,Byatarayanapura,Ezaz Pasha,0.0,70000.0,,"8th Std. from Govt. Urdu School,Bangalore",Social Worker,Housewife,Social Work / Activism,Education / Academia,Bangalore Urban,M,49,ANC,GEN,330387,208322,523,0.25,TLqDWA62,2013,Primary Education
767,Malleshwaram,Eshwara. H. A,0.0,393000.0,,mathikere government school,Gold smith,HOUSE WIFE,Arts / Entertainment,Not Given,B.B.M.P(North),M,30,BSP,GEN,173755,108299,273,0.25,K2MCQw6S,2013,Unknown
768,Bidar,Eshwar Kanari,0.0,1500000.0,,Xth Std.,Contractor,Govt. Servant,Consulting / Advisory,Politics / Public Service,Bidar,M,62,IND,GEN,190262,112971,154,0.14,jpCYZFQH,2013,Secondary Education
769,Mangalore,Farooq U. H.,0.0,3561614.0,50000.0,"B.Com, Badriya First grade college , mangalore , mangalore university",Own business,House wife,Business / Entrepreneurship,Not Given,Dakshina Kannada,M,44,IND,GEN,168319,124927,514,0.41,MVNvjmFW,2013,Graduate
770,Tumkur City,G B Jyothi Ganesh,0.0,58363011.0,38242409.0,"B.E(Mech) Engineering, Siddaganga Institute of Technology, Tumkur bangalore University in 1996,PG diploma in management sciences",Engineer,Housewife,Engineering / Technology,Education / Academia,Tumkur,M,38,KJP,GEN,210384,138317,40073,28.97,Kdr8qGA6,2013,Graduate
771,Hosadurga,G Govindaraju,0.0,4428000.0,971000.0,B.Com in B.Parameshwar College,Business,Housewife,Business / Entrepreneurship,Education / Academia,Chitradurga,M,49,BSRC,GEN,175379,140003,406,0.29,Z6jmvxNV,2013,Graduate
772,Tarikere,G H Srinivasa,0.0,23445832.0,835826.0,"B.Com, LLB",Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,Chikmagalur,M,45,INC,GEN,159977,124727,35817,28.72,Asn2Hrir,2013,Graduate
773,Chitradurga,Fayazuddin K.S,2.0,11958018.0,2050000.0,s s l c pass inmillet high school chatra durga in1990,fleet transport owner,house wife,Transportation / Logistics,Not Given,Chitradurga,M,41,BSRC,GEN,225280,163365,23382,14.31,BE8yWJtk,2013,Higher Secondary Education
774,Harapanahalli,G Karunakara Reddy,0.0,527743692.0,309646840.0,"B.A., Veerashaiva College, Bellary, Gulbarga University",Member of Legislative Assembly,Business,Politics / Public Service,Business / Entrepreneurship,Davangere,M,51,BJP,GEN,184923,150223,48548,32.32,k3oeDbUN,2013,Graduate
775,K.R.Pura,Farman Basha,0.0,3295234.0,,Diphlomo E and C film instut hesaragatta Bangalore,international sports player,HAL govt job,Sports / Athletics,"Engineering / Technology, Military / Defense, Law Enforcement / Security",B.B.M.P(North),M,38,IND,GEN,339784,200184,250,0.12,jSwMhuAi,2013,Diploma Holder
776,Dasarahalli,G Lakshmikantha Acharya,0.0,1920000.0,,"BA Bangalore V V,BCA Periyar University",Contractor,Not Filled,Consulting / Advisory,Not Given,Bangalore Urban,M,36,IND,GEN,344606,191258,512,0.27,XPRqYP64,2013,Graduate
777,Malur,Es En Krisshnaiah Setty,5.0,253227156.0,135428990.0,"Pre University at Government First Grade College, Kolar in the year 1976-77, bangalore university",Self employed,Business Agriculturist,Business / Entrepreneurship,"Business / Entrepreneurship, Agriculture / Farming",Kolar,M,53,IND,GEN,163883,143121,38876,27.16,UKd5Daia,2013,Higher Secondary Education
778,Gauribidanur,G N Ravi,0.0,682500.0,50000.0,"iti ,87-89,KVITI,chikkaballapura 1987-89",agriculture,HOUSE WIFE,Agriculture / Farming,Not Given,Chikkaballapur,M,49,IND,GEN,186720,149168,424,0.28,FENgZNBk,2013,Vocational Training
779,Gulbarga Rural,G. Ram Krishana,0.0,5076672.0,,"B.A. in 1980 from H.K.E.S Prabhu College,Surpur",Social Service,Household,Social Work / Activism,Not Given,Gulbarga,M,72,INC,SC,211123,123418,40075,32.47,WUr7cSfj,2013,Graduate
780,Mulbagal,G. Alangur Ramanna,0.0,450000.0,,"BA ,govt. first grade college MULBAGAL",Nt given,Not Given,Cound't Classify,Cound't Classify,Kolar,M,44,IND,SC,171494,138700,1008,0.73,CCsmABnA,2013,Graduate
781,Mulbagal,G. Venkataravana,0.0,7659000.0,,"SSLC, Neharu Kenadi High School. Bairkuru - 1991-92",farmer,House wife,Agriculture / Farming,Not Given,Kolar,M,36,IND,SC,171494,138700,1019,0.73,3SefjnEB,2013,Higher Secondary Education
782,Melukote,G M Raveendra,0.0,8470077.0,17195141.0,B.E(Auto) in PES Engineering -1998-99 Mysore University,Professional,HouseWife,Cound't Classify,Not Given,Mandya,M,48,BJP,GEN,191395,160892,827,0.51,mGsgdY9R,2013,Graduate
783,Dasarahalli,G Mariswamy,0.0,322936804.0,391778.0,"SSLC(1979-80) , nelamangala govt high school",businessman agriculture,businesswoman,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,Bangalore Urban,M,47,KJP,GEN,344606,191258,18238,9.54,LzummprA,2013,Higher Secondary Education
784,Holalkere,G. Shanthappa,0.0,1250000.0,,"MA, in mysore university",Agriculture,House wife,Agriculture / Farming,Not Given,Chitradurga,M,37,IND,SC,204469,162979,1591,0.98,cfyANo4S,2013,Postgraduate
785,Mulbagal,G. Manjunatha,0.0,37537952.0,7231971.0,"SSLC in 1995 from Nehru Kennedy High School, Byrakur",Farmer and Real Estate consultant and commission,House wife,"Agriculture / Farming, Construction / Real Estate",Not Given,Kolar,M,34,IND,SC,171494,138700,73146,52.74,ELXMK9rL,2013,Higher Secondary Education
786,Kolar,G. Narayanagowda,0.0,490000.0,,"MA,economics and socialogy",social worker,House wife,Social Work / Activism,Not Given,Kolar,M,44,IND,GEN,196220,163480,678,0.41,6oKokJVV,2013,Postgraduate
787,Shivajinagar,G. R. Balaji,0.0,1480000.0,1200000.0,"sacred heart boys high school,richmond road,bangalore",business,business,Business / Entrepreneurship,Business / Entrepreneurship,B.B.M.P(Central),M,43,IND,GEN,167309,90895,114,0.13,FKPvG574,2013,Unknown
788,Molakalmuru,G. S. Basanna,0.0,1000.0,,"in 1995-96 Kampalaranga rural high school, tumakorla halli ,MOLAKALMURU taluk, chitradurga district",Jiraiti,labour,Cound't Classify,Cound't Classify,Chitradurga,M,35,JD(U),ST,207158,164413,557,0.34,SiE3395K,2013,Unknown
789,Holalkere,G. N. Paramesh,0.0,2091275.0,,Unknown,tailoring,House wife,Arts / Entertainment,Not Given,Chitradurga,M,45,BSP,SC,204469,162979,620,0.38,KXp3boyL,2013,Unknown
790,Shimoga Rural,G.Basavanyappa,0.0,22145108.0,,"B.Sc., Bangalore University",Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Shimoga,M,80,KJP,SC,186016,143288,38530,26.89,KUWpzfy7,2013,Graduate
791,Chamrajpet,G.A.Bava,0.0,82552000.0,25270000.0,BSC St.philomina puttur mangalore vishwavidyalaya,retired govt officer,house wife,Politics / Public Service,Not Given,B.B.M.P(Central),M,63,INC,GEN,183009,107679,26177,24.31,LRS2CwTS,2013,Graduate
792,Malur,G.E.Ramegowda,0.0,8021500.0,,"B.E, KREC -Dakshina kannada 1995",engineer,House wife,Engineering / Technology,Not Given,Kolar,M,41,IND,GEN,163883,143121,19480,13.61,QkGGxcU4,2013,Graduate
793,Davanagere North,G.C. Patel,0.0,604800.0,,"BA , LLB, Kuvemu university(2004)",Advocate,House wife,Law / Judiciary,Not Given,Davangere,M,38,SJPA,GEN,208005,134450,116,0.09,X3BDLBss,2013,Graduate
794,Devanahalli,G.Chandranna,2.0,64249600.0,,"Diploma electronics, S.J.P College, Bangalore",Business and former,House wife,Business / Entrepreneurship,Not Given,Bangalore Rural,M,59,BJP,SC,185376,153547,9418,6.13,Wuvhvdr5,2013,Diploma Holder
795,Krishnarajanagara,G.B.Dharmendra,0.0,27000.0,,"ITI Electrician NES ITC, Arakalgudu in 2010",Agriculture,Not Given,Agriculture / Farming,Cound't Classify,Mysore,M,32,IND,GEN,188498,157467,1416,0.9,RQHCuqbk,2013,Vocational Training
796,Bangalore South,G.A. Gregory,1.0,23568389.0,6998918.0,vidhyavikas high school begur in bangalore 560068 in 1981-82,BUSINESS,House wife,Business / Entrepreneurship,Not Given,Bangalore Urban,M,46,IND,GEN,447562,250737,1347,0.54,5vexVpN5,2013,Secondary Education
797,Krishnarajpet,G.C. Asha,0.0,472300.0,,B.E. ( ELECTRONIES COMMUNATION SRIDEVI INSTUTIONS ENGINEERING TECHNOLOGY TUMKAR SV 04EC 001 2008 V. UNIVERSITY BELGUM,SOCIAL WORKER,Not Given,Social Work / Activism,Cound't Classify,Mandya,F,26,IND,GEN,189137,153482,2232,1.45,Dwoa9qeE,2013,Graduate
798,Malavalli,G.Muniraju,0.0,39386892.0,1182758.0,PUC IN KENGERI JUNIOR COLLAGE 1981-82,BISSINESS,"OWN WORK, House wife",Business / Entrepreneurship,Not Given,Mandya,M,48,KJP,SC,230524,172550,26397,15.3,YG8Yr9Up,2013,Higher Secondary Education
799,Sullia,G.Kunhiraman,0.0,3812100.0,607000.0,"SSLC,GOVT SCHOOL SULIA,govt high school 1986-87",social worker,"teacher,govt primary school,yalahanka bangalore",Social Work / Activism,Education / Academia,Dakshina Kannada,M,61,IND,SC,180177,146066,1380,0.94,kak9zd64,2013,Higher Secondary Education
800,Aurad,G.M. Yathnur,0.0,27935000.0,,B.A;1973- Government College;Gulbarga,Retired Government Employee,Home Maker,Politics / Public Service,Not Given,Bidar,M,62,JD(S),SC,189099,129101,4892,3.79,iwgLFkB7,2013,Graduate
801,Gundlupet,G.M. Gadkar,0.0,50000.0,,M.A,Social worker,Not Given,Social Work / Activism,Cound't Classify,Chamarajnagar,M,53,SAJP,GEN,190420,162326,3123,1.92,PpYWCZFW,2013,Postgraduate
802,Chitradurga,G.H.Thippareddy,0.0,92706085.0,22079677.0,Mysore university,Real Estate and Agriculture,House Wife,"Construction / Real Estate, Agriculture / Farming",Cound't Classify,Chitradurga,M,66,BJP,GEN,225280,163365,62228,38.09,MF38KbhU,2013,Unknown
803,Gubbi,G.K. Hucchegowda,0.0,5230537.0,,10th class,AGRICULTURE,PASSED AWAY,Agriculture / Farming,Cound't Classify,Tumkur,M,40,BSRC,GEN,167885,139659,2233,1.6,8cazHo4T,2013,Secondary Education
804,Kudligi,G.Karappa,0.0,1241000.0,,2ND PUC GOVT.PU COLLEGE KOODLAGI,AGRICULTURE,ANGANVADI TEACHER,Agriculture / Farming,Social Work / Activism,Bellary,M,47,JD(S),ST,170516,132941,1078,0.81,ZNC8rxXj,2013,Higher Secondary Education
805,Nagamangala,G.M.Ramesh,0.0,112000.0,,"Govt school,Basral,mandya",social service,House wife,Social Work / Activism,Not Given,Mandya,M,42,JD(U),GEN,200796,163624,188,0.11,BBSvgLxg,2013,Unknown
806,Srinivaspur,G.K. Venkatashivareddy,0.0,35745938.0,4781965.0,"BSC, LLB, BANGALORE UNIVERSITY.",BUSINESS,BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship,Kolar,M,65,JD(S),GEN,190885,168875,79533,47.1,CPn3VxWB,2013,Graduate
807,Manvi,G.Hampayya,1.0,19210468.0,1401097.0,SSLC,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Raichur,M,62,INC,ST,199508,121974,50619,41.5,XXz5ymyG,2013,Higher Secondary Education
808,Madhugiri,G.Nagendra,0.0,220000.0,,Unknown,farmer and labour,Not Given,"Agriculture / Farming, Not Given",Cound't Classify,Tumkur,M,38,IND,GEN,182546,147308,252,0.17,Rj6UTmEW,2013,Unknown
809,Gubbi,G.N. Bettaswamy,0.0,6426446.0,930000.0,4TH,AGRICULTURE,House wife,Agriculture / Farming,Not Given,Tumkur,M,54,KJP,GEN,167885,139659,51539,36.9,dAq4JXMP,2013,Primary Education
810,Ramanagaram,G.P.Shankaregowda,0.0,50000.0,,"BA LLB,VVpuram college bangalore 2012",lawyer,house wife,Law / Judiciary,Not Given,Ramanagaram,M,32,IND,GEN,184788,148705,1140,0.77,85m8guWM,2013,Graduate
811,Kudligi,G.Nataraja,0.0,590000.0,40000.0,"PUC parameshvara pre universty college,rampura,chitradurga",agriculture,house wife,Agriculture / Farming,Not Given,Bellary,M,43,IND,ST,170516,132941,2321,1.75,MZwtcJVw,2013,Higher Secondary Education
812,Challakere,G.P.Jayapalaiah,0.0,7337000.0,1200000.0,"M.Sc in agriculture science from Gandhi krishi vidyalaya, bangalore in 2001",Self employement and agriculture,housewife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,Chitradurga,M,38,BJP,ST,188758,147776,12981,8.78,dqrFjUnY,2013,Postgraduate
813,Madhugiri,G.Nagaraja,1.0,122334.0,,M.A. MYSORE UNIVERESITY IN 1996,begging,Not Given,Unknown,Cound't Classify,Tumkur,M,63,IND,GEN,182546,147308,140,0.1,csgEMj4r,2013,Postgraduate
814,Madhugiri,G.M.Nagaraju,0.0,5800000.0,2000000.0,"10 th fail govt school gollahalli,tumkur district madhugiri",SOCIAL SERVICE,house wife,Social Work / Activism,Not Given,Tumkur,M,36,IND,GEN,182546,147308,110,0.07,AckptJyA,2013,Secondary Education
815,Nelamangala,G.Kumara,0.0,1650000.0,,Diploma in civil(2010-2011)indian testing and engineering corporation,Social service,Not Given,Social Work / Activism,Cound't Classify,Bangalore Rural,M,28,IND,SC,182233,139664,155,0.11,mfopJiKb,2013,Diploma Holder
816,Jagalur,G.N.Beemappa,0.0,540000.0,,"BA Kuvenpu University, Shankaragatta, Shimoga",Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,Davangere,M,40,IND,ST,167330,132149,985,0.75,mFkP9dSd,2013,Graduate
817,Kollegal,G.N. Nanjundaswamy,0.0,102553717.0,19932700.0,"M.A, L.L.B",H P gas dealer,gas stove sale repair,Business / Entrepreneurship,Not Given,Chamarajnagar,M,52,BJP,SC,191581,146477,17224,11.76,FJMPRp2G,2013,Postgraduate
818,Chikkaballapur,G.R.Narayan Swamy,0.0,30000.0,,6th std,agriculture,Not Given,Agriculture / Farming,Cound't Classify,Chikkaballapur,M,33,IND,GEN,176367,146709,427,0.29,2ZgmSQnR,2013,Primary Education
819,Chiknayakanhalli,G.Prakash,0.0,670000.0,,"PUC 1996-97, TARALABALU Institution, Halyurike, BANGALORE UNIVERCITY",Organiser in labour contractor company,HOUSE WIFE,"Social Work / Activism, Consulting / Advisory",Not Given,Tumkur,M,35,JD(U),GEN,198417,160826,1108,0.69,9QUJdGcX,2013,Higher Secondary Education
820,Arkalgud,G.S Muralidhara,0.0,1981000.0,450000.0,M.KRISHNA LAW COLLEGE HASSAN,LAWYAR,HOUSE WIFE,"Law / Judiciary, Religion / Spirituality",Not Given,Hassan,M,30,BSRC,GEN,197950,170262,405,0.24,ipvMPZ3e,2013,Unknown
821,Chitradurga,G.S.Manjunatha,0.0,59086405.0,7156385.0,Bcom fail,agriculture AND BUSINESSMAN,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Chitradurga,M,61,INC,GEN,225280,163365,30729,18.81,Sae2R4h7,2013,Unknown
822,Chamundeshwari,G.T Devegowda,0.0,65660048.0,6287349.0,GOVERNMENT HIGH SCHOOL ILAVALLA MYSORE (1966),Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,Mysore,M,63,JD(S),GEN,239448,176962,75864,42.87,mPNrYbEu,2013,Unknown
823,Krishnaraja,G.S.Harish,0.0,109167.0,,PUC,business,Not Given,Business / Entrepreneurship,Cound't Classify,Mysore,M,29,IND,GEN,216322,127812,367,0.29,mcV2QQnf,2013,Higher Secondary Education
824,Holenarasipur,G.T. Hemanth Kumar,0.0,3927750.0,80000.0,"BSC FAIL, GOVERNMENT SCIENCE COLLEGE, HASSAN",AGRICULTURE SOCIAL SERVICE,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given,Hassan,M,45,BJP,GEN,198333,162263,1277,0.79,iHYLCTzv,2013,Graduate
825,Chintamani,G.S Subhash,0.0,5000.0,,BE,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,Chikkaballapur,M,26,IND,GEN,186465,158113,1706,1.08,R9JzcTuq,2013,Graduate
826,Sandur,G.Veeranagouda,0.0,800000.0,,"10th fail-Sri Basaveshwara high School, Thoranagallu-1988",Own Employee,House wife,Business / Entrepreneurship,Not Given,Bellary,M,48,IND,ST,171854,128384,950,0.74,FuVb4ysc,2013,Illiterate
827,Yelahanka,G.R.Padmashree,0.0,36575000.0,,BA from Bangalore University,House wife,Business Man,Not Given,Business / Entrepreneurship,Bangalore Urban,F,45,RCMP,GEN,293238,196147,678,0.35,krob4FNi,2013,Graduate
828,Chitradurga,G.R. Panduranga,0.0,308000.0,,PUC,social worker,House wife,Social Work / Activism,Not Given,Chitradurga,M,59,BSP,GEN,225280,163365,796,0.49,6773bnSA,2013,Higher Secondary Education
829,Yelburga,G.T.Pampapati,5.0,38352476.0,12724518.0,P.U.C. J.O.D.C.,Business Transport Contractor,Transport Contractor,"Business / Entrepreneurship, Transportation / Logistics",Transportation / Logistics,Koppal,M,37,JD(S),GEN,180009,136729,12040,8.81,4xgGrjCt,2013,Higher Secondary Education
830,Navalgund,Gaddi Kallappa Nagappa,0.0,17792180.0,1200000.0,BA Shankara kala university Navalagunda 1991,Farmer,Farmer,Agriculture / Farming,Agriculture / Farming,Dharwad,M,46,INC,GEN,182898,137347,30780,22.41,3Wa7e2io,2013,Graduate
831,Raybag,Gajendra Annappa Honole,0.0,720000.0,,PUC,social work arogya vani patrika agriculture,House wife,"Social Work / Activism, Media / Journalism, Agriculture / Farming",Not Given,Belgaum,M,50,IND,SC,162583,122106,469,0.38,JuDeuaGu,2013,Higher Secondary Education
832,Chitradurga,Ganesha,0.0,130000.0,,Unknown,social worker,House wife,Social Work / Activism,Not Given,Chitradurga,M,52,IND,GEN,225280,163365,698,0.43,mkuEe8ZD,2013,Unknown
833,Nelamangala,Gangabylappa,0.0,4720000.0,,"BA,1984,govt arts college,tumkur",social worker,house wife,Social Work / Activism,Not Given,Bangalore Rural,M,50,BDBRAJP,SC,182233,139664,286,0.2,XLSMXXar,2013,Graduate
834,Vijayanagara,Ganesh,0.0,3916232.0,,"B Sc-1998, MA(English)-2006, LLB(2009)",Lawyer,Not Given,Law / Judiciary,Cound't Classify,Bellary,M,38,BSP,GEN,171289,124713,937,0.75,WBJnvHNJ,2013,Postgraduate
835,Vijay Nagar,Ganesh Shanbhogue,0.0,92317341.0,4753685.0,"B.com from Mysore University, Bhandarkar's Arts Science College, Kundapura, Udupi Dist. In the year 1978",own business land devaloper,"own business ,tailoring",Business / Entrepreneurship,"Business / Entrepreneurship, Arts / Entertainment",B.B.M.P(South),M,57,IND,GEN,235950,133197,606,0.45,fKDdhueB,2013,Graduate
836,Sagar,Ganesha B.Belly,1.0,2230000.0,125000.0,"Bsc, Thungacollege, Thirthahalli.1988-1989","AGRICULTURE,and journalist",Not Given,"Agriculture / Farming, Media / Journalism",Cound't Classify,Shimoga,M,42,BSRC,GEN,179790,137407,420,0.31,gFcv8czj,2013,Graduate
837,Aurad,Gaikawad Vijaykumar,0.0,627796.0,,"Diploma In Civil Engineering From Govt Polytechnic, Bidar Completed 2007",Civil Work Supervisor (Private),Household,Construction / Real Estate,Not Given,Bidar,M,30,INC,SC,189099,129101,15456,11.97,c7xduemS,2013,Diploma Holder
838,Nanjangud,Gangothry Rangaswamy,0.0,18455000.0,,Unknown,Agriculture,House wife,Agriculture / Farming,Not Given,Mysore,M,48,SAJP,SC,185095,141009,1667,1.18,gyWiu3XQ,2013,Unknown
839,Gandhi Nagar,Ghouse Mohidden,0.0,,,7th STD URADU LANGUAGE BANGLORE,BUSINESS,house wife,Business / Entrepreneurship,Not Given,B.B.M.P(Central),M,32,IND,GEN,192936,110828,83,0.07,E3qDYdky,2013,Primary Education
840,K.R.Pura,Gangadhara.R,0.0,4848000.0,,puc,real estate,House Wife,Construction / Real Estate,Cound't Classify,B.B.M.P(North),M,45,IND,GEN,339784,200184,193,0.1,7ySSkqYg,2013,Higher Secondary Education
841,Belur,Gangadhar Bahujan,0.0,202000.0,,"MA LLB,karnataka university,manasa gangohtri,mysore,2012",lawyer,Not Given,Law / Judiciary,Cound't Classify,Hassan,M,33,BSP,GEN,174842,132940,5326,4.01,TkoHzGTn,2013,Postgraduate
842,Arsikere,Gangadharappa,0.0,365000.0,60000.0,10th fail,Agriculture,House wife,Agriculture / Farming,Not Given,Hassan,M,46,IND,GEN,197423,158869,1557,0.98,BxzUNYwU,2013,Illiterate
843,Varuna,Girish Halepura,0.0,2020000.0,1100000.0,B.E MECHANICAL COURSE,FARMER,HOUSE WIFE,Agriculture / Farming,Not Given,Mysore,M,40,BSRC,GEN,194915,160641,409,0.25,KeKtqVvR,2013,Graduate
844,Sakaleshpur,Gangadhara Prasad,0.0,50000.0,,GOVT HIGH SCHOOL HASAN,SOCIAL SERVICE,house wife,Social Work / Activism,Not Given,Hassan,M,50,IND,SC,181602,140486,580,0.41,WcpQerCJ,2013,Unknown
845,Ranibennur,Gangadhar Hadimani,0.0,2930000.0,100000.0,s.s.high school tumminakatti taluk ranebennur district haveri in 1970-71,agricultral,house wife,Agriculture / Farming,Not Given,Haveri,M,52,IND,GEN,200778,159167,401,0.25,3L7AdcVg,2013,Secondary Education
846,Manvi,Gangadhar Nayak,1.0,21205000.0,900000.0,"B.A., L.L.B",LAWYER,HOME MAKER,Law / Judiciary,Not Given,Raichur,M,58,KJP,ST,199508,121974,14465,11.86,PiDyjCiZ,2013,Graduate
847,Yelburga,Ganiger Malakajappa Shivarudrappa,0.0,3050000.0,1000000.0,B.A. SRI VIJAYA MAHANTHESHA COLLEGE IN 1994-95,Agriculture,Primary school teacher,Agriculture / Farming,Education / Academia,Koppal,M,40,IND,GEN,180009,136729,501,0.37,kSvVVVZk,2013,Graduate
848,Hanur,Gangadhara. S.,0.0,700000.0,90000.0,"M.A , karnataka open university, mysore","Social worker, retired soldier",House wife,"Social Work / Activism, Military / Defense",Not Given,Chamarajnagar,M,36,JD(U),GEN,181142,137852,827,0.6,b4iGc9dr,2013,Postgraduate
849,Turuvekere,Geetha Rajanna,0.0,47880261.0,910658.0,"M.Sc. from Bangalore University in 2005, B.Sc from Bangalore University in 2002",Business,Advocate,Business / Entrepreneurship,Law / Judiciary,Tumkur,F,32,INC,GEN,176017,140074,7513,5.36,awHwbq2v,2013,Postgraduate
850,Gubbi,Giriyappa H.H,0.0,999000.0,600000.0,"LLB, Bangalore University, Bangalore -2006",Agriculture and advocate,Kindergarten worker,"Agriculture / Farming, Law / Judiciary",Education / Academia,Tumkur,M,43,IND,GEN,167885,139659,483,0.35,g5Y3WynZ,2013,Graduate
851,Indi,Gollalalinganagouda Peerappagouda Jotagond,0.0,401000.0,225000.0,"BA,BEd,MEd. GP Poravaala college Sindhagi,JSS College,Bijapur,Karnataka university,Dharavad and Ranichennamma university,Belgaum.2012-13",Shethki,Not Given,Cound't Classify,Cound't Classify,Bijapur,M,31,IND,GEN,200749,138775,849,0.61,U7Y5aYYh,2013,Postgraduate
852,Gurmitkal,Girish Mattannavar,2.0,565791.0,,Unknown,Business,House Wife,Business / Entrepreneurship,Cound't Classify,Yadgir,M,35,BJP,GEN,203045,129030,9795,7.59,TWQvkGiS,2013,Unknown
853,Shikaripura,Girish.S,0.0,5544700.0,,"M.Sc,MEd, M.Phil Kuvempu univercity in 2008",Farmer,house wife,Agriculture / Farming,Not Given,Shimoga,M,33,IND,GEN,172735,138566,433,0.31,YRqyNhUW,2013,Postgraduate
854,Basavana Bagevadi,Gopal Dhanashetty,0.0,15630000.0,,B.A. LL.B (Spl),Advocate,House Wife,Law / Judiciary,Cound't Classify,Bijapur,M,57,BSRC,GEN,175846,126819,1035,0.82,htkHNit3,2013,Graduate
855,Hosadurga,Goolihatti. D. Shekharappa,1.0,8468970.0,1282400.0,B.Sc.,Business,Not Given,Business / Entrepreneurship,Cound't Classify,Chitradurga,M,44,IND,GEN,175379,140003,37993,27.14,GG7Es5FD,2013,Graduate
856,Kushtagi,Gonal Rajashekargouda,1.0,150504385.0,140935761.0,"PU from vijaynagay college, Hospet 1998",Member of Zila panchayat bellary,House wife and Land Lady,Politics / Public Service,"Construction / Real Estate, Not Given",Koppal,M,34,BSRC,GEN,193774,138246,17543,12.69,ap6sE6h3,2013,Higher Secondary Education
857,Kundgol,Gokak Jailani Mahabubsab,0.0,91000.0,,Unknown,Industrial labour work,House wife,Engineering / Technology,Not Given,Dharwad,M,30,IND,GEN,168831,129517,498,0.38,Pbyyq4ci,2013,Unknown
858,Babaleshwar,Gousapeera Abbasali Jamadar,0.0,3380000.0,,"BA, Anjuman college vijapur,darvad university,1979",agriculturist,House wife,Agriculture / Farming,Not Given,Bijapur,M,58,IND,GEN,184083,134348,308,0.23,QFRLxuQ3,2013,Graduate
859,Anekal,Gopinatha G.M.,0.0,,,"BA, LLB, BES law college jayanagar",Not Given,Not Given,Cound't Classify,Cound't Classify,Bangalore Urban,M,31,IND,SC,270767,186461,430,0.23,h6Dvdsgd,2013,Graduate
860,Sindhanur,Goudappa,0.0,59500.0,,3rd class,AGRICULTURE LABOUR,HOUSE WIFE,Agriculture / Farming,Not Given,Raichur,M,32,IND,GEN,199977,145208,526,0.36,USXzEy6G,2013,Illiterate
861,Chincholi,Gopal L. Rattod,0.0,1710000.0,230000.0,"P.U.C,sardar wallabai college,gulbarga",Agriculture,Not Given,Agriculture / Farming,Cound't Classify,Gulbarga,M,28,SP,SC,169337,112983,448,0.4,YbccRmfw,2013,Higher Secondary Education
862,Arabhavi,Goudar Shivanagouda Ningappa,0.0,1432000.0,260000.0,"4th standard pass, Kannada boy",Farmer,House wife,Agriculture / Farming,Not Given,Belgaum,M,55,SKP,GEN,196454,145099,1527,1.05,e5uZArGF,2013,Primary Education
863,Kumta,Gouda Gayatri Manjunath,0.0,3652300.0,90000.0,MA IN KARNATAKA OPEN UNIVERSITY,"TAILORING, P.W.D AND SOCIAL SERVICE",GOVERNMENT SECOND DIVISIONAL CLERK,Social Work / Activism,Law Enforcement / Security,Uttara Kannada,F,42,KJP,GEN,167620,124257,14286,11.5,cpFgaKeY,2013,Postgraduate
