,constituency,name,cases,assets,liabilities,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category,uuid,Year,education_category
525,Haliyal,Deshpande Raghunath Vishwanath,0.0,2151593731.0,159007197.0,"L.L.B. Shiva ji University , 1970, B.A.(Hons.) Karnatka University 1967.",Uttara Kannada,Social Worker,Investor,Social Work / Activism,Business / Entrepreneurship,71.0,M,INC,61577,46.40841089799148,GEN,UkhzxKiC,2018,Graduate
526,Periyapatna,Devaraj H B,0.0,4445500.0,280000.0,SSLC GJC PERIYAPATNA PASSING DATE-1991,Mysore,social work and Agriculture,House wife,"Agriculture / Farming, Social Work / Activism",Not Given,44.0,M,BRPP,192,0.1233013948470292,GEN,6Kx97bU9,2018,Secondary Education
527,Nagthan,Devanand Fulsing Chavan,0.0,34999135.0,6400000.0,"Has Completed M.A in Shivaji University, Kolhapura, Maharastra State(1996).",Bijapur,Tenacity,Worker in Private Educational Institute,Cound't Classify,Education / Academia,47.0,M,JD(S),59709,34.0012983463168,SC,huzVAoeA,2018,Postgraduate
528,Indi,Dayasagar Patil,0.0,45461895.0,,B S C IN (AGRI) FROM UNIVERSITY OF AGRICULTURAL SCIENCES DHARWAD 1994,Bijapur,BUSINESS,House Wife,Business / Entrepreneurship,Cound't Classify,46.0,M,BJP,38941,23.163861972149352,GEN,gmE9UnjA,2018,Graduate
529,Hubli-Dharwad Central,Deepak Shirolikar,0.0,16289014.0,48000.0,"PUC 1st Year,G.G Commerce College, Year-2001",Dharwad,Social Service,Housewife,Social Work / Activism,Education / Academia,35.0,M,IND,373,0.2525218333220499,GEN,Nm2jDD3Y,2018,Higher Secondary Education
530,Saundatti Yellamma,Devindrappa Bhimappa Naik,0.0,20535585.0,4735000.0,"B.A, S B Art Degree Mahavidyala, Vijapura, Karnataka University. Year 1973",Belgaum,Retired Officer KAS Super Time Scale,House Wife,Politics / Public Service,Cound't Classify,65.0,M,IND,701,0.4560625085389735,GEN,HXUigPC6,2018,Graduate
531,Vijayanagara,Deepak Singh,4.0,78902600.0,23200000.0,"B.A. From Vijaynagar College Hospete, Year-1986-87",Bellary,Agriculture Business,Social Worker Educational Institute,"Agriculture / Farming, Business / Entrepreneurship",Social Work / Activism,50.0,M,JD(S),3835,2.3084331547583217,GEN,3Mpo4KXU,2018,Graduate
532,Dasarahalli,Dhananjaya . L . Gowda,0.0,4007804.0,,"12th Pass, Peenya Govt. PU Collage, Bangalore.",Bangalore Urban,Social Worker Labour,Not Given,Social Work / Activism,Cound't Classify,27.0,M,KPJP,462,0.213607046258409,GEN,75ofDmMh,2018,Higher Secondary Education
533,Afzalpur,Digambar,0.0,41000.0,,"SSLC, From PKH High Shool, Devala Ganagapura, Taluk Afzalpura, Dist Kalaburgi",Gulbarga,Wage,Housewife,Unknown,Education / Academia,40.0,M,IND,590,0.3941005156705052,GEN,3NgF4cAB,2018,Higher Secondary Education
534,Mangalore City South,Dharmendra,0.0,4989600.0,2500000.0,Degree Course (not Completed Mysore University),Dakshina Kannada,Civil Contractor,Shares Adviser,Construction / Real Estate,Banking / Finance,50.0,M,ABHM,97,0.0593682483918549,GEN,5LifQyrx,2018,Unknown
535,Hassan,Dharmegowda,0.0,106500.0,,"SSLC Fail, Kattaya Govt High School",Hassan,Auto Driver,Not Given,Unknown,Cound't Classify,41.0,M,BDBRAJP,146,0.0945363187816469,GEN,FZzkXqNK,2018,Secondary Education
536,Gulbarga Dakshin,Dharmaveer S Pujari,0.0,116500.0,,B.A. B.Ed From Govt B.Ed. College Gulbarga in 1987,Gulbarga,Social Worker Private Work,Household,Social Work / Activism,Not Given,57.0,M,IND,171,0.1184522242695446,GEN,3s8uWd9A,2018,Graduate
537,Gangawati,Digambarrao Ananthrao Amba,0.0,725000.0,,BA.LLB in Punkisanna Rudhrappa Law College Bellary-2004-2010,Koppal,Lawyer,Not Given,Law / Judiciary,Cound't Classify,35.0,M,IND,161,0.1093207852084224,GEN,ZPZiybMP,2018,Graduate
538,Hubli-Dharwad Central,Dharwad Abdulrahimankhan Dharwad,0.0,485062.0,,10th From Lavington High School Hubli Year-1978-79,Dharwad,Driver,Housewife,Transportation / Logistics,Education / Academia,55.0,M,IND,235,0.1590955250152325,GEN,4wZABtfj,2018,Secondary Education
539,Devar Hippargi,Dharmappa Chandappa Natikar,0.0,33102000.0,1200000.0,"BE Civil In Year-1980 From Basaveshwar Engineering College, Bagalkot",Bijapur,Retired Employee,Housewife,Not Given,Education / Academia,62.0,M,IND,290,0.2085145852357293,GEN,2j72aty9,2018,Graduate
540,Kumta,Dinakar Keshav Shetty,3.0,34793000.0,3596000.0,"PU in commerce, Dr.A V baliga commerce collage kumta.1975",Uttara Kannada,Wood merchant,Housewife,Construction / Real Estate,Education / Academia,60.0,M,BJP,59392,40.63019490070257,GEN,N7E8icf9,2018,Higher Secondary Education
541,Aurad,Dilipkumar,0.0,3100000.0,,M.A. From B.D BANGALORE In 2015,Bidar,BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given,46.0,M,SJPA,367,0.2489671594000366,SC,WoerMUFn,2018,Postgraduate
542,Gubbi,Dileep Kumar K U,0.0,407635.0,,"12th Pass, Mahatma Gandhi PU Collage, Kunigal, Tumkur Dist. Year 2010",Tumkur,Business,Not Given,Business / Entrepreneurship,Cound't Classify,27.0,M,IND,813,0.5230987002959722,GEN,mGdnAacv,2018,Higher Secondary Education
543,Ranibennur,Dillepppa Kenchappa Hittalamani,0.0,24225000.0,6200000.0,PUC,Haveri,BUSINESS ANS AGRICULTURE,HOUSEWIFE,"Business / Entrepreneurship, Agriculture / Farming",Not Given,54.0,M,JD(U),306,0.1706437059797793,GEN,F4XUij9R,2018,Higher Secondary Education
544,Nelamangala,Dinesh Kumar,0.0,2100000.0,774100.0,"SSLC (Fail) From K.N.Geeta High School, Kanthiravanagar, Bangalore Year 2003-04",Bangalore Rural,Business,House wife,Business / Entrepreneurship,Not Given,31.0,M,IND,300,0.1858333075231517,SC,eoWD69qX,2018,Secondary Education
545,Saundatti Yellamma,Doddagouda Fakeeragouda Patil,0.0,190789752.0,1438210.0,2nd standard,Belgaum,Agriculture and business,business and house wife,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Social Work / Activism",59.0,M,JD(S),758,0.4931460506027702,GEN,27NAXrt4,2018,Primary Education
546,Kittur,Doddagoudar Mahantesh Basavantaray,0.0,31106254.0,590000.0,"B.A., LLB in 1997-98 from R.L. College Belagavi",Belgaum,Lawyer Farmer,Parternship Business,"Law / Judiciary, Agriculture / Farming",Business / Entrepreneurship,44.0,M,BJP,73155,49.25864576599871,GEN,nVNWJUYX,2018,Graduate
547,Bommanahalli,Dilip Kumar,0.0,1000.0,,"S.S.L.C. From Vidyajoythi High School, Hongasandra, Bangalore, In the Year-April 2007",B.B.M.P(South),Employee and Social Service,Not Given,Social Work / Activism,Cound't Classify,26.0,M,IND,86,0.043987519819958,GEN,7pWLnsGe,2018,Higher Secondary Education
548,Hungund,Doddanagouda G Patil,6.0,182663260.0,38025409.0,PUC 1977-78 St josef colleg banglore,Bagalkot,"business, agriculture",Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia,61.0,M,BJP,65012,41.53245641494125,GEN,KVKSfGQ4,2018,Higher Secondary Education
549,Gandhi Nagar,Dinesh Gundu Rao,0.0,271611000.0,11564000.0,B.E.(E C) In 1992 From BMC College Bangalore,B.B.M.P(Central),MLA,House wife,Politics / Public Service,Not Given,48.0,M,INC,47354,37.33806426177805,GEN,7KMuQgsU,2018,Graduate
550,Kagwad,Divakar Ramachandra Potadar,0.0,5445000.0,600000.0,"B.A GRADUATE FROM SHIVANANDA COLLEGE, KAGWAD, YEAR-1992",Belgaum,AGRICULTURIST AND SOCIAL SERVICE,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given,46.0,M,SJPA,1004,0.6889216728994407,GEN,EU45q7og,2018,Graduate
551,Siruguppa,Dodda Yallappa,0.0,1334300.0,400000.0,"M.B.A (Accounts Marketing), Bangalore University,Bangalore-2010",Bellary,Market Executive in Sri ram city union finance.,"Information adviser, Women Children welfare Deparment",Banking / Finance,"Politics / Public Service, Social Work / Activism",31.0,M,AIMEP,813,0.5343375988327386,ST,CQzuDLEb,2018,Postgraduate
552,Nanjangud,Doddaswamy,0.0,1272856.0,250000.0,"B.Com,Maharaja college ,Mysore University ,Batch -2000",Mysore,Auditor and Tax Consultant,House Wife,Consulting / Advisory,Cound't Classify,40.0,M,APOI,1363,0.8312039956335873,SC,hSs3xubW,2018,Graduate
553,Jevargi,Doddappagowda,0.0,31861877.0,2157000.0,PUC studied from Sri. Sharanabasaveshwar College of Commerce Kalburagi during the year 1989-90,Gulbarga,Agriculturist,Household,Agriculture / Farming,Not Given,46.0,M,BJP,52452,32.42862265527432,GEN,BQHdGLzN,2018,Higher Secondary Education
554,Dasarahalli,Dominic Savio G,0.0,150000.0,,M COM Mysore University,Bangalore Urban,karate master,House wife,Sports / Athletics,Not Given,38.0,M,KP,473,0.2186929283121806,GEN,PhQJPWCS,2018,Postgraduate
555,Kushtagi,Doddanagouda Hanamagouda Patil,1.0,19036490.0,6161136.0,"PUC From Govt. P.U. College, Kushtagi,Year1991-92",Koppal,Agriculture,Housewife,Agriculture / Farming,Education / Academia,45.0,M,BJP,69535,41.87493225095451,GEN,jsLvzB99,2018,Higher Secondary Education
556,Bijapur City,Dondiba Ramu Rathod,0.0,1738399.0,76000.0,7th pass Government High School,Bijapur,Agriculture,HOUSE WIFE,Agriculture / Farming,Not Given,47.0,M,IND,409,0.2696057428000765,GEN,ainKbobz,2018,Primary Education
557,Badami,Dongrisab Lalsab Nadaf,0.0,725000.0,,Diploma in Civil Engineering from shree basaveshwar Polytechnic Bagalkot -2002,Bagalkot,Private business,House Wife,Business / Entrepreneurship,Cound't Classify,40.0,M,INCP,663,0.4044532560622236,GEN,5p5xLFw5,2018,Diploma Holder
558,Chickpet,Dr D.Hemachandra Sagar,0.0,1915018000.0,,"MBBS, MS from Gulbarga University in 1983",B.B.M.P(Central),Doctor,House Wife Business,Medicine / Healthcare,Business / Entrepreneurship,64.0,M,JD(S),6286,4.875892026062674,GEN,BUmfnDAD,2018,Doctorate
559,Yadgir,Dr Devanand Koli,0.0,195000.0,,"PUC,RMP,Advance Medical Training centre,Madras,1991",Yadgir,Medical Career,Not Given,Medicine / Healthcare,Cound't Classify,49.0,M,HJP,336,0.232608048515393,GEN,6y4xjedz,2018,Higher Secondary Education
560,Mandya,Dr S C Shankaregowda,0.0,11060001.0,,"MBBS AND DVD KASTURIB MEDICAL MANGALUR,MYSORE UNIVERSITY 1974-1979",Mandya,BUSINESS AND DOCTOR,HOUSE WIFE,"Business / Entrepreneurship, Medicine / Healthcare",Not Given,63.0,M,IND,10564,6.389760898098919,GEN,A3k7vKms,2018,Doctorate
561,Gandhi Nagar,Dr Dinesh Kumar A,0.0,19590000.0,9000000.0,MD MEDICINE 2006-09 IN MS RAMIAYYA MEDICAL COLEGE AND DM NEPHROLOGY 2011-2014 MS RAMAIAH MEDICAL COLLEGE BANGALORE,B.B.M.P(Central),DOCTOR,DOCTOR,Medicine / Healthcare,Medicine / Healthcare,39.0,M,IND,108,0.0851567120047309,GEN,NKq8JUEU,2018,Doctorate
562,Nelamangala,Dr Shivaraja,0.0,726557.0,404169.0,"MA, B.ed , PhD",Bangalore Rural,Social Service,Not Given,Social Work / Activism,Cound't Classify,42.0,M,KPJP,216,0.1337999814166692,SC,SsY99z6n,2018,Doctorate
563,Yemkanmardi,Dr Yalagund Basanaik Naik,0.0,620000.0,,"SSLC from Fattekhan Desai High School, Pachanpur, Tal. Hukkeri, Dist. Belagavi in 1998, Ayurvedic Doctor-RMP",Belgaum,Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify,44.0,M,KJP,1299,0.8687103763742878,ST,8ScDyApA,2018,Doctorate
564,Nelamangala,Dr K Sreenivasamurthy,0.0,69167802.0,7201000.0,MBBS From Gulbarga University 1980-1987,Bangalore Rural,Pension Holder Agriculturist,Government Lecture,"Education / Academia, Agriculture / Farming",Education / Academia,56.0,M,JD(S),69277,42.913246817604616,SC,6JbCJqKp,2018,Doctorate
565,Bidar South,Dr Shailendra Beldale,1.0,36112000.0,10968887.0,7th pass,Bidar,vendor service and tenacity,vendor service and tenacity,Business / Entrepreneurship,Business / Entrepreneurship,44.0,M,BJP,42365,30.503214843721874,GEN,fXwKdxzC,2018,Primary Education
566,Srinivaspur,Dr Venu Gopal K N,0.0,32245035.0,3500000.0,M.B.B.S. M.S (General Surgery) at Rajiv Gandhi University of Health Science in 2001,Kolar,Doctor Agriculturist,Doctor Agriculturist,"Medicine / Healthcare, Agriculture / Farming","Medicine / Healthcare, Agriculture / Farming",46.0,M,BJP,4208,2.280659917185163,GEN,CXkeoi84,2018,Doctorate
567,Govindraj Nagar,Dr K S Gangadhara,0.0,1645108.0,,BAMS from CEM Bengaluru University,B.B.M.P(South),"Practicing Doctor, Vivek Clinic, Viveknagar, Bangalore-47","Sanskrit Lecturer, Sheshadripuram College Bangalore 21",Medicine / Healthcare,Education / Academia,58.0,M,SUCI,329,0.2092462682295476,GEN,9agu64u8,2018,Graduate
568,Manvi,Dr Preeti Methre,0.0,26840033.0,15383333.0,Bachelor of Ayurved Medicine Surgery From D.G.M. Ayurvedic Medical College And Hospital In 2016,Raichur,Doctor,Civil Contractor,Medicine / Healthcare,Construction / Real Estate,26.0,F,IND,37733,24.493518464424582,ST,dwigccfK,2018,Graduate
569,Chintamani,Dr S Rachana,1.0,17633496.0,38558.0,B.U.M.S LLB (Lawyer),Chikkaballapur,"Doctor, Lawyer",Lawyer,"Medicine / Healthcare, Law / Judiciary",Law / Judiciary,40.0,F,IND,192,0.106219365118003,GEN,UZTqhT59,2018,Graduate
570,Rajarajeshwarinagar,Dr K A Mohan,0.0,1733000.0,,6TH PASS,B.B.M.P(Central),CIVIL WORK MASTERY,Not Given,Construction / Real Estate,Cound't Classify,61.0,M,KDC,84,0.0327554338925153,GEN,W47ptck5,2018,Primary Education
571,Hebbal,Dr P K Velladurai,0.0,598000.0,,BBA tamil medium disscontinued,B.B.M.P(North),Carpenters work master,Not Given,Unknown,Cound't Classify,37.0,M,IND,63,0.0429477128638625,GEN,C3zV4tRQ,2018,Unknown
572,Malleshwaram,Dr. Ashwath Narayan.C.N.,1.0,215017344.0,11319033.0,"M.B.B.S., Kasturba medical College Manglore University .1995",B.B.M.P(North),"Doctor (M.B.B.S.),MLA (Karnataka Legislative Assembly)","Business, Social Work","Medicine / Healthcare, Politics / Public Service","Business / Entrepreneurship, Social Work / Activism",50.0,M,BJP,83130,67.22193021469292,GEN,WLLirYHT,2018,Doctorate
573,Ranibennur,Dr. Basavaraj Kelagar,0.0,82946479.0,19827209.0,"MBBS- J.J.M medical College ,Year 1984 ,DGO -KMC Hubli,Year 1988",Haveri,Doctor And Agricultarist,Doctor And Agricultarist,"Medicine / Healthcare, Agriculture / Farming","Medicine / Healthcare, Agriculture / Farming",56.0,M,BJP,48973,27.31024252597297,GEN,Ut2J4mD3,2018,Doctorate
574,Chitradurga,Dr. Doddamallaiah,0.0,19540984.0,450000.0,"BVSC Mysore, Veterinary Medicine College, Agriculture University, Hebbal, Bangalore-1982, PGDAEM, (Manage), Hyderabad, Year-2013",Chitradurga,Ex Government Officer,Retired Teacher,Not Given,Not Given,63.0,M,SWARAJ,350,0.1848350743036998,GEN,FZez8HXb,2018,Postgraduate
575,Chikkaballapur,Dr. Gv Manjunatha,0.0,104651139.0,2500000.0,"B.Sc. From Govt. First Grade College, Chikkbalapur, Bangalore University, Year-1977, MBBS From K.M.C Hubbali Dharwad University, Year-1984",Chikkaballapur,"Doctor ,new harajan vidhy samste",Doctor,Medicine / Healthcare,Medicine / Healthcare,62.0,M,BJP,5576,3.21444424587962,GEN,HC2HpQox,2018,Doctorate
576,Koratagere,Dr. G. Parameshwara,0.0,116246878.0,93204228.0,MSc and Phd in Australia.,Tumkur,"LIC Agent, Agricultural Consultant",Artist,"Banking / Finance, Agriculture / Farming",Arts / Entertainment,67.0,M,INC,81598,47.63539349784293,SC,9wsCfkgW,2018,Doctorate
577,Bagepalli,Dr. C. R. Manohar,0.0,1367850358.0,484419105.0,"B.A. S.V GRADE COLLAGE ,SARJAPURA BANGLOURE UNIVERSITY",Chikkaballapur,"AGRICULTURIST,FLORICULTURE AND BUSINESS",HOUSE WIFE AGRICULTURE,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Not Given",38.0,M,JD(S),38302,23.27992803656521,GEN,RDULHzkF,2018,Graduate
578,Mahadevapura,Dr. H R Surendra,0.0,4070251.0,,"MBBS, Karnataka",Bangalore Urban,Retired Doctor,Housewife,Medicine / Healthcare,Education / Academia,65.0,M,RPI(A),248,0.0872158451496736,SC,c8CDjAUG,2018,Doctorate
579,T.Narasipur,Dr. H.C.Mahadevappa,0.0,27752980.0,3931900.0,"MBBS from JJM Medical College, Davanagere Year 1999",Mysore,Social Service,House wife,Social Work / Activism,Not Given,65.0,M,INC,55451,35.70894993753461,SC,PM6wsrzt,2018,Doctorate
580,Raichur,Dr. Shivaraj Patil,0.0,81357775.0,15126210.0,"MD General Medicine from M R Medical College, Gulbarga University, Karnataka State in 1998",Raichur,Not Given,Not Given,Cound't Classify,Cound't Classify,47.0,M,BJP,56511,45.61311464824202,GEN,c48pXiM3,2018,Doctorate
581,Dasarahalli,Dr. N. Nithyananda,0.0,15320000.0,1000000.0,"B D S from N S V K S V Dental Collage, Bannerghatta, Bangalore. Bangalore University. Year 1999",Bangalore Urban,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,42.0,M,JD(U),193,0.0892341123979933,GEN,bLb7DKrb,2018,Doctorate
582,Koratagere,Dr. Nandini A.C,0.0,2014500.0,1273000.0,"BAMS from RGUHS-2010, BAMS MD from RGUHS -2014",Tumkur,Doctor,Busness,Medicine / Healthcare,Business / Entrepreneurship,30.0,F,IND,205,0.1196751840370818,SC,kV6BEtUA,2018,Doctorate
583,Chikkaballapur,Dr. K. Sudhakar,0.0,152765774.0,108663338.0,MBBS SIDARTHA MEDICAL COLLAGE THUMAKUR,Chikkaballapur,"MANEGING TRUST,SRI SAIKRISHAN TRUST",HINDO MOUNT COMPANY SADHASHIVANAGARA,Social Work / Activism,Cound't Classify,44.0,M,INC,82006,47.274697781134165,GEN,Qn9cB7hH,2018,Doctorate
584,Kanakagiri,Dr. M P Darkeswaraiah,0.0,2767000.0,,"SSLC, And Diploma in BAMS From Bangalore University, Year 1993-94",Koppal,Private Doctor,Housewife,Medicine / Healthcare,Education / Academia,59.0,M,IND,686,0.4095375688035055,SC,D9r8GTqw,2018,Diploma Holder
585,Hanur,Dr. Preethan Nagappa,0.0,56605520.0,5521284.0,"M.B.B.S., M.S FROM J.S.S MEDICAL COLLEGE, MYSORE , YEAR- 2003",Chamarajnagar,DOCTOR,DOCTOR,Medicine / Healthcare,Medicine / Healthcare,47.0,M,BJP,56931,33.42335307896885,GEN,Na4cri9p,2018,Doctorate
586,Tumkur City,Dr. Rafeeq Ahmed. S,0.0,68412512.0,,"B E, M E, Ph D, Doctor of Philosophy(Ph.D in Civil Engineering), from Indian Institute Of Technology, New Delhi during the year 1996-97",Tumkur,Tumkur city Assembly member,"Administrator in H.M.S Technical college, Tumkur",Politics / Public Service,Education / Academia,50.0,M,INC,51219,30.151703351366624,GEN,WLQJemGk,2018,Doctorate
587,Tiptur,Dr. S. Shobha,0.0,400635000.0,17310000.0,"M.B.B.S, Mysore Medical College, Mysore University, Year 1979-80",Tumkur,Doctor M.B.B.S,Not Given,Medicine / Healthcare,Cound't Classify,60.0,F,IND,425,0.2803966457963595,GEN,fu4KTFmn,2018,Doctorate
588,B.T.M.Layout,Dr. Syed Asad Abbas,0.0,931353.0,,M.S. Communication Christ University in 2011,B.B.M.P(South),"Self Employed, Anchor, Motivational Speaker, Event Management",Not Given,"Arts / Entertainment, Business / Entrepreneurship",Cound't Classify,30.0,M,AAAP,701,0.5156990259835799,GEN,aQj6fgQj,2018,Postgraduate
589,Bellary City,Dr. K.R.Ravikumar,0.0,9532000.0,1000000.0,"MBBS.(A.M) Indian Board Of Alternative Medicines, Kolkata, United Nation University For Feed And The Open International University, Koltata, Year-2006",Bellary,R.M.P. Doctor,Housewife,Medicine / Healthcare,Education / Academia,39.0,M,IND,192,0.1269278824859354,GEN,8F3hR5sm,2018,Doctorate
590,Sedam,Dr. Sharanprakash,0.0,38037429.0,540000.0,"MD (Skin VD) from M R Medical College, Gulbarga, Gulbarga University Gulbarga in 1995",Gulbarga,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,51.0,M,INC,73468,46.331588572870025,GEN,6QPCQ2cd,2018,Doctorate
591,Navalgund,Dr. Jedar M G,0.0,6022915.0,781198.0,MBBS From KLE MEDICAL COLLAGE BELAGAVI MODEL 2012,Dharwad,DOCTOR,DOCTOR,Medicine / Healthcare,Medicine / Healthcare,33.0,M,JANSAMAP,236,0.1479197222117759,GEN,GjyGXuHp,2018,Doctorate
592,Yadgir,Dr.A B Malakareddy,0.0,44635844.0,1570000.0,"M D AT KARNATAKA V V DHARVAD,MBBS AT KARNATAKA VV DHARVAD",Yadgir,DOCTOR AND AGRICULTURIST,DOCTOR AND AGRICULTURE,"Medicine / Healthcare, Agriculture / Farming","Medicine / Healthcare, Agriculture / Farming",82.0,M,INC,49346,34.16153798226364,GEN,GACyWFee,2018,Doctorate
593,Mangalore City North,Dr. Y. Bharath Shetty,0.0,150531091.0,13297696.0,Master of Dental Surgery (MDS) From Rajiv Gandhi University Health Science Bangalore In 1998,Dakshina Kannada,Principal Of A.j. Institute of Dental Sciences Mangalore,Reader In Manipal Colege of Dental Sciences Mangaluru,Education / Academia,Education / Academia,47.0,M,BJP,98648,56.01689910507427,GEN,ngxGUhEN,2018,Postgraduate
594,Doddaballapur,Dr.K.N.Venkatesh,4.0,140011500.0,4540000.0,Ph. D in Criminology and Police Science Year July 2014 from Menon Manian Sudarnar University M.D(Alternative Medicine ) Year july 2013 from Indian Board of Alternative Medicines,Bangalore Rural,"Civil Engineer, Advocate Social Worker",House Wife,"Engineering / Technology, Law / Judiciary, Social Work / Activism",Cound't Classify,54.0,M,IND,1018,0.6032342362094609,GEN,oTM7RRzC,2018,Doctorate
595,Nagamangala,Dr. V Parthasarathi,0.0,48408219.0,,"MBBS From-Sri Adhi Chunchuri Medical ,B.G Nagar Year 1991-95, 2nd PU ,From Vijaya College ,Bangalore ,Year-1989-1990",Mandya,Doctor,Housewife,Medicine / Healthcare,Education / Academia,46.0,M,BJP,1915,1.0552592135425851,GEN,ZyrHjDfi,2018,Doctorate
596,Basavanagudi,Dr.Banu Prakash.A.S.,0.0,13339910.0,1800000.0,MCH,B.B.M.P(South),Neuro surgeon,Not Given,"Medicine / Healthcare, Information Technology",Cound't Classify,42.0,M,PPOI,233,0.1791715048099474,GEN,BXSWvcsi,2018,Unknown
597,Sindhanur,Dr.Jalaluddin Akbar,0.0,184000.0,,10 TH PASS FROM GOVERNMENT COLLEGE AF JALPURA,Raichur,Press editor and publisher,"House Wife , AGRICULTURE WAGE",Media / Journalism,"Agriculture / Farming, Not Given",46.0,M,JD(U),1240,0.7585768120197719,GEN,jVNu34GF,2018,Secondary Education
598,Yelahanka,Dr.K.S.Swamy,0.0,3555231.0,752872.0,"BA. Bangalore University, Bangalore.",Bangalore Urban,"Social Worker Editors, Journalist",Anganvadi Teacher,"Media / Journalism, Social Work / Activism","Education / Academia, Social Work / Activism",41.0,M,IND,393,0.1603198237705754,GEN,Ksy4fZbx,2018,Graduate
599,Malavalli,Dr.K.Annadani,3.0,34706874.0,510700.0,"MA ,PHD,in Bengaluru University, Year-2002",Mandya,Salesman,Sales and Housewife,Business / Entrepreneurship,"Business / Entrepreneurship, Not Given",51.0,M,JD(S),103038,52.92821368948248,SC,4NVHAEpc,2018,Doctorate
600,Sarvagnanagar,Dr.Meer Layaq Hussain,0.0,,,Dr. Br. Amc Ambedkar Medical College Bengaluru University,B.B.M.P(North),MBBS,Not Given,Medicine / Healthcare,Cound't Classify,55.0,M,IND,99,0.0555895581472393,GEN,d6nFtgXM,2018,Unknown
601,Maddur,Dr.Manojith S S,0.0,18202000.0,2800000.0,"1 st 7 th Sent ans convent madduru,8 th to 10th and puc vishwmana kommarahalli mandya,MBBS IN KVG Sulya R,G,U,H,S Benglore",Mandya,Doctore,Doctore,Medicine / Healthcare,Medicine / Healthcare,30.0,M,FCI,151,0.0877422353932421,GEN,BWiBE9hs,2018,Doctorate
602,Pavagada,Duggamma,0.0,,,PUC,Tumkur,Labour,Labour,Cound't Classify,Cound't Classify,43.0,F,IND,117,0.071818354807226,SC,HNEguwFa,2018,Higher Secondary Education
603,Haveri,Duragappa Galeppa Madar,0.0,5500000.0,,"He finished SSLC in 30-04-1970 , Karnataka Shiksha Pariksha Mandali.",Haveri,Retired Govt. Officer,Homemaker,Politics / Public Service,Not Given,67.0,M,IND,221,0.1295496245405678,SC,j8WkZ5bQ,2018,Higher Secondary Education
604,Bailhongal,Duragamma Basappa Yarazaravi,0.0,424085.0,95580.0,SSLC- MKCR passed yr 1992,Belgaum,Social Services,Not Given,Social Work / Activism,Cound't Classify,41.0,F,AIMEP,984,0.6795580110497238,GEN,AcYJ7Mag,2018,Higher Secondary Education
605,Haveri,Duragesh Megalamani,0.0,1329018.0,107000.0,"Year 1999 ,kalidasa high school haveri",Haveri,private job,house wife,Cound't Classify,Not Given,37.0,M,BJC,689,0.4038900059205936,SC,bvq58DeN,2018,Unknown
606,Shiggaon,Duddusab Kanavalli,0.0,20575934.0,,"10th Pass, Channappa Kunnur High School, Shiggon.",Haveri,Piece Contractor,House wife,Construction / Real Estate,Not Given,37.0,M,IND,143,0.083589557735249,GEN,BS733kpw,2018,Secondary Education
607,Shirahatti,Duragappa Laxmappa Harijan,0.0,192000.0,,Unknown,Gadag,Social Service,Agriculturist,Social Work / Activism,Agriculture / Farming,36.0,M,IND,539,0.3356080794998879,SC,BmZnumFH,2018,Unknown
608,Bommanahalli,Dr.P.Anilkumar,0.0,3391218169.0,215513168.0,3RD STANDARD IN KERALA,B.B.M.P(South),BUSINESS,BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship,44.0,M,IND,1143,0.5846248273745589,GEN,AyTH8d9B,2018,Primary Education
609,Lingsugur,Durgappa Sangappa Hoolageri,3.0,107562086.0,6424068.0,7th pass government school 1977,Raichur,Granite business,housewife,Business / Entrepreneurship,Not Given,52.0,M,INC,54230,33.03705779505206,SC,JeHFhYMx,2018,Primary Education
610,Shravanabelagola,Dwarakish,0.0,311000.0,,GOVT. HIGH SCHOOL DHHUDA,Hassan,Agriculture (IN THE NAME OF HIS PARENTS IN LAND NO 15 P5 2 ACRES ),Housewife and Agriculture,"Agriculture / Farming, Social Work / Activism","Hospitality / Tourism, Agriculture / Farming",35.0,M,AIMEP,415,0.2481152211214807,GEN,ArLyd7hf,2018,Unknown
611,Raichur,E Anjaneya,0.0,320843718.0,233488458.0,"B.A 2nd Year (Discontinued) From H.R.Sri Ramulu College, Gangavathi Year 1980",Raichur,Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",58.0,M,IND,5701,4.601588480289284,GEN,PaMFUWPX,2018,Literate
612,Sandur,E Tukaram,0.0,15964501.0,6251128.0,"M COM GULBARGA UNIVERSITY NANDIHALLI 1992, P,J,D,B,A ST JOSEPH COLLEGE BANGALORE 1993",Bellary,SOCIAL WORKER,SOCIAL WORKER,Social Work / Activism,Social Work / Activism,51.0,M,INC,78106,49.52507767421216,ST,J2CPSv89,2018,Postgraduate
