,constituency,name,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category
797,Doddaballapur,M Srinivas,0,9779500,6000,Secondary Education,S S L C GOVERNMENT PU COLLEGE DODDABALLAPUR 1985,Bangalore Rural,Agriculture,Business,Agriculture / Farming,Business / Entrepreneurship,48,M,IND,592,0.350800263100197,GEN
798,Doddaballapur,M Jayalakshmi,0,300000,,Secondary Education,S S L C FROM GOVERNMENT HIGH SCHOOL SACRED HEART GIRLS HIGH SCHOOL IN 1975,Bangalore Rural,House Wife,Not Given,Cound't Classify,Cound't Classify,56,F,AIJP,286,0.169474451430162,GEN
799,Doddaballapur,Munegowda,0,520500,,Unknown,Unknown,Bangalore Rural,Agricultural Labor,Not Given,Agriculture / Farming,Cound't Classify,42,M,IND,194,0.114958194326753,GEN
800,Doddaballapur,Y Venkataramanappa,0,150000,,Unknown,Unknown,Bangalore Rural,Business,House Wife,Business / Entrepreneurship,Cound't Classify,52,M,IND,181,0.107254810170837,GEN
801,Doddaballapur,Mallesh M,0,13420700,4900000,Higher Secondary Education,PUC P.K.B pre university college marasandra bangalore north tq (2002-2003),Bangalore Rural,Managing directors of mahapavana homes india pvt ltd bangalore,Housewife,Business / Entrepreneurship,Education / Academia,33,M,FCI,156,0.0924406098709979,GEN
802,Doddaballapur,M Manjunath,0,3752500,200000,Higher Secondary Education,PUC Govt.college kanasavadi,Bangalore Rural,Agriculture,Housewife,Agriculture / Farming,Education / Academia,44,M,AIMEP,143,0.0847372257150814,GEN
803,Doddaballapur,S Purushotham,0,3100000,400000,Graduates,BCOM - Year 2010,Bangalore Rural,Business,Not Given,Business / Entrepreneurship,Cound't Classify,32,M,JD(U),132,0.0782189775831521,GEN
804,Doddaballapur,T.M.Venkataramanaiah,0,9325000,50000,Diploma Holders,Dpharma govt phamacy college subbayya circle bangalore,Bangalore Rural,Not Given,Not Given,Cound't Classify,Cound't Classify,61,M,KPJP,129,0.0764412735471713,GEN
805,Doddaballapur,Ibrahim Shariff Tubhagere Shariff,0,3978004,624000,Graduates,BA Govt.commerce college bangalore,Bangalore Rural,Journalism Agriculture,Housewife,"Media / Journalism, Agriculture / Farming",Education / Academia,57,M,IND,125,0.074071001499197,GEN
806,Gadag,Hanamantagouda Krishnagouda Patil,0,76278991,46555991,Postgraduates,"BSc Graduation from JSS College[1973], Karnataka University, Dharwad. and LLB Spl from JSS Sakri law College Hubballi - Karnataka university, Dharwad.",Gadag,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,64,M,INC,77699,48.4136083245061,GEN
807,Gadag,Anil Mensinakai,6,68102829,53738120,Higher Secondary Education,"PUC ,KVSR college Gadag ,batch(1994)",Gadag,Real Estate Developer,Business,Construction / Real Estate,Business / Entrepreneurship,43,M,BJP,75831,47.2496728768147,GEN
808,Gadag,NOTA,,,,,,,,,,,,,NOTA,2007,1.25054520530874,GEN
809,Gadag,Basanagouda M Patil,0,705000,170000,Higher Secondary Education,PUC Complete in Muddebihal,Gadag,Agriculture business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,38,M,INCP,1043,0.649884728020437,GEN
810,Gadag,Manjunath Basappa Abbigeri,0,38842780,3300000,Secondary Education,SSLC AT VIDYADANA SAMITHI BOYS HIGH SCHOOL GADAG IN THE YEAR 1972,Gadag,SOCIAL SERVICE EDITOR KITTOOR KANNADA DAILY PAPER OWNER,HOUSE WIFE,"Social Work / Activism, Media / Journalism",Not Given,64,M,IND,1034,0.644276901987662,GEN
811,Gadag,Mahaboobsab R Sompur,0,16370000,2500000,Secondary Education,Government High School Talakal Year 1973-74,Gadag,AGRICULTURE AND SOCIAL SERVICE,house wife,"Agriculture / Farming, Social Work / Activism",Not Given,63,M,BSP,985,0.613745404698112,GEN
812,Gadag,Shiraj Urf Shirajahmad Ballary,0,3142308,,Graduates,B.Com Ass College Gadag Year 1987-90,Gadag,Business and social service,Housewife,"Business / Entrepreneurship, Social Work / Activism",Education / Academia,49,M,AIMEP,791,0.492865599102747,GEN
813,Gadag,Vishwanath Khanapur,0,1042216,,Graduates,B.Com-1 From ASS College Gadag Year 1993,Gadag,Social Service Insurance advisor,Housewife,Social Work / Activism,Education / Academia,45,M,IND,422,0.262944731758988,GEN
814,Gadag,Abdulkhadarsab A,0,730418,,Secondary Education,Sri SharanaBasaweshwara High School Year 1996-97,Gadag,DAILY WAGES AND Social worker,House Wife,"Unknown, Social Work / Activism",Cound't Classify,40,M,IND,272,0.169480964546077,GEN
815,Gadag,Mallikarjun Basappa Desai,0,225000,,Secondary Education,9th pass Nagar sabe High School Gadag,Gadag,Self Employee,Not Given,Unknown,Cound't Classify,70,M,RCMP,219,0.136457100130849,GEN
816,Gadag,Shivaraddeppa S Reddar,0,17669000,6000000,Secondary Education,7th Pass Govt High School Etage Year 1984,Gadag,Agriculture,Housewife,Agriculture / Farming,Education / Academia,48,M,JD(U),187,0.116518163125428,GEN
817,Gandhi Nagar,Dinesh Gundu Rao,0,271611000,11564000,Graduates,B.E.(E C) In 1992 From BMC College Bangalore,B.B.M.P(Central),MLA,House wife,Politics / Public Service,Not Given,48,M,INC,47354,37.338064261778,GEN
818,Gandhi Nagar,A.R. Sapthagiri Gowda,0,160589378,50629362,Postgraduates,University Post Graduate Diploma in Law (Staffordshire Unviersity U K) in 2005,B.B.M.P(Central),Entrepreneur and Consultant,Homemaker,"Business / Entrepreneurship, Consulting / Advisory",Not Given,39,M,BJP,37284,29.397989355411,GEN
819,Gandhi Nagar,V. Narayanaswamy,0,438437470,17944146,Postgraduates,"BA Degree in 2001 At Jagajeevanram College Bangalore ,LLB In 2010 Babu JagajivanRAm Degree College Universoity",B.B.M.P(Central),Social Worker,Social Worker,Social Work / Activism,Social Work / Activism,63,M,JD(S),36635,28.8862605953084,GEN
820,Gandhi Nagar,NOTA,,,,,,,,,,,,,NOTA,2074,1.63532426572048,GEN
821,Gandhi Nagar,V. Nagaraj,15,44043000,4648611,Primary Education,"Has Completed 7th standard in Sevashrama Middle School, Shrirampura, Bengaluru",B.B.M.P(Central),Business,Homemaker,Business / Entrepreneurship,Not Given,57,M,IND,1476,1.16380839739798,GEN
822,Gandhi Nagar,M.P. Yuvaraj,,,,,,,,,,,58,M,ADMK,545,0.429726000394244,GEN
823,Gandhi Nagar,A. Elankovan,0,1620000,,Graduates,"B.E. (Mechanical) from National Institute of Technology, Surathkal, Karnataka in 1983 to 1987",B.B.M.P(Central),Engineering Consultant,Home Maker,"Engineering / Technology, Consulting / Advisory",Not Given,53,M,AAAP,515,0.406071358170707,GEN
824,Gandhi Nagar,S. Mohan Kumar,,,,,,,,,,,62,M,IND,286,0.225507589197713,GEN
825,Gandhi Nagar,R. Murthy,0,360000,,Secondary Education,S S L C GANDHI SCHOOL SRIRAMPURA BANGALORE,B.B.M.P(Central),SELF EMPLOYED AND SOCIAL WORKER,TAILORING,"Business / Entrepreneurship, Social Work / Activism",Construction / Real Estate,69,M,IND,171,0.134831460674157,GEN
826,Gandhi Nagar,G. Krishna,2,3899000,,Secondary Education,"SSLC SARVODAYA HIGH SCHOOL,DEVHALIIA PARK BANGLORE YEAR 1987",B.B.M.P(Central),BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,48,M,AIMEP,163,0.128523556081214,GEN
827,Gandhi Nagar,Mohamed Mujahid,0,202000,,Secondary Education,"10TH FROM NEW PUBLIC SCHOOL,BANGLORE YEAR 2010",B.B.M.P(Central),SMALL BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,27,M,JANSAMAP,123,0.0969840331164991,GEN
828,Gandhi Nagar,Dr Dinesh Kumar A,0,19590000,9000000,Doctorates,MD MEDICINE 2006-09 IN MS RAMIAYYA MEDICAL COLEGE AND DM NEPHROLOGY 2011-2014 MS RAMAIAH MEDICAL COLLEGE BANGALORE,B.B.M.P(Central),DOCTOR,DOCTOR,Medicine / Healthcare,Medicine / Healthcare,39,M,IND,108,0.0851567120047309,GEN
829,Gandhi Nagar,Syed Kareem,2,23321000,,Primary Education,"4TH STANDARD FROM GOVT. SCHOOL RAMACHANDRAPURA, BENGALORE",B.B.M.P(Central),CERAMIC AND SCRAP BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,48,M,SP,91,0.0717524147447269,GEN
830,Gangawati,Parappa M. Ishwarappa Munavalli,1,110738229,27154994,Graduates,"B.Sc. From Karnataka University Dharwad, Year-1975, PUC From PUC Board Bangalore",Koppal,BUSINESSMAN AND TENACITY,HOUSE WIFE,Business / Entrepreneurship,Not Given,64,M,BJP,67617,45.9126927542726,GEN
831,Gangawati,Iqbal Ansari,,,,,,,,,,,55,M,INC,59644,40.4989373476468,GEN
832,Gangawati,Kariyanna,1,100136271,18154000,Higher Secondary Education,"PUC IN GAVISIDDESHWARA COLLEGE KOPPAL, YEAR-1981",Koppal,Tenacity,House Wife AND TENACITY,Cound't Classify,Social Work / Activism,52,M,JD(S),14161,9.61547602072342,GEN
833,Gangawati,NOTA,,,,,,,,,,,,,NOTA,1615,1.09660290752548,GEN
834,Gangawati,G Nagaraj,1,1413138,220000,Graduates,"B.A. From Sri Ramulla College, Gangavathi-1996",Koppal,Social Service,SDC in High Court Govt job,Social Work / Activism,Politics / Public Service,44,M,CPM,1045,0.709566587222369,GEN
835,Gangawati,Bharadwaj,2,1212019,,Diploma Holders,"Diploma in Auto Mobiles From Govt. Polytechnic College, Vishakapattana, Year-1969",Koppal,Social Service,House Wife,Social Work / Activism,Cound't Classify,72,M,CPI(ML)(L),758,0.514690404894312,GEN
836,Gangawati,Taluri Prasad,0,21452207,6862000,Primary Education,4th Std pass in Govt. Primary School Banigola Taluk-1978-79 to 1981-82,Koppal,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",47,M,IND,578,0.392468409009119,GEN
837,Gangawati,Alam M.N,3,376873,78114,Secondary Education,SSLC Kotareshwar Primary School-1997-98,Koppal,Business,House Wife,Business / Entrepreneurship,Cound't Classify,36,M,IND,500,0.339505544125535,GEN
838,Gangawati,Sharanappa Sajjihola,0,699680,,Graduates,LLB From SCAB Law College Raichur,Koppal,Advocate,Home Maker,Law / Judiciary,Not Given,40,M,AAAP,407,0.276357512918185,GEN
839,Gangawati,Jogin Ramesh Nayak,0,1931642,,Secondary Education,"SSLC Koturu Basaveshwara Samuktha High School, Gangavathi-1997-98",Koppal,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,32,M,IND,359,0.243764980682134,GEN
840,Gangawati,Fathima Rajabakshi,2,117571,,Primary Education,"8th Std Shree Women's MNM-High School, Gangavathi-2004-05",Koppal,Juice Corner House,Juice Corner,Hospitality / Tourism,"Business / Entrepreneurship, Hospitality / Tourism",28,F,IND,282,0.191481126886802,GEN
841,Gangawati,Digambarrao Ananthrao Amba,0,725000,,Graduates,BA.LLB in Punkisanna Rudhrappa Law College Bellary-2004-2010,Koppal,Lawyer,Not Given,Law / Judiciary,Cound't Classify,35,M,IND,161,0.109320785208422,GEN
842,Gangawati,Sy Jarina Sy Mukaramraza,0,412348,,Secondary Education,"9th Class Govt.Urdu High School, Arab mohalla Raichur-1990-91",Koppal,Business,High School Teacher,Business / Entrepreneurship,Education / Academia,44,F,IND,146,0.0991356188846563,GEN
843,Gauribidanur,N H Shivashankara Reddy,0,175177376,38454576,Postgraduates,"SSLC in 1968, PUC in 1970, BSC in Agriculturist vishvwavidhyalaya, Dharward in 1973",Chikkaballapur,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,64,M,INC,69000,40.9082824450109,GEN
844,Gauribidanur,C R Narasimha Murthy,0,13070845,3100000,Higher Secondary Education,Government composit pu college,Chikkaballapur,Agriculture,House wife,Agriculture / Farming,Not Given,52,M,JD(S),59832,35.4728167427521,GEN
845,Gauribidanur,Jaipal Reddy K,0,23474176,1589066,Primary Education,"6th From Govt. Higher Primary School Doddakannelli, Bangalore East, K.R. Puram Bangalore",Chikkaballapur,Real Estate Contractor Business,Not Given,"Construction / Real Estate, Business / Entrepreneurship",Cound't Classify,40,M,BJP,34759,20.6076955000889,GEN
846,Gauribidanur,N R Ravichandrareddy,0,8131600,660000,Higher Secondary Education,PUC National College Gooribenuru 1988-91,Chikkaballapur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,48,M,CPM,1095,0.649196656192565,GEN
847,Gauribidanur,NOTA,,,,,,,,,,,,,NOTA,784,0.464812948360704,GEN
848,Gauribidanur,Anantha G (P.T.Master),0,227500,,Graduates,Physical Educational Training College Gauribidanur Town May 1987-88,Chikkaballapur,DAILY WAGES AND Social worker,Housewife,"Unknown, Social Work / Activism",Education / Academia,57,M,RPI(A),731,0.433390644453666,GEN
849,Gauribidanur,V C Sachidananda Murthy,0,39728000,,Postgraduates,"B.Sc From Govt. Science College Bangalore University In 1980, M.A From University In 1982 LLB From V.V. Puram Law College Bangalore In 1985",Chikkaballapur,Self Employed Retired Govt. Employee,Lecturer,Unknown,Education / Academia,58,M,BJC,600,0.355724195174008,GEN
850,Gauribidanur,N Hanumanthanayaka,0,3462461,2800000,Higher Secondary Education,"PUC from National College, Gauribidanur Year 199-92, SSLC from Municipal High School Year 1990-91",Chikkaballapur,Assistant Engineer and 3rd Grade Contractor,House Wife,Engineering / Technology,Cound't Classify,43,M,IND,453,0.268571767356376,GEN
851,Gauribidanur,G R Mohan Kumar,0,1054236,,Secondary Education,"SSLC National High School, Hosuru, Gouribidanuru Taluk. Passed Yr 1983-84",Chikkaballapur,Letter Writter Agriculturist,Not Given,"Agriculture / Farming, Unknown",Cound't Classify,50,M,IND,325,0.192683939052587,GEN
852,Gauribidanur,Yogeesha H V,0,2340730,76460,Graduates,"B.A., National College Gauribidnur 2014-15",Chikkaballapur,Max Cosultancy Group Director,Not Given,Business / Entrepreneurship,Cound't Classify,27,M,AIMEP,314,0.186162328807731,GEN
853,Gauribidanur,G N Ravi,0,899000,50000,Secondary Education,10th Grade Acharya high School Gauribidanur Karnataka High School Educational Board Bangalore,Chikkaballapur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,54,M,IND,234,0.138732436117863,GEN
854,Gauribidanur,D Palya Khadar Subhan Khan,0,5775000,1800000,Secondary Education,SSLC Govt High School D.Palya Goribinooru Taluk April 1987,Chikkaballapur,Agriculture and social service,Teacher,"Agriculture / Farming, Social Work / Activism",Education / Academia,47,M,SP,192,0.113831742455682,GEN
855,Gauribidanur,Amjad Khan (Nadim),0,155000,,Higher Secondary Education,"PUC AES National College, Gouribidhinuru -1993-94",Chikkaballapur,Not Given,Not Given,Cound't Classify,Cound't Classify,48,M,IND,190,0.112645995138436,GEN
856,Gauribidanur,Devaki B A,0,260035,,Primary Education,Grama Jothi High School Luckvalli Tere kere Taluk Chikkamanglore District 1968-69,Chikkaballapur,Social Service,Not Given,Social Work / Activism,Cound't Classify,64,F,PPOI,161,0.0954526590383589,GEN
857,Gokak,Jarkiholi Ramesh Laxmanrao,,,,,,,,,,,58,M,BJP,87450,,GEN
858,Gokak,Jarkiholi Lakhan Laxmanrao,,,,,,,,,,,,M,INC,58444,,GEN
859,Govindraj Nagar,V Somanna,1,529229341,21725189,Graduates,"BA IN V.V Puram Evening college, Vishweshwarapuram, Bangalore-1971-72 to 1973-74",B.B.M.P(South),"The current procedure council member, Karnataka",Agriculturist,Politics / Public Service,Agriculture / Farming,67,M,BJP,79135,50.3304055815964,GEN
860,Govindraj Nagar,Priyakrishna,1,10205387250,8114705952,Postgraduates,"MA From Karnataka State open University Mysuru -2007, LLB from Bangalore University (2008)",B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify,34,M,INC,67760,43.0958271587664,GEN
861,Govindraj Nagar,A Nagendra Prasad,0,4184000,675000,Higher Secondary Education,PUC INCOMPLETE VIVEKANANDA COLLEGE BANGALORE YEAR-1980,B.B.M.P(South),BUSINESS (TRAVEL AGENCY ),House Wife,Business / Entrepreneurship,Cound't Classify,50,M,JD(S),7090,4.50928888069146,GEN
862,Govindraj Nagar,NOTA,,,,,,,,,,,,,NOTA,1589,1.01061495506611,GEN
863,Govindraj Nagar,Dr K S Gangadhara,0,1645108,,Graduates,BAMS from CEM Bengaluru University,B.B.M.P(South),"Practicing Doctor, Vivek Clinic, Viveknagar, Bangalore-47","Sanskrit Lecturer, Sheshadripuram College Bangalore 21",Medicine / Healthcare,Education / Academia,58,M,SUCI,329,0.209246268229547,GEN
864,Govindraj Nagar,S Suresh,0,195000,60000,Primary Education,6th std A G H S,B.B.M.P(South),Auto Driver,House wife,Unknown,Not Given,58,M,IND,298,0.18953005450579,GEN
865,Govindraj Nagar,N Hanumegowda,1,9184590,2479162,Secondary Education,"SSLC YALAHANKA GOVT SCHOOL PASSING DATE-1980, 1st PUC From Bangalore V.V.Pura College, Year-1981 ITI in Instrument Mechanics Form Bangalore ITI, Year-1983",B.B.M.P(South),LIC POLICE,House wife,Law Enforcement / Security,Not Given,55,M,IND,230,0.146281585692388,GEN
866,Govindraj Nagar,Parveez Khan P,0,2550000,,Graduates,B com sarkari first grade collage passing Date-2014,B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify,28,M,SJPL,211,0.134197454700408,GEN
867,Govindraj Nagar,Shivaraju G,0,39500,,Secondary Education,SSLC SENT MEERAS HIGH SCHOOL MUDALPAYA PASSING DTAE-2009,B.B.M.P(South),Driver and journalism,Not Given,"Transportation / Logistics, Media / Journalism",Cound't Classify,27,M,IND,122,0.0775928411063976,GEN
868,Govindraj Nagar,Prabhu,0,434146,,Unknown,Unknown,B.B.M.P(South),Labour,Labour,Cound't Classify,Cound't Classify,48,M,SJPA,94,0.059784648065585,GEN
869,Govindraj Nagar,Govindaiah B R,0,4078530,,Higher Secondary Education,PUC FROM BANUMAYA COLLAGE . MYSORE IN1970-71,B.B.M.P(South),Business,House wife,Business / Entrepreneurship,Not Given,68,M,IND,75,0.047700517073605,GEN
870,Govindraj Nagar,M Umashankar,0,8949500,,Graduates,"B.A in Vishvavidhyala, Bangalore Passed yr 1991",B.B.M.P(South),Business,House Wife,Business / Entrepreneurship,Cound't Classify,51,M,IND,69,0.0438844757077166,GEN
871,Govindraj Nagar,Raghunath A P,0,333500,,Graduates,B COM CV RAMANA COLLAGE BENGALURU PASSIGA DATE-2016,B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify,26,M,IND,66,0.0419764550247724,GEN
872,Govindraj Nagar,Jayachandra H,0,910000,,Graduates,B. Com From Seshadripuram Degree Collage Bengaluru passing Date-2000-2003,B.B.M.P(South),Agriculturist,Home Maker,Agriculture / Farming,Not Given,34,M,IND,58,0.0368883998702545,GEN
873,Govindraj Nagar,Sreedhar V S,0,3000000,,Graduates,B A,B.B.M.P(South),journalist,house wife,Media / Journalism,Not Given,45,M,RCMP,54,0.0343443722929956,GEN
874,Govindraj Nagar,Yathis M,0,15793000,800000,Graduates,BA MYSURU UNIVERSITY PASSING YEAR 1990,B.B.M.P(South),Business,House wife,Business / Entrepreneurship,Not Given,52,M,IND,51,0.0324363516100514,GEN
875,Gubbi,S R Srinivas,0,55842795,15733895,Graduates,"Primary school MH village ,high school chidabara ashrama 1979-1980,PUC nijalingappa colleg ,BA gvt college tumkur",Tumkur,Farming and business,home maker,"Agriculture / Farming, Business / Entrepreneurship",Not Given,56,M,JD(S),55572,35.7560159567623,GEN
876,Gubbi,G N Bettaswamy,0,16865104,1200000,Illiterate,4th Standard.,Tumkur,Agricuturist,Homemaker,Agriculture / Farming,Not Given,59,M,BJP,46491,29.9131385922017,GEN
877,Gubbi,S D Dilip Kumar,2,85202011,63358776,Graduates,B.B.A C.M.J University in 2012,Tumkur,"Partnar of Bhyrava stone crusher, bhyrava Minarales","Partnar of Bhyrava stone crusher, Kempambha Stone Crusher Owner",Business / Entrepreneurship,Business / Entrepreneurship,38,M,IND,30528,19.6422596834384,GEN
878,Gubbi,Kumar K,0,121333555,42735061,Primary Education,"8TH PASSED IN PVP HIGH SCHOOL K.H.B. COLONY, BANGALORE",Tumkur,BUSINESS,BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship,44,M,INC,13938,8.96795779178998,GEN
879,Gubbi,H T Krishnappa,0,69172950,19432320,Postgraduates,"M.A(ECO),BA.LIB(sic),KSAS",Tumkur,ZP Member,House Wife,Not Given,Cound't Classify,62,M,IND,3296,2.12070518594775,GEN
880,Gubbi,Prabhuswami B S,0,19931000,5600000,Graduates,Bsc From Bangalore University,Tumkur,Bussiness man patnership,Not Given,Business / Entrepreneurship,Cound't Classify,44,M,AAAP,1129,0.726418736327371,GEN
881,Gubbi,Bettaswamy,0,326000,,Secondary Education,"7th, H S P S, CS Pura. 75-76",Tumkur,Agriculture Wages,Agriculture Wages,Agriculture / Farming,Agriculture / Farming,53,M,IND,983,0.63247973233818,GEN
882,Gubbi,Dileep Kumar K U,0,407635,,Higher Secondary Education,"12th Pass, Mahatma Gandhi PU Collage, Kunigal, Tumkur Dist. Year 2010",Tumkur,Business,Not Given,Business / Entrepreneurship,Cound't Classify,27,M,IND,813,0.523098700295972,GEN
883,Gubbi,Srinivas,0,9490000,,Higher Secondary Education,"PUC, Govt Junior Collage, Tumkur. Year 1972",Tumkur,Retired Govt.Employee,House Wife,Unknown,Cound't Classify,62,M,IND,660,0.424655771457984,GEN
884,Gubbi,NOTA,,,,,,,,,,,,,NOTA,457,0.294041950842877,GEN
885,Gubbi,Shivakumar M S,0,3444511,1435165,Doctorates,"Ded, Education, DIET, Tumkur. Year 2008, And PUC",Tumkur,"Owner of Hemanth Enterprises, Bangalore",Business,Business / Entrepreneurship,Business / Entrepreneurship,32,M,KPJP,457,0.294041950842877,GEN
886,Gubbi,Naganna G K,0,215000,,Doctorates,"P hd, (Present Study), Mangalore University, M.A Tumkur University. 2008-09, B ed-KSEF, Tumkur University 2006-07",Tumkur,Social Work,House Wife,Social Work / Activism,Cound't Classify,33,M,IND,383,0.246429031012739,GEN
887,Gubbi,A B Ajaz Pasha,0,2100000,100000,Graduates,B.Sc From Bangalore University. 1999-2000,Tumkur,Private Teacher,House Wife,Education / Academia,Cound't Classify,39,M,IND,265,0.170505726418736,GEN
888,Gubbi,Raju B S,0,420000,,Secondary Education,"8th Pass, Year 1992-93",Tumkur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,39,M,AIMEP,227,0.146055848668125,GEN
889,Gubbi,Ravikumar M K,0,1064206,1060000,Higher Secondary Education,"12th Pass, Govt PU Collage, B H Road, Tumkur. Year 2005-06",Tumkur,Air Conditioner Business Seals Service,House Wife,Business / Entrepreneurship,Cound't Classify,32,M,RPSN,221,0.14219534165487,GEN
890,Gulbarga Dakshin,Dattatrey,0,172247264,86481124,Diploma Holders,"Passed Diploma in Pharmacy Ist Year Tipusultan College of Pharmacy Gulbarga, Board of Examining Authority Bangalore",Gulbarga,Business,House wife,Business / Entrepreneurship,Not Given,35,M,BJP,64788,44.8788462337734,GEN
891,Gulbarga Dakshin,Allamprabhu Patil,0,47819439,2989435,Graduates,BA from SB College of Arts Kalaburagi Year 1978-79,Gulbarga,"Social Service, Agriculture Business",Agriculture,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,62,M,INC,59357,41.11677588285,GEN
892,Gulbarga Dakshin,Basavaraj Diggavi,0,130355245,58376638,Graduates,"B.Sc. from Govt. Degree College, Kalaburagi, Gulbarga University, Gulbarga in 1994",Gulbarga,Business and Social Service,Business,"Business / Entrepreneurship, Social Work / Activism",Business / Entrepreneurship,46,M,JD(S),14359,9.94652332331223,GEN
893,Gulbarga Dakshin,Suryakant Nimbalkar,2,2506794,,Graduates,"B.A From Manyavar Dadasaheb Kanshiram Degree College Kusnoor Gulbarga From Gulgarga University, Gulbarga In 20163",Gulbarga,Social Worker,House Wife,Social Work / Activism,Cound't Classify,47,M,BSP,1853,1.28357878111968,GEN
894,Gulbarga Dakshin,Malappa,0,27771000,400000,Graduates,"Gulbarga University , Kalburgi",Gulbarga,Social Worker,Home Maker,Social Work / Activism,Not Given,,,NOTA,1114,0.771671215416799,GEN
895,Gulbarga Dakshin,Rizwan Ur Rahman Siddiqui,0,3590000,,Postgraduates,"SSLC at National High School Kalaburagi (Karanataka Secondary Education Board, Bangalore) in 1983-84, Diploma in Agricultural engineering at College of Agricultural engineering Raichur (University of Agricultural sciences Dharwad) in 1989-90",Gulbarga,Agriculturist,Household,Agriculture / Farming,Not Given,51,M,IND,597,0.41354373034455,GEN
896,Gulbarga Dakshin,Maqbool Khan Heerapur,0,100000,,Postgraduates,"M.A (Urdu) Mysore Open University,Mysore -1991",Gulbarga,Social Worker,Household,Social Work / Activism,Not Given,49,M,IND,479,0.331804768567905,GEN
897,Gulbarga Dakshin,M S Udanoor,,,,,,,,,,,61,M,INCP,288,0.199498482980285,GEN
898,Gulbarga Dakshin,Prahlad Matmari,0,3307293,,Diploma Holders,"ITI Diesel Mech. From Govt. ITI College, Gulbarga in 1988-89",Gulbarga,Social Worker Business,Not Given,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,46,M,IND,259,0.179410094069076,GEN
899,Gulbarga Dakshin,Syed Abdul Bari,0,14677449,1150000,Higher Secondary Education,"PUC Passed Pre-University Examination from National Pre-University College, Haft Gumbad Gulbarga Under Pre University Board Karnataka, Bangalore",Gulbarga,Fabrication Business,House Wife,Business / Entrepreneurship,Cound't Classify,58,M,WPOI,252,0.174561172607749,GEN
900,Gulbarga Dakshin,Jagannath M Chawan,0,379000,40000,Secondary Education,SSLC Shri Shivalingeshwara High School-1986,Gulbarga,Social Service,House Wife,Social Work / Activism,Cound't Classify,54,M,NDEP,229,0.158629002091963,GEN
901,Gulbarga Dakshin,Ratna Sukhjinder Singh,0,6342000,497000,Postgraduates,"BA,B.ED,LLB from Karnataka Law college Bidar -1996-87",Gulbarga,Advocacy Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming,46,F,AIMEP,184,0.127457364126293,GEN
902,Gulbarga Dakshin,Viranna,0,2557000,,Higher Secondary Education,PUC PASSED IN THE YEAR 1988 GOVT PRE-UNIVERSITY COLLEGE ALAND,Gulbarga,SOCIAL WORKER,SOCIAL WORKER,Social Work / Activism,Social Work / Activism,49,M,SHS,179,0.123993848796774,GEN
903,Gulbarga Dakshin,Dharmaveer S Pujari,0,116500,,Graduates,B.A. B.Ed From Govt B.Ed. College Gulbarga in 1987,Gulbarga,Social Worker Private Work,Household,Social Work / Activism,Not Given,57,M,IND,171,0.118452224269544,GEN
904,Gulbarga Dakshin,Chandsab M Bhimalli,0,2691800,200000,Secondary Education,"5TH Govt. High School, Bhimalli",Gulbarga,Agriculture,House wife,Agriculture / Farming,Not Given,54,M,IND,138,0.0955930230947202,GEN
905,Gulbarga Dakshin,Ramadevi Rajkumar Madgi,0,5710000,2042000,Graduates,BA.LLB Lahoti Law College Kalaburagi-2005,Gulbarga,Legal Adviser Agriculturist,Death,"Law / Judiciary, Agriculture / Farming",Cound't Classify,38,F,SHP,115,0.0796608525789335,GEN
906,Gulbarga Rural,Basawaraj Mattimudu,0,86533854,14851114,Higher Secondary Education,PUC from Govt. PU College Gundagurti Tq. Chittapur in 1998,Gulbarga,Agriculture Social Service,Home Maker Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,38,M,BJP,61750,40.4931309223253,SC
907,Gulbarga Rural,Vijaykumar G Ramkrishna,0,14483450,1616624,Higher Secondary Education,"PUC (Science) from Vijay Vidyalaya, Kalaburagi in 2005",Gulbarga,Social Worker,Private Sector Employee,Social Work / Activism,Business / Entrepreneurship,39,M,INC,49364,32.3708974064723,SC
