,constituency,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,name,age,gender,party,votes,percent_votes,constituency_category,total_electors,voter_turnout,const_num
87,Ramanagaram,8,1671408437,1049412330,Graduates,"B.Sc. from National College, Jayanagar Bangalore University Year 1978-79",Ramanagaram,Public Servant Agriculturist,"Entreprenur, Carrying on Business of Petrol and Petroleum Product under the name of Style of Nikhil Co and Business of Movie Production under the name and Style of Channambika Films Director in Kasthuri Medias Pvt Ltd","Politics / Public Service, Agriculture / Farming",Business / Entrepreneurship,H.D.Kumaraswamy,59,M,JD(S),92626,53.9615035070957,GEN,206999,171652.0,183
88,Holenarasipur,0,297051951,55396351,Secondary Education,"Matriculation from Govt. High School, Chakenahalli, Hale Kote Hobli, Holenarsipura Year 1973-74",Hassan,"Agriculturist, Public Servant","House wife, Social Activist","Politics / Public Service, Agriculture / Farming",Social Work / Activism,H D Revanna,60,M,JD(S),108541,60.134850633809,GEN,209086,180496.0,197
89,Virajpet,1,42682329,1535783,Postgraduates,"B Sc, From-Govt.College ,Madikeri,Mysore University .Year-1973. LLB -From B.M.S Law College, Year-1980",Kodagu,Agriculturist,"Principal,Govt. Sports School",Agriculture / Farming,"Education / Academia, Sports / Athletics",K G Bopaiah,65,M,BJP,77944,49.402935882159,GEN,217457,157772.0,209
90,Turuvekere,0,335112912,94378900,Secondary Education,"Shree Pragathipara Vidyavardaka high school, Mavinahalli. yr 1986",Tumkur,Agriculture and Industrialist,Agriculture and Industrialist,"Agriculture / Farming, Engineering / Technology","Agriculture / Farming, Engineering / Technology",Jayaram A S,50,M,BJP,60710,39.5404424934381,GEN,181202,153539.0,130
91,Channagiri,1,57305811,,Graduates,"BA, Sahyadri collage, Shivmoga. 1973",Davangere,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,K Madalu Virupakshappa,70,M,BJP,73794,46.677293255911,GEN,196265,158094.0,109
92,Kundapura,0,28033590,62042836,Graduates,"B SC ,MGM College ,Udupi .Year-1974-75",Udupi,Not Given,Not Given,Cound't Classify,Cound't Classify,Halady Srinivas Shetty,67,M,BJP,103434,65.1988099140213,GEN,199617,158644.0,119
93,Channapatna,8,1671408437,1049412330,Graduates,"B.Sc. from National College, Jayanagar Bangalore University Year 1978-79",Ramanagaram,Public Servant Agriculturist,"Entrepreneur, Carrying on Business of Petrol and Petroleum Product under the name of Style of Nikhil Co and Business of Movie Production under the name and Style of Channambika Films Director in Kasthuri Medias Pvt Ltd","Politics / Public Service, Agriculture / Farming","Business / Entrepreneurship, Arts / Entertainment",H D Kumara Swamy,59,M,JD(S),87995,46.5549988625121,GEN,217606,189013.0,185
94,Shimoga Rural,0,76302278,5063944,Postgraduates,"M.Sc FROM MYSORE UNIVERSITY IN1992, B.Ed FROM KUVEMPU UNIVERSITY IN 1999",Shimoga,Business and Social work,Business and house wife,"Business / Entrepreneurship, Social Work / Activism",Business / Entrepreneurship,K.B. Ashok Naik,51,M,BJP,69326,40.2477822674283,SC,211546,172248.0,111
95,Hubli-Dharwad Central,0,122635305,21546884,Postgraduates,LLB From J.S.S Law College Hubli 1980,Dharwad,Lawyer Politican Krishna,house wife and Agriculture,"Law / Judiciary, Politics / Public Service",Agriculture / Farming,Jagadish Shettar,62,M,BJP,75794,51.3127073319342,GEN,242736,147710.0,73
96,Chintamani,0,406551143,2000000,Secondary Education,SSLC From Govt. High School Vartur,Chikkaballapur,Agricultural Business,House Wife Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,J K Krishna Reddy,51,M,JD(S),87753,48.5472288916673,GEN,214487,180758.0,143
97,Kampli,0,27259550,360000,Graduates,"B.A.Incomplete, Vijayanagar Mahavidyalaya, Hosapete. 2003-04",Bellary,Business and Agriculture,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia,J N Ganesh,39,M,INC,80592,48.6196911196911,ST,212841,165760.0,91
98,Mulbagal,0,110972198,26783527,Diploma Holders,B.E in Electronics from U.V.C.E College Year 1982,Kolar,KPTCL,Commercial Business,Unknown,Business / Entrepreneurship,H.Nagesh,60,M,IND,74213,45.1170283907836,SC,203419,164490.0,145
99,Chiknayakanhalli,1,41399473,11269455,Postgraduates,"7 th,10th,puc inrenukcharya colloge,bsc,MA in mysore univercity ,LLB law coilleg in thumkur",Tumkur,farmer,house wife,Agriculture / Farming,Not Given,J.C. Madhu Swamy,65,M,BJP,69612,38.531409309045,GEN,212217,180663.0,128
100,Kadur,0,15034000,4503544,Postgraduates,"1)B.E IN JMIT VIDYASAMSTHE CHITRADURGA PASSED IN THE YEAR 1993,2)LLB AT SJRC VIDYASAMSTHE BENGALURU PASSED IN THE YEAR 1999",Chikmagalur,SELF LAWYER AND AGRICULTURIST,HOUSE WIFE AND LIC AGENT,"Law / Judiciary, Agriculture / Farming","Not Given, Banking / Finance",K S Prakash,53,M,BJP,62232,38.9709934372025,GEN,201915,159688.0,127
101,Shimoga,5,103148136,20344184,Graduates,"B.COM , COLLEGE NAME- ACHARYA TULASI NATIONAL COMMERCIAL COLLEGE,SHIVAMOGGA UNIVERSITY- MYSORE UNIVERSITY, YEAR-1971-72",Shimoga,BUSINESS AND VENTURE,BUSINESS AND VENTURE,Business / Entrepreneurship,Business / Entrepreneurship,K.S. Eshwarappa,70,M,BJP,104027,60.3565916659897,GEN,256373,172354.0,113
102,Udupi,0,183509878,108273889,Postgraduates,MA in Political Science from Karnataka State Open University in 2006,Udupi,Business,House wife,Business / Entrepreneurship,Not Given,K Raghupathi Bhat,49,M,BJP,84946,52.3050398694621,GEN,207458,162405.0,120
103,Arsikere,0,16800290,500000,Graduates,B A GOVERNMENT ARTS COLLEGE HASSAN MYSORE UNIVERSITY 1980,Hassan,"SOCIAL WORKER,AGRICULTRIST,LAW MAKERS",AGRICULTRIST,"Agriculture / Farming, Social Work / Activism, Law Enforcement / Security",Agriculture / Farming,K.M Shivalinge Gowda,60,M,JD(S),93986,54.3400459068334,GEN,208389,172959.0,194
104,Malur,1,265234954,394910065,Secondary Education,9th Standard from Tekal Government High School in 1981,Kolar,Building Stone Quarry and crusher Business and Agriculture,House maker,"Agriculture / Farming, Construction / Real Estate",Not Given,K.Y. Nanjegowda,56,M,INC,75677,46.8988981296711,GEN,181112,161362.0,149
105,Belur,0,37178344,2640355,Postgraduates,M. A Graduate,Hassan,Agriculturist,High School Teacher,Agriculture / Farming,Education / Academia,Lingesha. K.S.,59,M,JD(S),64268,42.2041121888113,GEN,190544,152279.0,195
106,Mahalakshmi Layout,0,107829135,53085427,Graduates,BSC From Bangalore University In 1982,B.B.M.P(North),Politics Social Service,"House wife,Business,Agriculture and Social Service","Politics / Public Service, Social Work / Activism","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",K. Gopalaiah,57,M,BJP,85889,,GEN,292364,159880.0,156
107,Kolar,1,88553676,,Graduates,"B.Sc. from Govt. College, Kolar, Mysuru University in 1968-69",Kolar,Agriculture and Business,House wife (Homemaker),"Agriculture / Farming, Business / Entrepreneurship",Not Given,K.Srinivasa Gowda,71,M,JD(S),82788,46.2239394311621,GEN,225183,179102.0,148
108,Hiriyur,0,957035161,105596930,Postgraduates,MA (Sociology) from Bangalore University Year 2003,Chitradurga,Educationist,Educationist,Education / Academia,Education / Academia,K Poornima,42,F,BJP,77733,41.1749749717936,GEN,235486,188787.0,100
109,Ron,0,237904762,123675576,Technical/Professional Courses,RASTRABHASHA PRAVEEN POORVARDA DAKSHIN BHARAT HINDI PRACHARA SABHA MADRAS,Gadag,AGRICULTURE AND BUSINESS AND SOCIAL SERVICE,AGRICULTURE AND SOCIAL SERVICE,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Social Work / Activism",Kalakappa Bandi,49,M,BJP,83735,49.0938725734488,GEN,224989,170561.0,67
110,Srinivaspur,0,139216663,22961049,Graduates,"B.Sc From Government Arts Science College Bangalore, Bangalore University In 1970-71",Kolar,Agricultural,House Wife,Agriculture / Farming,Cound't Classify,K R Ramesh Kumar,68,M,INC,93571,50.7137901879593,GEN,206007,184508.0,144
111,Gulbarga Uttar,0,173654000,1117800,Graduates,Pre University studied at Nampally Junior College Hyderabad,Gulbarga,Business and Educationist,Not Given,"Business / Entrepreneurship, Education / Academia",Cound't Classify,Kaneez Fatima,58,F,INC,64311,43.2919112499326,GEN,274281,148552.0,45
112,Periyapatna,0,160731213,684368,Unknown,Unknown,Mysore,agriculture and Business,House wife and Business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Not Given",K. Mahadeva,63,M,JD(S),77770,49.9434868606951,GEN,180460,155716.0,210
113,Byatarayanapura,0,124848680,17177519,Postgraduates,"MA in international affairs american university Washington DC ,USA in the year 1999 BBM in Christ College , Bangalore in the year 1994",Bangalore Urban,Agriculture,"Senior Consultant CJI information System ltd,.",Agriculture / Farming,Consulting / Advisory,Krishna Byregowda,45,M,INC,114964,45.3133314151252,GEN,440396,253709.0,152
114,Sarvagnanagar,0,803782475,480874477,Secondary Education,"BA Not completed from Mysore University Year 1969-70, Intermediate from Govt Junior College Ponampet Year 1966-67, High School from Govt Junior College Ponampet Year 1964-65",B.B.M.P(North),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,K.J George,68,M,INC,109955,61.7409077381787,GEN,347559,178091.0,160
115,Belgaum Rural,6,287932275,,Postgraduates,Master of Arts (Political Science) From Mysore University In 2002,Belgaum,"Social service, Agriculture Business, Presently Director of Harsha Sugars ltd.,",Agriculture,"Agriculture / Farming, Social Work / Activism, Business / Entrepreneurship",Agriculture / Farming,Laxmi R Hebbalkar,43,F,INC,102040,54.7369098643378,GEN,240389,186419.0,13
116,Mayakonda,0,64420805,5932630,Postgraduates,"MA-Mangalagangothri,Mysore Manasagangothri University, Year 1979",Davangere,Agriculturalist and Social worker,Housewife and Social Worker,"Agriculture / Farming, Social Work / Activism","Social Work / Activism, Not Given",N. Linganna.,65,M,BJP,50556,32.582510005607,SC,190528,155163.0,108
117,Chamaraja,0,46390986,30003243,Secondary Education,9th oxford high school JLB Road mysore 1979-80,Mysore,Businessman,Housewife,Business / Entrepreneurship,Education / Academia,L. Nagendra,53,M,BJP,51683,36.770920784894,GEN,235672,140554.0,217
118,Kapu,0,29437263,29418365,Graduates,B COM FROM PURNA PRADNYA SANDHYA COLLEGE UDUPI MANGALORE UNIVERSITY In -1982-83,Udupi,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Lalaji .R. Mendon,58,M,BJP,75893,52.5400143996455,GEN,183004,144448.0,121
119,Bailhongal,0,69225044,3280224,Postgraduates,"LLB (Spl) from Karnataka University Law College, Karnataka University Dharwad Year 2002, B.Com from K R CE Society B M P Commerce College Bailhongal, Karnataka University Dharwad Year 1998",Belgaum,Advocate anf Agriculturist,Dairy,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare,Koujalagi. Mahantesh. Shivanand.,47,M,INC,47040,32.4861878453038,GEN,184815,144800.0,16
120,Honnali,4,46320844,5875348,Higher Secondary Education,PUC sayaedri collage shimoga in 1987-88,Davangere,Business,LIC Govt employee,Business / Entrepreneurship,"Politics / Public Service, Banking / Finance",M P Renukacharya,57,M,BJP,80624,49.8087936392223,GEN,193335,161867.0,110
121,Holalkere,0,93951852,,Graduates,B.A IN YEAR 1978-79,Chitradurga,AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given,M. Chandrappa,66,M,BJP,107976,57.2859522723173,SC,224444,188486.0,102
122,Afzalpur,0,21458944,4584591,Graduates,"B.A FROM KARNATAKA UNIVERSITY, DHARWARD YEAR 1964",Gulbarga,AGRICULTURAL AND SOCIAL WORK,HOUSEHOLD DUTIES,"Agriculture / Farming, Social Work / Activism",Not Given,M Y Patil,77,M,INC,71735,47.916611002752,GEN,220007,149708.0,34
123,Siruguppa,3,24338880,865304,Higher Secondary Education,"1st PU Fail, VKJJ Collage, PU board, Bangalore",Bellary,Agriculture,Agriculture and Housewife,Agriculture / Farming,Agriculture / Farming,M.S. Somalingappa,58,M,BJP,82546,54.2526831897259,ST,203092,152151.0,92
124,Vijay Nagar,2,2361792635,664559508,Graduates,Bachelor of Science from Sri jagadguru Renukacharya College Bangalore University in 1973,B.B.M.P(South),Business Agriculturist,Business Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",M. Krishnappa,66,M,INC,73353,46.8996956599575,GEN,312449,156404.0,167
125,Bangalore South,0,819461682,138154431,Secondary Education,"SSLC,JSS school",Bangalore Urban,Legislature and social service,Industrialist,"Politics / Public Service, Social Work / Activism",Business / Entrepreneurship,M Krishnappa,55,M,BJP,152427,47.7445928802994,GEN,603939,319255.0,176
126,Madhugiri,0,373924939,216824192,Graduates,Has done Bachelors degree in political science from Bangalore University in 1976-78.,Tumkur,Retired Govt. employee,Homemaker,Politics / Public Service,Not Given,M.V. Veerabhadraiah,63,M,JD(S),88521,53.3066361556064,GEN,193354,166060.0,138
127,Sindgi,0,67370015,8803986,Secondary Education,SSLC HG high school sindgi year 1956,Bijapur,"Social worker,Agriculture,Business",Agriculture Business,"Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",Managuli Mallappa Channaveerappa,82,M,JD(S),70865,44.1537483800219,GEN,224963,160496.0,33
128,Ramdurg,0,31634861,6211280,Secondary Education,7th Pass From Bhatakurki Govrnament School 1966,Belgaum,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Mahadevappa Shivalingappa Yadawad,65,M,BJP,68349,45.1661292027912,GEN,200580,151328.0,18
129,Babaleshwar,0,1048905747,457789220,Graduates,"Completed B.E(Civil Engineering) in B. L. D. E Organisation, V.P.D.P.G Halakatti College Of Engineering and Technology, vijayapura, 'Karnataka University, Dharwad'.(1990)",Bijapur,Agriculturist,Housewife and Agriculturist,Agriculture / Farming,Agriculture / Farming,Mallanagoud Basanagoud Patil,53,M,BJP,98339,57.292085408838,GEN,211779,171645.0,29
130,Mandya,1,28726116,1027067,Graduates,"L.L.B From Mysore University Year 1974, B.S.C From Mysore University Year 1974",Mandya,Lawyer,House wife and Lawyer,Law / Judiciary,"Law / Judiciary, Not Given",M Srinivas,69,M,JD(S),69421,41.9901165568842,GEN,227644,165327.0,189
131,Dasarahalli,0,266066219,41863525,Secondary Education,"10th Class,Kanasavadi School,Madurae hobli,Doddabalapur dist.Bang. Dist. year 1975",Bangalore Urban,Self Employment and Buisness,Housewife,Business / Entrepreneurship,Education / Academia,R.Manjunatha,59,M,JD(S),94044,43.4815174422636,GEN,449950,216285.0,155
132,Gauribidanur,0,175177376,38454576,Postgraduates,"SSLC in 1968, PUC in 1970, BSC in Agriculturist vishvwavidhyalaya, Dharward in 1973",Chikkaballapur,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,N.H.Shivashankara Reddy,64,M,INC,69000,40.9082824450109,GEN,203048,168670.0,139
133,Shanti Nagar,0,1902486142,92089951,Postgraduates,Master of Arts in History from Karnataka State Open University Year 2005,B.B.M.P(Central),"Managing Director, Nalapad Group of Companies",House wife,Business / Entrepreneurship,Not Given,N A Haris,51,M,INC,60009,49.4226651293032,GEN,226046,121420.0,163
134,Bilgi,2,524849089,238347616,Graduates,"Bachelor of Engineering from B.V.B Engineering College Hubli, Dist.Dharwad,Year-1987, Karnataka University,Dharwad, P.U.C from RMG Junior College Mudhol Dist Bagalkot in the year 1982(PU Board Bengaluru,Karnataka)",Bagalkot,Employment Service,Employement Service,Consulting / Advisory,Consulting / Advisory,Murugesh Rudrappa Nirani,52,M,BJP,85135,49.1206914457817,GEN,218220,173318.0,22
135,Kollegal,1,7566426,,Graduates,M A GNANA BHARATHI BANGALORE UNIVERSITY 1981,Chamarajnagar,RETIRED ASSISTANT DIRECTOR OF MINORITY AND BACKWARD CLASSES AND SOCIAL WORKER,"A.J.M OFFICER, KARNATAKA SAHAKARI APEX BANK BANGALORE","Social Work / Activism, Politics / Public Service",Banking / Finance,N. Mahesh,62,M,BSP,71792,42.5129240662991,SC,211555,168871.0,222
136,Kudligi,0,46542876,,Postgraduates,"M.B.A., Mysore University. 1975-76",Bellary,Social Worker and Agriculture,Housewife,"Social Work / Activism, Agriculture / Farming",Education / Academia,N.Y. Gopalakrishna,68,M,BJP,50085,32.9341907993371,ST,198220,152076.0,96
137,Rajarajeshwarinagar,3,437187506,256574353,Secondary Education,"SSLC From Corporation High School, Kodandaramapuram, Malleshwaram Bangalore In 1981",B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify,Munirathna,54,M,INC,108065,42.1394757570794,GEN,471900,256446.0,154
138,Mudigere,4,10616700,1515522,Graduates,"Mysore University,batch-1992",Chikmagalur,"Agriculturist ,Business",Irrigation,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,M.P.Kumaraswamy,55,M,BJP,58783,44.7638556785817,SC,170221,131318.0,124
139,Hosakote,,,,,,Bangalore Rural,,,,,Sharath Kumar Bachegowda,66,M,IND,81671,,,213750,193071.0,178
140,Haveri,5,53502363,730869,Postgraduates,"M.A. Political Science From Karnataka University, Dharavad 1984-85",Haveri,Agriculture,Housewife,Agriculture / Farming,Education / Academia,Neharu Olekar,61,M,BJP,86565,50.7441775943631,SC,221791,170591.0,84
141,Gangawati,1,110738229,27154994,Graduates,"B.Sc. From Karnataka University Dharwad, Year-1975, PUC From PUC Board Bangalore",Koppal,BUSINESSMAN AND TENACITY,HOUSE WIFE,Business / Entrepreneurship,Not Given,Paranna Eshwarappa Munavalli,64,M,BJP,67617,45.9126927542726,GEN,194079,147273.0,62
142,Krishnarajpet,0,116301665,5689434,Unknown,Unknown,Mandya,Business,House wife,Business / Entrepreneurship,Not Given,Narayanagowda,55,M,BJP,66094,,GEN,205554,174003.0,192
143,Maski,0,49269393,3861295,Graduates,BACHELORS OF ARTS FROM KARNATAKA UNIVERSITY DHARWAD IN YEAR 1980-81,Raichur,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Pratapgouda Patil,63,M,INC,60387,44.1696655841306,ST,198451,136716.0,59
144,Gurmitkal,2,23847435,5545562,Graduates,"B A Graduate Karnatak University Darwad, Year-1972-73",Yadgir,Social Work and Agriculture,House wife,"Social Work / Activism, Agriculture / Farming",Not Given,Nagangouda Kandkur,72,M,JD(S),79627,52.3951465382236,GEN,245215,151974.0,39
145,Shorapur,0,84590840,,Higher Secondary Education,PUC in Vijaya College Kalburgi in Year 1997,Yadgir,Politics And Social Work,Housewife,"Politics / Public Service, Social Work / Activism",Education / Academia,Narasimhanayak (Rajugouda),39,M,BJP,104426,52.9554352015253,ST,275668,197196.0,36
146,Kudachi,2,10860392,,Graduates,"B.sc IN SCIENCE UNIVERSITY OF KARNATAKA ,BATCH- 2001",Belgaum,MLA OF KUDACHI,HOUSEWIFE,Politics / Public Service,Not Given,P.Rajeev,40,M,BJP,67781,49.6008137399105,SC,180509,136653.0,5
147,Hassan,1,194469913,49145205,Postgraduates,Bachelor Of Engineering (Computer Science) From Malnad College of Engineering Under The Visvesvaraya Technological University Belagavi In 2013,Hassan,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Preetham J Gowda,37,M,BJP,63348,41.0184022067107,GEN,212952,154438.0,196
148,Devanahalli,0,1471181720,184041833,Primary Education,9th Standard,Bangalore Rural,"Social Service, Developers, Agriculturist",House wife,"Social Work / Activism, Consulting / Advisory, Agriculture / Farming",Not Given,Narayanaswamy L N,49,M,JD(S),86966,50.8103623552507,SC,202254,171158.0,179
149,Hubli-Dharwad East,0,36043872,6424400,Higher Secondary Education,PUC KARNATAKA SARKARA PRE-UNIVERSITY COLLEGE DEPARTMENT 1988,Dharwad,CONSULTANT PROFESSION,COACHING CLASSES,Consulting / Advisory,Arts / Entertainment,Abbayya Prasad,49,M,INC,77080,56.6360757400971,SC,194209,136097.0,72
150,Padmanaba Nagar,0,406255521,29323671,Graduates,B.Sc. VV Puram College Of Science Banglore University 1979-80,B.B.M.P(South),"Agriculrist, Public Servant .","Agriculrist,","Agriculture / Farming, Politics / Public Service",Agriculture / Farming,R Ashoka,60,M,BJP,77868,48.1832582545418,GEN,278223,161608.0,171
151,Chittapur,0,146295921,6964525,Graduates,"PUC from MES College, Malleswaram in 1996 to 1998, Certified Professional in computer Arts Animation in 1999",Gulbarga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Priyank Kharge,39,M,INC,69700,49.654838319002,SC,231920,140369.0,40
152,Pulakeshinagar,0,201695000,,Higher Secondary Education,"Has completed PUC in Sheshadripuram Junior College, Bengaluru(1984-85).",B.B.M.P(North),EX Lawmaker and Social worker.,"BBMP Ex Member ward no.48, Muneshwara nagar, Bengaluru.","Sports / Athletics, Social Work / Activism",Politics / Public Service,R. Akhanda Srinivasamurthy,48,M,INC,97574,77.1750822576562,SC,237288,126432.0,159
153,Hanur,0,117376161,8525125,Postgraduates,M.A FROM MYSORE UNIVERSITY YEAR 1984,Chamarajnagar,AGRICULTURIST,AGRICULTURE,Agriculture / Farming,Agriculture / Farming,R Narendra,60,M,INC,60444,35.485783729518,GEN,207662,170333.0,221
154,Aurad,0,100800396,13691838,Secondary Education,12th from Ashrama School Shilavani Border Thanda,Bidar,Prabhu Enterprises Kalava,Housewife,Not Given,Education / Academia,Prabhu Chauhan,49,M,BJP,75061,50.9202287512974,SC,214461,147409.0,52
155,Ranibennur,,,,,,Haveri,,,,,Arunkumar Guththur,52,M,BJP,85889,,,230349,179321.0,87
156,Hadagalli,1,137098919,48022350,Higher Secondary Education,"PUC From ARG College, Davanagere, Year 1982-84",Bellary,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,P. T. Parameshwara Naik,54,M,INC,54097,38.6459590944485,SC,182959,139981.0,88
157,Shivajinagar,,,,,,B.B.M.P(Central),,,,,Rizwan Arshad,,M,INC,49890,,,196776,108534.0,162
158,Koppal,0,37872420,21589358,Higher Secondary Education,puc jss collage Darvad,Koppal,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,K. Raghavendra Basavaraj Hitnal,39,M,INC,98783,54.6420550718545,GEN,241032,180782.0,64
159,Bidar,0,129048323,42569374,Higher Secondary Education,"PUC II year (Science) from Department of Pre-University Education, Bangalore (Board), Govt. Junior College, Bidar in 1985",Bidar,"Social Worker, Educationlist Agirculture","Spouse 1 - House Wife Agriculture, Spouse 2 - Business Agriculture","Education / Academia, Social Work / Activism, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming, Not Given",Rahim Khan,52,M,INC,73270,52.1038521436749,GEN,216853,140623.0,50
160,Manvi,0,17790378,4391715,Graduates,BA 1993 Bangalore University Bangalore,Raichur,agricultiure and social service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,Raja Venkatappa Nayak,46,M,JD(S),53548,34.7594658981,ST,244675,154053.0,55
161,Sedam,5,106959242,10200000,Graduates,"BA ,From -Nrupatunga Maha College ,Sedam ,Year -1997",Gulbarga,Agriculturalist and Buisnes,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,Rajkumar Patil,43,M,BJP,80668,50.8721700195497,GEN,215147,158570.0,41
162,Kolar Gold Field,2,88050000,54100000,Postgraduates,MA in Karnataka State Open University,Kolar,Social Service and Business,Government Service,"Social Work / Activism, Business / Entrepreneurship",Politics / Public Service,Roopakala.M,38,F,INC,71151,50.9790856135674,SC,190668,139569.0,146
163,Humnabad,0,128590642,8708315,Higher Secondary Education,PUC from Govt. PU college (boys) Humanabad in 1982 83,Bidar,Agriculture and social worker and Self Business,house wife,"Agriculture / Farming, Social Work / Activism, Business / Entrepreneurship",Not Given,Rajshekhar,54,M,INC,74945,47.0361188690494,GEN,238628,159335.0,48
164,Karwar,1,43527042,8253894,Secondary Education,"SSLC from The Popular New English School,Chendiye, Karwar 1988-89",Uttara Kannada,Logistical Support Service,Works Contract Services,Transportation / Logistics,Unknown,Roopali Santosh Naik,45,F,BJP,60339,37.6887906157478,GEN,217910,160098.0,77
165,Basavanagudi,0,61830750,29860547,Postgraduates,"M.B.A. From CSM Institute Of Graduate Studies 2004 ,B.A. From Banglore University In 1984",B.B.M.P(South),"Member Of Karnatka Legislative Assembly Salary ,Interest Income On deposit Agriculture Income",Runing Education Institute Intrest On deposit,"Politics / Public Service, Banking / Finance, Agriculture / Farming","Education / Academia, Banking / Finance",Ravisubramanya.L.A,60,M,BJP,76018,58.4560491529724,GEN,245328,130043.0,170
166,Shirahatti,0,21040522,277402,Primary Education,"4th standard in Govt High School, Kundralli, Shirahatti Taluk, Gadag Dist.",Gadag,Agriculturist and social worker,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,Ramappa Sobeppa Lamani,66,M,BJP,91967,57.2632063958556,SC,212260,160604.0,65
167,B.T.M.Layout,0,666153408,183370325,Graduates,B.Sc From Govt. Science College Bangalore University In 1975,B.B.M.P(South),"MLA, Home Minister, Govt. of Karnataka Business",Business,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship,Ramalinga Reddy,65,M,INC,67085,49.3518818232645,GEN,270500,135932.0,172
168,Gokak,1,1227933752,464951904,Graduates,"BA Ist Year from JSS College Gokak, Karnataka University Dharwad in the Year 1981",Belgaum,"Salary, Business Agriculture",House wife Agriculture,Business / Entrepreneurship,"Agriculture / Farming, Not Given",Jarkiholi Ramesh Laxmanrao,58,M,BJP,87450,,GEN,242402,173980.0,9
169,Kunigal,1,300348933,70444425,Postgraduates,"M.S. (Ortho) from JSS Medical College, Mysore Year 1998 to 2001",Tumkur,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,Dr H.D. Ranganath,46,M,INC,58697,36.2499459619695,GEN,190424,161923.0,131
170,Harihar,0,19065890,21464606,Unknown,Unknown,Davangere,BUSINESS AND FARMING,HOUSE WIFE,"Business / Entrepreneurship, Agriculture / Farming",Not Given,S Ramappa,59,M,INC,64801,39.2907164988146,GEN,212182,164927.0,105
171,Rajaji Nagar,0,35841660,,Graduates,B.Sc. L.L.B Benguluru University 1980,B.B.M.P(Central),"MLA ,RAJAJINAGAR",Freelance Journalist,Politics / Public Service,Media / Journalism,S Suresh Kumar,62,M,BJP,56271,46.8565766245878,GEN,211132,120092.0,165
172,Bangarapet,0,159650798,16686463,Secondary Education,"SSLC from Govt. Boys Junior College, Bangarpet",Kolar,Business Agricultural,"House wife, Business Agricultural","Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming, Arts / Entertainment",S.N.Narayanaswamy K.M,50,M,INC,71171,45.2880014253716,SC,193234,157152.0,147
173,Davanagere North,11,87801538,8708849,Higher Secondary Education,"Mothi veerappa Govt high school Davanagere in 1962-63, PUC from Moti Virappa Junior College Davanagere 1963-64-65",Davangere,Agriculture and social worker,house wife,"Agriculture / Farming, Social Work / Activism",Not Given,S.A. Ravindranath,72,M,BJP,76540,48.6502634639953,GEN,240405,157327.0,106
174,Yelahanka,0,431160164,16262014,Technical/Professional Courses,"I.T.I and S.V.C B.E.M.L from M.S Jairam Institute of Technology, Bangalore Year 1983",Bangalore Urban,"Agriculture,Social Service and MLA","Agriculture, Business and Socal Service","Agriculture / Farming, Social Work / Activism, Politics / Public Service","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",S.R.Vishwanath,55,M,BJP,120110,48.9974911783303,GEN,387663,245135.0,150
175,Krishnaraja,3,3969351,,Graduates,Bachelor of Arts from Mysore University in 76-77,Mysore,Social Service,Not Given,Social Work / Activism,Cound't Classify,S A Ramadas,61,M,BJP,78573,53.4844936967353,GEN,247135,146908.0,216
