,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
97,Belur,H K Suresh,BJP,52.0,0.0,4353050751.0,475523145.0,Diploma Holders,"Civil Engineering Year 1991 , Amaragin Polytechnic, Arasikere, Hassan District, Department of Technical Education State of Karnataka",GEN,Hassan,Business and Agriculturist,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
98,Gadag,Hanamantagouda Krishnagouda Patil,INC,70.0,2.0,213550457.0,35305155.0,Postgraduates,"LLB From GSS Sakti Law College, Karnataka University, Dharwad, Year-1979 B.Sc. From GSS College, Karnataka University, Dharwad, Year-1973",GEN,Gadag,Agriculture,House wife,Agriculture / Farming,Not Given
99,Ramanagaram,H. A. Iqbal Hussain,INC,62.0,5.0,956503894.0,88254962.0,Graduates,"B.Sc. From Bangalore University, Bangalore Rural College, Kanakapura, Bangalore Dist., Year-1984",GEN,Ramanagaram,Agriculturist and Business,Agriculturist and Business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
100,Arsikere,K.M Shivalinge Gowda,INC,65.0,0.0,94299541.0,73608331.0,Graduates,"BA ,Hassan Government Art College,Mysuru University in 1980",GEN,Hassan,"Social Service , Agriculture, MLA","Agriculture,Business","Social Work / Activism, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming"
101,Gauribidanur,K H Puttaswamy Gowda (Winner),IND,69.0,0.0,12670337391.0,,Graduates,"B.Com Graduate 1973-75, RC Degree College Bengaluru University",GEN,Chikkaballapur,"Social Worker, Business",Business,"Business / Entrepreneurship, Social Work / Activism",Business / Entrepreneurship
102,Sindhanur,Hampanagouda Badarli,INC,73.0,1.0,94013248.0,26484062.0,Graduates,B.A.Karnataka Collage Darvade Year 1972-73,GEN,Raichur,Agriculture,Housewife,Agriculture / Farming,Education / Academia
103,Kampli,J N Ganesh,INC,44.0,0.0,88965355.0,8889479.0,Graduates,"Bachelor of Arts, 2nd Year Incomplete, Vijayanagar University, Hospete - 2003-04",ST,Bellary,Business and Agriculture,House Wife and Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Not Given"
104,Bilgi,J. T. Patil,INC,73.0,0.0,38405462.0,47818304.0,Graduates,B.Sc. from P.C. Jabin Science Collage Hubali of Karnataka University Dharwad in the year 1991-72,GEN,Bagalkot,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
105,Gokak,Jarkiholi Ramesh Laxmanrao,BJP,63.0,1.0,492745820.0,434812627.0,Graduates,"BA-1st Year From JSS College Gokak, Karnataka University, Dharwad, Year-1981",GEN,Belgaum,"Member of Karnataka State Legislative Assembly, Salary, Business and Agriculture",House Wife Agriculture,"Politics / Public Service, Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
106,Gundlupet,H.M.Ganesh Prasad,INC,39.0,0.0,273795488.0,168717170.0,Graduates,B.Com From Mysore University in 2006,GEN,Chamarajnagar,Agriculture and own business,Agriculture and house wife,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming
107,Pavagada,H.V.Venkatesh,INC,46.0,0.0,222564672.0,66266045.0,Graduates,"B.A, LLB, Bangalore University",SC,Tumkur,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
108,Nippani,Jolle Shashikala Annasaheb,BJP,53.0,1.0,522306937.0,224158029.0,Secondary Education,"SSLC From SDT High School Ghataprabha, Year-1985",GEN,Belgaum,"Business, Agriculture, Social Work","Business, Agriculture, Social Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism"
109,Vijayanagara,H.R.Gaviyappa,INC,60.0,1.0,485349735.0,1517930.0,Higher Secondary Education,"1st PUC 1980-81, Vijayanagara Pre-University College Hospet",GEN,Bellary,Social Service Worker Business,Homemaker,"Social Work / Activism, Business / Entrepreneurship",Not Given
110,Belthangady,Harish Poonja,BJP,41.0,1.0,32733882.0,11129074.0,Graduates,LLB From Mangalore University in 2008,GEN,Dakshina Kannada,"The Director ,Fix Gram Pre Media Pvt Ltd,","Partners, Accredited Enterprises Mangalore",Business / Entrepreneurship,Business / Entrepreneurship
111,Periyapatna,K Venkatesh,INC,75.0,0.0,182906717.0,76426000.0,Graduates,B.Sc - Mysore Yuvaraja College passed in 1971-72,GEN,Mysore,"Agriculture , Entrepreneurship Social Service",House wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Not Given
112,Mahalakshmi Layout,K. Gopalaiah,BJP,63.0,0.0,1106458434.0,576026284.0,Graduates,B.Sc. -1982-Bangalore University,GEN,B.B.M.P(North),Politics social services,"Housewife ,Business,Agriculture,Social service and politics","Politics / Public Service, Social Work / Activism","Business / Entrepreneurship, Construction / Real Estate, Agriculture / Farming, Social Work / Activism, Politics / Public Service"
113,Kadur,K S Anand,INC,44.0,2.0,46344594.0,4168668.0,Graduates,"BSC , Government First Grade College,Kaduru ,Kuvempu University ,in 2001",GEN,Chikmagalur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
114,Chamaraja,K. Harish Gowda,INC,50.0,0.0,38289960.0,6800000.0,Higher Secondary Education,"BA Failed , Maharaja College, Mysore- 1989-90",GEN,Mysore,Agriculture,House wife,Agriculture / Farming,Not Given
115,Mayakonda,K. S. Basavanthappa,INC,55.0,1.0,10131523.0,325800.0,Higher Secondary Education,"1st PUC ,A.R,G Collage Davangere-1987-88",SC,Davangere,Agriculture and business,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia
116,Tiptur,K Shadakshari,INC,74.0,0.0,105683460.0,47809263.0,Graduates,"Bachelor of Commerce from R.V.Collage, Bangalore University",GEN,Tumkur,Agriculture,Housewife,Agriculture / Farming,Education / Academia
117,Chitradurga,K.C.Veerendra Puppy,INC,47.0,2.0,1348942076.0,191632592.0,Graduates,"B.Com from Kuvempu University, HPPC Govt. First Grade College in 1998-99 Challakere 577522",GEN,Chitradurga,Agriculturist and Business,Agriculturist and House Wife,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
118,Koppal,K. Raghavendra Basavaraj Hitnal,INC,44.0,1.0,146673481.0,110157639.0,Higher Secondary Education,"PUC Science from JSS College, Dharwad in 1997-98",GEN,Koppal,Business,Housewife and besnes partner,Business / Entrepreneurship,"Hospitality / Tourism, Business / Entrepreneurship"
119,Jamkhandi,Jagadeesh Shivayya Gudagunti,BJP,68.0,0.0,575878204.0,42896510.0,Diploma Holders,"Diploma in Machanical Engineering Boiler Operation Course from Basaveshwar Engineering College, Bagalkot in 1972",GEN,Bagalkot,Industrialist Agriculturist,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
120,Devanahalli,K.H.Muniyappa,INC,75.0,1.0,596309799.0,259497917.0,Graduates,"Graduate of Law from SJRC College 1986 Batch, Bangalore University",SC,Bangalore Rural,"Advocate, Politician and Agriculturalist",Business and Agriculturalist,"Law / Judiciary, Politics / Public Service, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
121,Nagthan,Katakadhond Vitthal Dondiba,INC,67.0,1.0,60460000.0,2000000.0,Literate,B.com 2nd Yr Passed,SC,Bijapur,"Agriculture, Social Service and MLA Pension","House Wife, Agriculture and Social Service","Agriculture / Farming, Social Work / Activism, Politics / Public Service","Social Work / Activism, Agriculture / Farming"
122,Devadurga,Karemma,JD(S),50.0,7.0,9874000.0,2159000.0,Higher Secondary Education,"PUC Vocational Education Year 2000, S.V.E Trust pre university college, Humanabad, dist ; Bidar",ST,Raichur,Housewife,Retired Govt Employee,Education / Academia,Consulting / Advisory
123,Hadagalli,Krishna Nayaka,BJP,40.0,1.0,428052937.0,,Postgraduates,"Engineering Graduate, Vishveshvaraya Technological University, Belagavi.",SC,Bellary,Businessman and Farmer,House wife and Farmer,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
124,Gulbarga Uttar,Kaneez Fatima,INC,64.0,0.0,184367677.0,853448.0,Higher Secondary Education,Pre University Studied at Nampally Junior College Hyderabad,GEN,Gulbarga,Business and Educationist,Not Applicable,"Business / Entrepreneurship, Education / Academia",Cound't Classify
125,Byatarayanapura,Krishna Byregowda,INC,50.0,2.0,167056737.0,9522183.0,Postgraduates,M.A. In International Affairs American University Washington DC USA In the year 1999 BBM Christ College Banglore 1994,GEN,Bangalore Urban,Agriculture,Vice President Delivery CGI Information System Ltd,Agriculture / Farming,Information Technology
126,Madhugiri,Kyathasandra N. Rajanna,INC,72.0,0.0,350503607.0,126760567.0,Postgraduates,"LLB from Vidyodaya Law College, Tumkur Bangalore University in 1984, B.Sc. from Government Science College, Tumkur Mysore University in 1972",GEN,Tumkur,Advocate and Agriculturist,Business and Agriculturist,"Law / Judiciary, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
127,Hukkeri,Katti Nikhil Umesh,BJP,40.0,1.0,1219528236.0,97097.0,Postgraduates,"MBA From University of Wales Institute, Cardiff United Kingdom, Year-2008-09",GEN,Belgaum,Agriculture and MD at VSIL,Housewife and Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Hospitality / Tourism, Agriculture / Farming"
128,Bailhongal,Koujalagi. Mahantesh. Shivanand.,INC,52.0,1.0,153899312.0,7227724.0,Graduates,"Bachelor of Laws (Special) from Karnataka University Dharwad, Karnataka University Law College, Dharwad in 1996",GEN,Belgaum,Advocate and Agriculturist,Dairy,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare
129,Malur,K.Y. Nanjegowda,INC,56.0,4.0,252811726.0,401422892.0,Secondary Education,"9th Standard, Tekal Government High School in 1981",GEN,Kolar,Building Stone quarry Stone crusher Business Agriculture,House Maker,"Agriculture / Farming, Construction / Real Estate",Cound't Classify
130,Harapanahalli,Latha Mallikarjun,IND,57.0,0.0,72929747.0,6491783.0,Higher Secondary Education,"PUC, G.B.R College ,Huvinahadagali in 1984",GEN,Davangere,"Agriculture, Social Service","Retired Government Worker, Agriculture, Business","Agriculture / Farming, Social Work / Activism","Politics / Public Service, Agriculture / Farming, Business / Entrepreneurship"
131,Kundgol,M R Patil,BJP,61.0,0.0,17202932.0,246125.0,Graduates,"B-Com, J.G Commerce College, Hubli-1983",GEN,Dharwad,Shetaki,House Wife and Tailring,Cound't Classify,Cound't Classify
132,Athani,Laxman Sangappa Savadi,INC,64.0,1.0,371838123.0,19881050.0,Higher Secondary Education,2nd PUC SSMS College Athani 591304 in 1978,GEN,Belgaum,Agriculture and Social Service,Agriculture and Housewife,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming
133,Bangalore South,M Krishnappa,BJP,61.0,0.0,899949800.0,205114536.0,Secondary Education,"SSLC ,JSS,High school ,8th block jayanagar ,,bangalore,1978-79",GEN,Bangalore Urban,Legislators,Industrialist,Politics / Public Service,Business / Entrepreneurship
134,Babaleshwar,Mallanagoud Basanagoud Patil,INC,58.0,5.0,1413104981.0,,Graduates,"B.E - Civil Engineering BLDE Institute V.P.Dr. PG Halakatti College of Engineering Technology, Vijayapura, Karnataka University, Dharward passed in 1990",GEN,Bijapur,Togetherness,House wife Togetherness,Cound't Classify,Not Given
135,Holalkere,M. Chandrappa,BJP,71.0,0.0,257587486.0,576640.0,Graduates,BA in 1979,SC,Chitradurga,"Business, Agriculture , Social Service","Agriculture, Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Agriculture / Farming
136,Vijay Nagar,M. Krishnappa,INC,71.0,1.0,2962656915.0,771806410.0,Graduates,"B.Sc. from Sri Jagadguru Renukacharya College, Bangalore University in 1973",GEN,B.B.M.P(South),Business and Agriculturist,Business and Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
137,Kolar,Kothur.G. Manjunatha,INC,45.0,1.0,307839915.0,54192000.0,Secondary Education,SSLC Kennedy High school in 1994-95,GEN,Kolar,Ex MLA,House Wife,Politics / Public Service,Cound't Classify
138,Belgaum Rural,Laxmi R Hebbalkar,INC,48.0,3.0,131840922.0,68864493.0,Postgraduates,"M.A. (Political Science) From University of Mysore, Year-2002",GEN,Belgaum,"Director in Harsha Sugars Ltd., Belagavi, Mrinal Sugars Ltd., Belagavi, Harsha Builders and Developers Pvt. Ltd., Belagavi and Chairperson, Lakshmitayi Foundation, Belagavi",Agriculture,Business / Entrepreneurship,Agriculture / Farming
139,Hungund,Kashappanavara Vijayanand Shivashankrappa,INC,52.0,11.0,99121943.0,29294425.0,Higher Secondary Education,2nd PUC From SJ Independent Pre University College Hitnalli Tanda dist. Bijapura 1992,GEN,Bagalkot,"Agriculture, Business and social work",Agriculture and social work,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism","Agriculture / Farming, Social Work / Activism"
140,Hubli-Dharwad Central,Mahesh Tenginakai,BJP,52.0,1.0,14046961.0,700900.0,Secondary Education,SSLC PASSED -MARCH1986- Sconday Education Bangalore,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify
141,Sorab,Madhu Bangarappa,INC,57.0,2.0,695121427.0,264628494.0,Graduates,BA- Bangalore University Karnataka state passed in 1988,GEN,Shimoga,Business Agriculture,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
142,Hangal,C M Udasi,INC,48.0,0.0,101433096.0,30342985.0,Graduates,B.com Degree from Janardan Rai Nagar Rajasthan Vidhyapeeth University Udaipur in 2007,GEN,Haveri,"Director BTM Investments Pvt Ltd Hubballi , Director BTM forging Pvt Ltd, Director Veetech Valves Pvt Ltd, Director S R Process Controls Pvt Ltd, Partner Future Auto Solutions Hubballi",Director BTM Investments Pvt Ltd Hubballi,Business / Entrepreneurship,Business / Entrepreneurship
143,Kudachi,Mahendra Kallappa Tammannavar,INC,45.0,1.0,74975544.0,2500000.0,Graduates,"Bachelor of Arts, Karnataka College, Dharwad - 2002",SC,Belgaum,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify
144,Afzalpur,M Y Patil,INC,82.0,0.0,46932109.0,3323000.0,Graduates,"BA from Karnataka University, Dharwad in 1964",GEN,Gulbarga,Agricultural and Social Work,Household Duties,"Agriculture / Farming, Social Work / Activism",Cound't Classify
145,Hanur,M.R. Manjunath,JD(S),50.0,0.0,3166796220.0,612284951.0,Secondary Education,"SSLC from Lawry Memorial High School in 1990, Diploma (DME)-Discontinued-MVJ College in 1994",GEN,Chamarajnagar,Business,House Wife,Business / Entrepreneurship,Cound't Classify
146,Bhatkal,Mankal Vaidya,INC,51.0,1.0,642419070.0,361187037.0,Literate,8th from Janata University murdeshwara 1988,GEN,Uttara Kannada,Fish business,Bina vaidya international public school,Agriculture / Farming,Education / Academia
147,Bagalkot,Meti Hullappa Yamanappa,INC,77.0,0.0,34923400.0,18995965.0,Secondary Education,"8th Standard From R.B.P.G Allikatti High School, Alamatti",GEN,Bagalkot,Agriculture,Agriculture Household,Agriculture / Farming,Agriculture / Farming
148,Rajarajeshwarinagar,Munirathna,BJP,59.0,8.0,2936028925.0,1022190597.0,Secondary Education,SSLC Corporation High School Kodandaramapuram Bangalore In Year 1981,GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
149,Lingsugur,Manappa D Vajjal,BJP,59.0,0.0,307477543.0,,Primary Education,"6th pass-1972 Govt Primary School,Dhabala",SC,Raichur,Social Work,Housewife,Social Work / Activism,Education / Academia
150,Mudigere,Nayana Motamma,INC,43.0,0.0,107296154.0,16471743.0,Doctorates,"LLM From University of Pennsylvania, USA in 2004",SC,Chikmagalur,Advocate,Advocate,Law / Judiciary,Law / Judiciary
151,Nagamangala,N. Chaluvarayaswamy,INC,62.0,1.0,718826361.0,164523017.0,Diploma Holders,"Diploma in Civil Engineering From Polytechnic College KR Pete Mandya in 1978-83 10th Pass From Sri Siddhaganga High School, Tumkur, Year-1975-78",GEN,Mandya,"Agriculture, Ex-MLA,property development rent","Agriculture, property development rent","Politics / Public Service, Law / Judiciary","Agriculture / Farming, Construction / Real Estate"
152,Shanti Nagar,N A Haris,INC,56.0,1.0,4392099180.0,283057896.0,Postgraduates,M.A. in History Karnataka State Open University Year 2005,GEN,B.B.M.P(Central),"Managing Director , Nalapad Group of Companies",House Wife,Business / Entrepreneurship,Cound't Classify
153,Bellary City,Nara Bharath Reddy,INC,33.0,2.0,911821808.0,343786368.0,Graduates,BBM from Gulbarga University in 2010,GEN,Bellary,Business Agriculturist,"Business, House Wife, Agriculturist","Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Not Given, Agriculture / Farming"
154,Mahadevapura,Manjula S,BJP,48.0,0.0,530051631.0,182563952.0,Higher Secondary Education,Second Pre university College NMKRV Bangalore 1992,SC,Bangalore Urban,Business Social Worker,Civil Engineer and Social Worker,"Business / Entrepreneurship, Social Work / Activism","Engineering / Technology, Social Work / Activism"
155,Molakalmuru,B. Sreeramulu,INC,71.0,0.0,65063394.0,,Postgraduates,MBA from Mysore University,ST,Chitradurga,Social services Agriculture,Housewife,"Social Work / Activism, Agriculture / Farming",Education / Academia
156,Malavalli,P.M.Narendraswamy,INC,61.0,1.0,230174903.0,51965430.0,Graduates,"B.E. Civil From Ambedkar Institute of Technology Bangalore, Year-1994",SC,Mandya,Business,House Wife,Business / Entrepreneurship,Cound't Classify
157,Hagaribommanahalli,Nemarajanaik.K,JD(S),52.0,3.0,100109183.0,29292072.0,Graduates,BA from Magad University Patna in april 2006,SC,Bellary,"Agriculture, Poultry farm",Housewife,Agriculture / Farming,Education / Academia
158,Navalgund,Ningaraddi Hanamaraddi Konaraddi,INC,59.0,0.0,61406692.0,2119598.0,Graduates,"Bachelor of Commerce in Karnataka University, Shankara Arts University, Navalgund - 1987",GEN,Dharwad,Agriculture,House Wife and Agriculturist,Agriculture / Farming,"Agriculture / Farming, Not Given"
159,Turuvekere,M.T.Krishnappa,JD(S),71.0,8.0,19513690.0,115000.0,Graduates,"Bcom, Bangalore University, 1974",GEN,Tumkur,Agriculture,House wife,Agriculture / Farming,Not Given
160,Aurad,Prabhu Chauhan,BJP,53.0,0.0,108523296.0,5453872.0,Secondary Education,"12 Th class ,Ashrama school shilavana border-1997",SC,Bidar,Agriculture and work,Agriculture,"Agriculture / Farming, Cound't Classify",Agriculture / Farming
161,Chikkaballapur,Pradeep Eshwar,INC,38.0,2.0,8923859.0,1728204.0,Higher Secondary Education,"PUC from Sir M V Memorial PU College, Chikkaballapur In 2005",GEN,Chikkaballapur,As a Director In M s Parishrama Education (opc) Pvt. Ltd.,Lecturer In M s Parishrama Education (opc) Pvt. Ltd.,Consulting / Advisory,Education / Academia
162,Bantval,Rajesh Naik U.,BJP,64.0,0.0,323921952.0,52766528.0,Graduates,Graduate from JSS College Mysore In 1978-1981,GEN,Dakshina Kannada,Agriculture and Social Service,Agriculture and House Wife,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Education / Academia"
163,B.T.M.Layout,Ramalinga Reddy,INC,70.0,4.0,1106776557.0,385615954.0,Graduates,"B.Sc. from Govt. Science College, Bangalore University in 1975",GEN,B.B.M.P(South),"MLA, Karnataka Legislative Assmbly Business","Business Income, Rental Income and Interest Income","Politics / Public Service, Business / Entrepreneurship","Business / Entrepreneurship, Construction / Real Estate, Banking / Finance"
164,Basavanagudi,Ravisubramanya.L.A,BJP,64.0,1.0,105246376.0,58185380.0,Postgraduates,"BA from Bangalore University in 1984, MBA from CSM Institute of Graduate Studies in 2004",GEN,B.B.M.P(South),"Member of Karnataka Legislative Assembly 2018, Drawing Salary, Interest Income on Deposits and Agriculture Income",Income from running education institute and Interest on Deposits,"Politics / Public Service, Banking / Finance","Education / Academia, Banking / Finance"
165,Mandya,Ravikumar Gowda (Ganiga),INC,43.0,7.0,215440276.0,181240006.0,Higher Secondary Education,"PUC from Government Pre-University College, Malleshwaram, Bengaluru",GEN,Mandya,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
166,Govindraj Nagar,Priyakrishna,INC,39.0,1.0,11568393089.0,9471509087.0,Postgraduates,"Master of Arts from Karnataka State Open University, Mysuru In 2007, LLB from Bangalore University In 2008",GEN,B.B.M.P(South),Business,N.A.,Business / Entrepreneurship,Not Given
167,Ranibennur,Prakash Koliwad,INC,54.0,0.0,646462474.0,,Graduates,B.E. Malnad Technical College Hassan in 1987-91,GEN,Haveri,Business and Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
168,Padmanaba Nagar,R Ashoka,BJP,65.0,1.0,873525360.0,95699826.0,Graduates,"B.Sc. from VV Puram College of Science, Bangalore University in 1979-80",GEN,B.B.M.P(South),"Agriculturalist , Public Servant","Agriculturalist , Homemaker","Politics / Public Service, Agriculture / Farming","Agriculture / Farming, Not Given"
169,Shorapur,Raja Venkatappa Naik,INC,66.0,6.0,232952188.0,7930000.0,Postgraduates,"MBBS (Not Completed) from MR Medical College Gulbarga in 1981, PUC from Nuthana Vidyalaya Junior College Kulburgi in 1979",ST,Yadgir,Social Worker,House wife,Social Work / Activism,Not Given
170,Bidar,Rahim Khan,INC,57.0,0.0,838440950.0,51042019.0,Higher Secondary Education,"PUC II Year (Science) from Department of Pre University Education, Bangalore (Board) Govt. Junior College, Bidar in 1985",GEN,Bidar,"Social Worker, Educationalist Agriculture","Spouse-1 House Wife Agriculture, Spouse 2- House Wife Agriculture","Social Work / Activism, Education / Academia, Agriculture / Farming","Agriculture / Farming, Not Given"
171,Shivajinagar,R Roshan Baig,INC,43.0,4.0,215163515.0,70653192.0,Graduates,"Bachelor of Commerce from University of Musuru- St. Philomenas College, Mysuru in 2000-2001",GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
172,Kolar Gold Field,Roopakala.M,INC,43.0,2.0,123332000.0,14900000.0,Postgraduates,Master of Arts in Political Science from Karnataka State Open University in 2012,SC,Kolar,Social Service Business,Government Service,"Business / Entrepreneurship, Social Work / Activism",Politics / Public Service
173,Haveri,Rudrappa Manappa Lamani,INC,64.0,0.0,103682530.0,34963476.0,Graduates,B A Karnataka University Dharwad in 1979-82,SC,Haveri,Social Service and Agriculture,Asst. Teacher,"Social Work / Activism, Agriculture / Farming",Education / Academia
174,Sakaleshpur,S Manjunatha,BJP,41.0,0.0,63925113.0,18164398.0,Secondary Education,SSLC from M Manasa Highschool Sakaleshpura in the year 1996-97,SC,Hassan,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
175,Chittapur,Priyank Kharge,INC,44.0,9.0,168310621.0,2875000.0,Diploma Holders,"I PUC from MES College, Malleshwaram in 1996, Certified Professional in Computer Arts Animation in 1999",SC,Gulbarga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
176,Yelahanka,S.R.Vishwanath,BJP,60.0,2.0,635856313.0,7765280.0,Graduates,"Bachelor of Arts, Govt Arts College Blore and ITI, MS Jairam Institute of Technology, Blore. NAC BEML.",GEN,Bangalore Urban,"Agriculture, Social Worker, MLA and President of Bengaluru Development Authority","Agriculture, Business and Social Worker","Social Work / Activism, Agriculture / Farming, Politics / Public Service","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism"
177,Rajaji Nagar,S Suresh Kumar,BJP,67.0,0.0,47813737.0,,Postgraduates,B.Sc. and LL.B From Bengaluru University Year 1980,GEN,B.B.M.P(Central),"MLA, Rajajinagar",Freelance Journalist,"Politics / Public Service, Law Enforcement / Security",Media / Journalism
178,Krishnarajanagara,Ravishankar D,INC,47.0,1.0,72266997.0,30689870.0,Postgraduates,"BA, LLB From K L E L College Bangalore University in 2002",GEN,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
179,Gubbi,S R Srinivas (Vasu),INC,60.0,1.0,172899057.0,,Graduates,BA govt arts collage tumakur 1984-1985,GEN,Tumkur,"Business, Agriculture",House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
180,Yeshvanthapura,S.T Somashekhar,BJP,65.0,1.0,278815551.0,31433690.0,Graduates,"Bachelor of Science, Government Science College, Bangalore University - October 1980",GEN,Bangalore Urban,Private Transport Business,House Wife,"Transportation / Logistics, Business / Entrepreneurship",Cound't Classify
181,Davanagere North,S.S.Mallikarjun (Winner),INC,55.0,1.0,1892037646.0,245804947.0,Graduates,"B.Com. from M.S.B. College of Commerce, Davangere (Mysore University) in 1990",GEN,Davangere,"Chairman, Indian Cane Power Ltd., Davangere","Director, Indian Cane Power Ltd., Davangere",Agriculture / Farming,Business / Entrepreneurship
182,Bagepalli,S.N. Subbareddy(Chinnakayalapalli),INC,56.0,0.0,3136194537.0,700769159.0,Secondary Education,"SSLC from Govt. High School Gulur Bagepalli Taluk In 1983, Techer Certificate Higher from Venkateshwara TCH Training Colelge Marathahalli, Bangalore In 1986",GEN,Chikkaballapur,Business Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
183,Bangarapet,S.N.Narayanaswamy K.M,INC,55.0,1.0,462691047.0,144910671.0,Graduates,"Bachelor of Arts from Gandhi Instiitute of Technology and Management (GITAM) Deemed to be Unversity, Completed in the Year 2021",SC,Kolar,"Social Worker, Business Agriculture",House Wife Business,"Social Work / Activism, Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
184,Mulbagal,Samruddhi V. Manjunath,JD(S),41.0,2.0,597023550.0,174598335.0,Higher Secondary Education,"PUC , Government Boys Pre University College, Srinivaspura in 2001",SC,Kolar,"Builder and Developer, Film Producer",Director in Private Company Limited,"Construction / Real Estate, Arts / Entertainment",Business / Entrepreneurship
185,Davanagere South,Shamanur Shivashankarappa,INC,91.0,1.0,3127529622.0,177404944.0,Secondary Education,"S.S.L.C. from Government High School, Davangere in 1949",GEN,Davangere,Businessman,Deceased,Business / Entrepreneurship,Cound't Classify
186,Dasarahalli,S. Muniraju,BJP,64.0,0.0,283646819.0,,Secondary Education,"SSLC passed in the year 1975 at Bapu Multi Purpose High School Hesaragatta, Bangalore North Taluk",GEN,Bangalore Urban,Income from Business and Agriculture Pension as former MLA,Business and Agriculture,"Business / Entrepreneurship, Agriculture / Farming, Military / Defense","Business / Entrepreneurship, Agriculture / Farming"
187,Kalghatgi,Santosh S Lad,INC,48.0,8.0,1387295352.0,263932858.0,Graduates,"B.Com from SESS College Sandur, Bellary District in 1997",GEN,Dharwad,Business Entrepreneur,Homemaker,Business / Entrepreneurship,Not Given
188,Karwar,Satish Krishna Sail,INC,57.0,14.0,568440450.0,176330172.0,Graduates,"B.Sc. from Government Arts Science College, Karwar in 1992",GEN,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
189,Yemkanmardi,Satish. L. Jarkiholi,INC,60.0,2.0,1752983696.0,122944347.0,Higher Secondary Education,"PUC From J.S.S. Arts, Science Commerce College, Gokak, Year-1981",ST,Belgaum,Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
190,Bommanahalli,Sathish Reddy M,BJP,51.0,0.0,1224981101.0,472438558.0,Secondary Education,"SSLC , RSHS High School Madivala, Bangalore",GEN,B.B.M.P(South),"Social Service, Agriculture Iindustrial","Agriculture, Business and Industrialist","Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship, Construction / Real Estate"
191,C.V. Raman Nagar,S. Raghu,BJP,53.0,0.0,421036051.0,27585783.0,Postgraduates,"Dimploma in Civil Engineering from Acharya Pata Shala at Bangalore in 1990, Bachelor of Civil Engineer (BE) from Dayananda Sagar College, Bangalore University",SC,B.B.M.P(North),"Business, Social Work - MLA",House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given
