,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
586,Gandhi Nagar,Dinesh Gundu Rao,INC,53,0,480688573.0,63151909.0,Graduates,"B.E, (E C) in 1992 from BMS College, Bangalore",GEN,B.B.M.P(Central),"MLA, Social Service and Agriculture",Selling of Art Paintings,"Politics / Public Service, Social Work / Activism, Agriculture / Farming",Arts / Entertainment
587,Jagalur,Diwakara.O,IND,38,0,200000.0,,Graduates,Graduate Education Kuvempu Open University Mysore 2019-20,ST,Davangere,Agriculture Coolie,No,Agriculture / Farming,Cound't Classify
588,Puttur,Divyaprabha Gowda,JD(S),43,2,30643847.0,3932200.0,Secondary Education,SSLC Shanthala Educational Society Belur in 1995-96,GEN,Dakshina Kannada,Housewife and Social Service,Agriculture and Shri Balaji Finance Puttur,"Social Work / Activism, Medicine / Healthcare","Agriculture / Farming, Banking / Finance"
589,Tumkur Rural,Dinesh Kumar.B,AAP,35,0,495500.0,12000.0,Postgraduates,"L.L.B, Passed from VLC Collage Tumkur in 2011-2012",GEN,Tumkur,Advocate,Tailor,Law / Judiciary,Arts / Entertainment
590,Kumta,Dineshchandra N Angadikeri,Lok Shakti,42,0,505000.0,1215000.0,Postgraduates,"B.Ed. Pass from Soukya B.Ed. College Bhatkal in 2010-11, BA Pass From Dr A V Baliga College Kumta 2002 - 2003",GEN,Uttara Kannada,Self Business,Not Given,Business / Entrepreneurship,Cound't Classify
591,Belur,Dinesh H R,IND,37,0,30000.0,,Postgraduates,"MA,M.Phil, Vishwa Vidyalaya College Mysore University",GEN,Hassan,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
592,Kittur,Doddagoudar Mahantesh Basavantaray,BJP,49,0,59604475.0,1332630.0,Postgraduates,"Bachelor of Arts, Bachelor of Laws, RL Law College, Belagavi - April - 1997",GEN,Belgaum,Advocate Profession and Agriculture,Agriculture and House Wife,"Law / Judiciary, Agriculture / Farming","Agriculture / Farming, Education / Academia"
593,Basavakalyan,Dnyaneshwar Singare,BSP,37,0,1000000.0,,Graduates,B.Com 2016-17,GEN,Bidar,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
594,Shirahatti,Doddamani Mallikarjuna Yallappa,AAP,31,1,1966693.0,1248134.0,Higher Secondary Education,"2nd PUC From Shri J.A. Pre Graduation College, Mundaragi, Year-2010",SC,Gadag,"Tours and Travelers, Social Work Politics",Not Given,"Social Work / Activism, Politics / Public Service",Cound't Classify
595,Gadag,Doddamani Peersab,AAP,50,0,29755862.0,3560100.0,Secondary Education,SSLC Passed in Anlgo Urdu High School Gadagt 1988-89,GEN,Gadag,Business Agriculture Social Service,House Wife,"Business / Entrepreneurship, Social Work / Activism, Agriculture / Farming",Cound't Classify
596,Hungund,Doddanagouda G Patil,BJP,66,0,228605686.0,15261873.0,Higher Secondary Education,"PUC From Saint Josef College, Bangalore, Year-1977-78",GEN,Bagalkot,"Agriculture, Business, Social Service",Household,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Not Given
597,Shirahatti,Doddappa Bhadrappa Lamani,IND,66,0,5900000.0,,Higher Secondary Education,"12th From F.M. Dabali Composite Junior College Shirahatti Dharwad District, Year-1988",SC,Gadag,Retried Headmaster,House Wife,Education / Academia,Cound't Classify
598,Jevargi,Doddappagouda S. Patil Naribol,JD(S),51,0,31894324.0,1932000.0,Higher Secondary Education,PUC studied from Sri. Sharanabasaveshwar College of Commerce Kalaburagi during the year 1989-90,GEN,Gulbarga,Agriculturist and Social Worker.,Household,"Agriculture / Farming, Social Work / Activism",Not Given
599,Kushtagi,Doddanagouda Hanamagouda Patil,BJP,49,1,38183033.0,,Higher Secondary Education,Govt P.U.College Kushtagi 1992,GEN,Koppal,"Agriculture,","House wife ,Agriculture",Agriculture / Farming,"Not Given, Agriculture / Farming"
600,Tarikere,Doranal Paramesh,IND,53,0,648751005.0,6857049.0,Diploma Holders,"Diploma in Electronics In 1991-92 From Shree Siddarameshwara Polytechnique Mallappanahalli, Hosadurga Road, Chitradurga District",GEN,Chikmagalur,Agriculture and Adike Business,"House Wife, Agriculture and Adike Dllali","Business / Entrepreneurship, Agriculture / Farming","Not Given, Agriculture / Farming"
601,Malleshwaram,Dr Ashwath Narayan C N,BJP,55,1,175349088.0,4043160.0,Doctorates,"MBBS - Bachelor of Medicine Bachelor of Surgery , Kasturba Medical College Mangalore Univeristy Year of 1995",GEN,B.B.M.P(North),Doctor (MBBS),Business,Medicine / Healthcare,Business / Entrepreneurship
602,Siruguppa,Doddayallappa,Karnataka Rashtra Samithi,36,0,2534000.0,500000.0,Postgraduates,MBA (Accounts Marketing) from Bangalore university Bangalore,ST,Bellary,Marketing Executive in Shriram Finance Litd,Information advisor women children development department,Business / Entrepreneurship,Politics / Public Service
603,Honnali,Doddettinahalli Chandrashekharappa,IND,67,0,7876400.0,3796400.0,Graduates,"B.com National College, Shivmoga",GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given
604,Channagiri,Donihalli Manjunatha Gowdru,Karnataka Rashtra Samithi,47,0,9569164.0,1500000.0,Graduates,"B.A ,1995-96(2ND YEAR),KUVEMPU UNIVERSITY",GEN,Davangere,Cement Brick Manufacturing Unit,Housewife,Construction / Real Estate,Education / Academia
605,Kunigal,Dr Ravi Nagarajaiah,JD(S),51,0,251796716.0,9830000.0,Doctorates,"MD, MBBS Rajiv Gandi University 2004",GEN,Tumkur,"General Pysician AIMS, Chunchanagiri",House wife,"Medicine / Healthcare, Science / Research",Not Given
606,Chintamani,Dr M C Sudhakar,INC,54,0,655422193.0,26871536.0,Postgraduates,"Dental Surgeon MDS (Prosthodontics) from A B Sheety Memorial Institute of Dental Sciences, Mangalore University In 1994",GEN,Chikkaballapur,"Ex MLA Partner in Anjani Infra, Partnership Firm","Land Lady Partner and Signatory in Anani Infra, Partnership Firm","Politics / Public Service, Business / Entrepreneurship",Construction / Real Estate
607,Karkal,Dr Mamatha Hegde,IND,47,0,13072853.0,,Doctorates,"Doctor of Philosophy in Bangalore University ,Bangalore -2013",GEN,Udupi,Lecturer in Private Collage University,Businessman,"Education / Academia, Hospitality / Tourism",Business / Entrepreneurship
608,Mulbagal,Dr Sangasandra Vijayakumar,AAP,49,1,1778225.0,,Higher Secondary Education,2nd PUC Govt Boys College Kolar 1991 1992,SC,Kolar,Agriculture and Social Work,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
609,Mulbagal,Dr G.M.Govindappa,IND,53,3,52700000.0,26800000.0,Doctorates,"Ph.D., M.A.1992",SC,Kolar,Retired Assistance Professior social service,Govt Prowda shale teacher,"Education / Academia, Social Work / Activism","Education / Academia, Not Given"
610,Gubbi,Dr Bhavana R Giridhar,IND,52,0,112689352.0,33200000.0,Postgraduates,"M.D Manipal Hospital, Bengaluru (K.U)",GEN,Tumkur,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
611,Bagepalli,Dr. A. Anil Kumar,CPI(M),45,1,40810000.0,35515471.0,Doctorates,"MBBS from Rajiv Gandhi university, Bangalore General Surgeon In 2004",GEN,Chikkaballapur,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
612,Yadgir,Dr. A.B. Malakareddy,JD(S),87,0,98290965.0,,Doctorates,"M.B.B.S- Karnataka V.V Dharwad, K.M.C. Hubballi, in 1962, M.D- Karnataka V.V Dharwad, K.M.C. Hubballi, in 1968",GEN,Yadgir,Doctor career and Agriculture,Doctor career and Agriculture,"Medicine / Healthcare, Agriculture / Farming","Medicine / Healthcare, Agriculture / Farming"
613,Shravanabelagola,Dr Subramanya Mudrabettu,IND,55,0,4852352.0,,Postgraduates,"MBBS, in Ballery Medical College, Gulbarga University, Karnataka in 1986 - 1992",GEN,Hassan,Private Doctor,House Wife,Medicine / Healthcare,Cound't Classify
614,T.Narasipur,Dr. Alagud S. Chandrashekhar,IND,52,0,4091500.0,,Secondary Education,"SSLC Fail 1998, Vidyodaya Prowda Shale T Narasipura",SC,Mysore,Agriculture Social worker,Anganawadi Worker,"Agriculture / Farming, Social Work / Activism",Social Work / Activism
615,Mangalore City North,Dr Y Bharath Shetty,BJP,52,0,113939904.0,9648789.0,Doctorates,Masters in Dentals Surgery (M.D.S.) from Rajiv Gandhi University Health Science Bangaluru in the year 1998,GEN,Dakshina Kannada,Prosthodontist,"Associate Professor Manipal College of Dental Science, Mangaluru",Medicine / Healthcare,Education / Academia
616,Puttur,Dr. B.K. Vishukumar Gowda,AAP,51,0,46404285.0,,Doctorates,Ph.D From University of Mysore 2002,GEN,Dakshina Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
617,Raichur,Dr. Basavaraj Kalasa,IND,62,0,7284578.0,1524692.0,Doctorates,"Ph.D.Doctor of Philosophy 2019 Gulabarga University, Kalaburgi",GEN,Raichur,Guest Lecturer and Agriculture,Assistant Teacher,"Education / Academia, Agriculture / Farming",Education / Academia
618,K.R.Pura,Dr J S Keshava Kumar,AAP,47,0,36308327.0,3815230.0,Postgraduates,BDS (Bachelor of Dental Surgeon) M R Ambedkar Dental College Bangalore University Year 1999,GEN,B.B.M.P(North),Dental Surgeon,House Wife,Medicine / Healthcare,Cound't Classify
619,Khanapur,Dr. Anjali Hemant Nimbalkar,INC,46,3,158063799.0,4273903.0,Postgraduates,"M.S. (Gynecology) From Padmashri Dr. D.Y. Patil Medical College University, Navi Mumbai, Year-2010 MBBS From Lokmanya Tilak Municipal Medical College, Sion, Mumbai, Year-1998",GEN,Belgaum,Doctor,"Inspector General of Police, Karnataka State",Medicine / Healthcare,"Law Enforcement / Security, Sports / Athletics"
620,Anekal,Dr. Chinnappa Y. Chikkahagade,BSP,47,0,22770064.0,600000.0,Graduates,"B.A , Dr S.Gopalaraju First Grade College Anekal in 1999",SC,Bangalore Urban,"Social Service ,News Reporter","House wife , Social Service,Business","Social Work / Activism, Media / Journalism","Business / Entrepreneurship, Social Work / Activism"
621,T.Narasipur,Dr. H C Mahadevappa,INC,70,2,38217051.0,4431900.0,Postgraduates,"MBBS from JJM Medical College, Davanagere, year 1999",SC,Mysore,Social Service,House Wife,Social Work / Activism,Cound't Classify
622,Bellary City,Dr. K.R. Ravi Kumar,Desh Prem Party,43,0,2279000.0,,Doctorates,MBBS (AM) Indian Board of Alternative Medicine Kolkata United Nation University For Feed and The Open international University In 2006,GEN,Bellary,RMP Doctor (Medical Practioner),House Wife,Medicine / Healthcare,Cound't Classify
623,Malavalli,Dr. K.Annadani,JD(S),56,1,112447585.0,23577155.0,Doctorates,"M.A, Ph.D From Bangalore University-2002",SC,Mandya,Business,Business and House wife,Business / Entrepreneurship,"Business / Entrepreneurship, Not Given"
624,Chitradurga,Dr. H.K.S.Swamy,IND,58,0,5119800.0,,Postgraduates,"M.pharma, Ph. D , (pharmaceutical chemistry) Gulbarga university in 1999.",GEN,Chitradurga,Public Activist,Lecturer,Social Work / Activism,Education / Academia
625,Sindgi,Dr. Dastageer Mulla,BSP,43,0,8171617.0,550000.0,Higher Secondary Education,"PUC 2nd, 1997 -98 Anjuman P Pu college Vijayapura",GEN,Bijapur,Self Work,Housewife and Business,Not Given,Business / Entrepreneurship
626,Koratagere,Dr. G. Parameshwara,INC,72,3,212700996.0,153909213.0,Doctorates,"Ph.D. In 1984 - Waite Agricultral Research Institute - University of Adelaide, Australia",SC,Tumkur,"LIC Agent, Agricultural Consultant",Artist,"Banking / Finance, Agriculture / Farming",Arts / Entertainment
627,Holalkere,Dr. Jayasimha Lokanath,IND,46,0,26106856.0,7500000.0,Doctorates,"MBBS , Al-Ameen Medical College,Bijapura",SC,Chitradurga,"Self Retired Government Doctor,Business, Dairy",Dentist Dairing,"Medicine / Healthcare, Business / Entrepreneurship, Arts / Entertainment",Unknown
628,Varuna,Dr. Bharathi Shankar N L,JD(S),64,0,77302107.0,1480000.0,Doctorates,M.B.B.S Mysore Medical College Mysore in 1982-83,GEN,Mysore,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
629,Kunigal,Dr. H D Ranganath,INC,52,8,388026317.0,116999658.0,Doctorates,"M.S. (Ortho) from JS Medical College, Mysore in 1998 to 2001, MBBS from KIMS, Bangalore in 1989-1996",GEN,Tumkur,Doctor (Medical Profession),Doctor (Medical Profession),Medicine / Healthcare,Medicine / Healthcare
630,Chikkaballapur,Dr. K. Sudhakar,BJP,49,1,298178784.0,206778283.0,Doctorates,"MBBS from Siddahartha Medical College,Tumkur,Bangalore University 2003",GEN,Chikkaballapur,"Doctor, Trustee, Share Holder","Housewife, Dentist","Medicine / Healthcare, Cound't Classify, Business / Entrepreneurship",Arts / Entertainment
631,Hubli-Dharwad East,Dr. Kranthi Kiran,BJP,54,2,99402923.0,154593.0,Doctorates,"MBBS, M.S, D.N.B. (Gen. Surg.) M.Ch (Neuro surgery)",SC,Dharwad,Doctor-Neuro Surgeon,Government Employee,Medicine / Healthcare,Politics / Public Service
632,Bilgi,Dr. L. C. Patil,IND,53,0,8287000.0,684985.0,Higher Secondary Education,PUC Register Medical Practitioner Shri Veerabadreshwara High School Belagavi 1993,GEN,Bagalkot,Agriculture Medical,House wife,"Medicine / Healthcare, Agriculture / Farming",Not Given
633,Nelamangala,Dr. K.Srinivasamurthy,JD(S),61,0,226468418.0,0.0,Doctorates,"MBBS ,Gulbarga University ,in 1987",SC,Bangalore Rural,"Business, Pension","Professor ,Pension",Business / Entrepreneurship,Education / Academia
634,Chiknayakanhalli,Dr. M K Pasha,All India Mahila Empowerment Party,38,0,1999500.0,,Graduates,"B.Sc in Chemistry, Botony and Zoology from Kalpatharu College, tiptur, Tumkur District in 2008",GEN,Tumkur,Dry Cocount Business,Dry Coconut Business,Agriculture / Farming,Business / Entrepreneurship
635,T.Narasipur,Dr. M. Revanna,BJP,51,0,12309603.0,7229412.0,Doctorates,"M S in General Surgery from JJM Medical College, Davangere Rajiv Gandhi University in May 2013",SC,Mysore,Doctor in Profession,House Wife,Medicine / Healthcare,Cound't Classify
636,Bagepalli,Dr. Madhu Seethappa,AAP,57,0,173850000.0,100000000.0,Doctorates,"M.D, M.S - FRCS- The Royal College of Eden Burg 1997",GEN,Chikkaballapur,Retired Eye specialist,Doctor (in Foreign),Medicine / Healthcare,Medicine / Healthcare
637,Aurad,Dr. M P Darakeswaraiah,IND,64,0,4505000.0,,Doctorates,BAMS Bengaluru University Bengaluru 1993-94,SC,Bidar,Private Doctor,House work,Medicine / Healthcare,Cound't Classify
638,Jevargi,Dr. Maheshkumar Rathod,CPI,47,0,11619369.0,5808390.0,Doctorates,M.A ( Phd),GEN,Gulbarga,Social service,Govt Job,Social Work / Activism,Politics / Public Service
639,Chikkaballapur,Dr. M.M. Bhasha Nandi,AAP,52,0,15328000.0,,Secondary Education,SSLC in 1988-1989,GEN,Chikkaballapur,Self Employee,House Wife,Unknown,Cound't Classify
640,Madikeri,Dr. Mantar Gowda,INC,38,0,70636564.0,2200000.0,Doctorates,"M.D. , M.B.B.S. from Radio Diagnosis KIMS Bengaluru In 2011",GEN,Kodagu,Doctor Radiologist,Micro Interior Designer,Medicine / Healthcare,Arts / Entertainment
641,Shirahatti,Dr. Muttu. Surakod (Madar),Indian Movement Party,37,0,4700000.0,950000.0,Secondary Education,SSLC From Jawahar Navodaya School Dharwad in 2001,SC,Gadag,Coolie,House Wife,Unknown,Cound't Classify
642,Terdal,"Dr. Padmajeet, A. Nadagouda Patil",IND,47,0,261729293.0,83913685.0,Doctorates,"MBBS, DNB (OPHTH) (Vitreo Retina Surgeon) From Shri Ganapathi Nethralaya Jala, Year-2006",GEN,Bagalkot,DOCTOR AND SOCIAL WORK,DOCTOR,"Medicine / Healthcare, Social Work / Activism",Medicine / Healthcare
643,Nargund,Dr. Muttu Surakod (Madar),IND,37,0,4700000.0,950000.0,Secondary Education,"SSLC ,Jawahar Navodaya School Dharwad",GEN,Gadag,Labour,Housewife,Cound't Classify,Education / Academia
644,Bidar South,Dr. Shailendra Beldale,BJP,49,1,44903000.0,25800000.0,Graduates,"Bachelor of Homeopathy Medical Science, HKE Societys Homeopathy Medical College, Gulbarge University, Gulbarge in 1996",GEN,Bidar,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
645,Chikkodi-Sadalga,Dr. Milan Vithal Kamble,IND,29,0,902000.0,,Doctorates,"M.Sc., P.hD, From Karnataka University Dharwad Nonjing Agriculture University China",GEN,Belgaum,Lecturer,Not Given,Education / Academia,Cound't Classify
646,C.V. Raman Nagar,Dr. Manjunatha S,Karnataka Rashtra Samithi,42,0,3369000.0,,Postgraduates,"BDS from Rajiv Gandhi University of health Science 2007, LLB from Karnataka Law University in 2012",SC,B.B.M.P(North),Doctor Profession,Housewife,Medicine / Healthcare,Education / Academia
647,Basavanagudi,Dr. Rajini.J,Uttama Prajaakeeya Party,37,0,42216433.0,22110737.0,Doctorates,"Master of Philosophy in Hospital and Health Systems Management from The Birla Institute of Technology and Science, Pilani Passed in 2016",GEN,B.B.M.P(South),"Senior Manager, Scientific Writing",Medical Officer SE,Science / Research,"Medicine / Healthcare, Social Work / Activism"
648,Kolar Gold Field,Dr. Ramesh Babu.V.M.,JD(S),48,0,218941930.0,12000000.0,Doctorates,"Ph.D (Information and Communication Technology) from National Virtual University in 2018, MA(Dev. from Azim Premji University in 2015, ME(E CE) from University Visvesvaraya College of Engineering Bangalore University in 2006",SC,Kolar,"Agriculture ,Auditing and Accounting",Employee in GOK,"Agriculture / Farming, Banking / Finance",Politics / Public Service
649,Belgaum Uttar,Dr. Ravi B. Patil,BJP,51,0,307115526.0,12910320.0,Doctorates,"Master of Surgery Orthopaedics (MS Ortho) Jawaharlal Nehru Medical College Belagavi, Karnataka Unversity , Dharwad ,Feb 1999",GEN,Belgaum,Doctor,Hospital Administrator,Medicine / Healthcare,"Medicine / Healthcare, Hospitality / Tourism"
650,Chamrajpet,Dr. Shivakumar .M,IND,47,1,138510000.0,13500000.0,Postgraduates,"LLB., Bangalore University 2013",GEN,B.B.M.P(Central),Advocate,House Wife,Law / Judiciary,Cound't Classify
651,Varuna,Dr. U. P. Shivananda,IND,72,3,55896249.0,7500000.0,Postgraduates,"MBBS , JJM Medical College Davanagere in 1973 Karnataka university",GEN,Mysore,Business Agriculture,Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
652,Chittapur,Dr. Subhaschandra Rathod,JD(S),39,0,3103828.0,440221.0,Doctorates,Doctor of Philosophy in 2020,SC,Gulbarga,Social Work,House Wife,Social Work / Activism,Cound't Classify
653,Raichur,Dr. Shivaraj Patil,BJP,52,0,196791788.0,52665557.0,Postgraduates,"M.D.General Medicine, M.R.Medical college, Gulbarga University, Karnataka-1998",GEN,Raichur,Private Medical Consultant and Agriculturist,House Wife and Agriculturist,Medicine / Healthcare,"Agriculture / Farming, Not Given"
654,Aurad,Dr. Shinde Bhimsenrao,INC,68,0,20951389.0,1800000.0,Doctorates,"M.A, Ph.D ,LLM, Karnataka University Dharwad in 2006",SC,Bidar,Retired Government Servant,Retired Government Servant,Politics / Public Service,Politics / Public Service
655,Bailhongal,Dr. Vishwanath I. Patil,IND,59,0,83309692.0,27513339.0,Doctorates,"M.B.B.S. from Jawaharlal Nehru Medical College, Belagavi, Karnatak University, Dharwad in 1992",GEN,Belgaum,"Agriculture, Business and Public Servant",Home Maker and Agriculture,"Business / Entrepreneurship, Agriculture / Farming, Politics / Public Service","Education / Academia, Agriculture / Farming"
656,Hanur,Dr. Preethan .K.N,BJP,52,0,47677911.0,9139609.0,Doctorates,"M.S. in 1997 From JSS Medical College, Rajiv Gandhi University MBBS in 2003 From JSS Medical College, Mysore University",GEN,Chamarajnagar,Doctor and Agriculture,Doctor,Medicine / Healthcare,Medicine / Healthcare
657,Shiggaon,Dr. U. P. Shivananda,IND,72,3,55896249.0,7500000.0,Postgraduates,MBBS from JJM Medical College Davanagere in 1973,GEN,Haveri,Business Agriculture,Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
658,Sedam,Dr. Sharanprakash Rudrappa Patil,INC,55,3,287095878.0,143053723.0,Doctorates,"MD (Skin VD) from MR Medical College, Gulbarga University, Kalaburagi in 1995",GEN,Gulbarga,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
659,Rajarajeshwarinagar,Dr. V.Narayana Swamy,JD(S),52,5,685124348.0,340762264.0,Doctorates,"MD From Rajiv Gandhi University MBBS Competed in the Year 1994-95 From Bengaluru Medical College, Bengaluru University",GEN,B.B.M.P(Central),Doctor,Hospital Administration,Medicine / Healthcare,Medicine / Healthcare
660,Chamarajanagar,Dr.Guruprasad,AAP,45,0,28265000.0,3100000.0,Doctorates,PhD from University of Mysore i 2011,GEN,Chamarajnagar,"Agriculture, Business, Firtilizer-Pesticide Dealer, Drip Irrigation Equipment Dealer",House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
661,Srinivaspur,Dr. Y.V.Venkatachala,AAP,55,0,82717663.0,30645206.0,Postgraduates,"Bachelor of Medicine and Bachelor of Surgery in Sri Devaraj Urs Medical College, Tamaka, Kolar, Bangalore University in February - 1994",GEN,Kolar,Doctor at Sri Venkateshwara Nursing Home Srinivaspura,"Doctor at Vitals Mothers and Child Hospital White, City Layout, Bengaluru",Medicine / Healthcare,Medicine / Healthcare
662,Shirahatti,Dr.Chandru Lamani,BJP,34,1,61483532.0,40495379.0,Doctorates,"MD From ESI Post Graduate Medical Science Research Bangalore-2018, Rajiv Gandhi Arogya Science University Karnataka",SC,Gadag,Doctor,Household and Business,Medicine / Healthcare,Business / Entrepreneurship
663,Rajaji Nagar,Dr.Anjanappa T H,JD(S),67,0,232077680.0,2551398.0,Doctorates,"M.S. (Gen Surgery) K.M.C. Hubli Karnataka University 1983, E MBA From Karnataka Open University 2009",GEN,B.B.M.P(Central),Doctor,"Secretary, M.V. Education Society",Medicine / Healthcare,Education / Academia
664,Bhatkal,Dr.Naseem Khan,AAP,52,0,12754000.0,4300000.0,Doctorates,"M.B.B.S.- Al-Ameen Medical College, Bijapur, in 1998",GEN,Uttara Kannada,Doctor,House wife,Medicine / Healthcare,Not Given
665,Hagaribommanahalli,Dr.V.H.Hanumanthappa,AAP,61,0,15718000.0,,Postgraduates,"Master of Veterinary Science, 2001, From Agriculture University, Bangalore.",SC,Bellary,Retired Govt. Employee,House wife Agriculture,Business / Entrepreneurship,"Agriculture / Farming, Not Given"
666,Shimoga Rural,Dr.Thipperudraswamy.T,IND,37,0,2020000.0,750000.0,Doctorates,M.B.B.S. From Bangalore Medical College and Research Centre Bangalore in 2003,SC,Shimoga,Private Doctor,Government Doctor,Medicine / Healthcare,"Medicine / Healthcare, Politics / Public Service"
667,Moodabidri,Dr.Amarashree Amarnath Shetty,JD(S),45,0,44709714.0,2857179.0,Doctorates,"Ph.D from Nitte Deemed to be University, B.D.S. In Mangalore University MDS from Rajiv Gandhi University",GEN,Dakshina Kannada,Associate Dean Student Welfare ABS Memorial Institute of Dental Scinece,Not Given,Education / Academia,Cound't Classify
668,Bellary City,Dr.B.R.Manjunatha,IND,63,0,7690000.0,4850000.0,Doctorates,Ph.D in 2007 from Gulbarga University M.Phil in 2001 from Gulbarga University,GEN,Bellary,Retd. College Lecturer,House wife,Education / Academia,Not Given
669,Kolar Gold Field,Dr.Joshua M E Rajan,IND,52,0,787232.0,,Doctorates,Honorary Doctorate in social service welfair Social Service National Virtual University of Peace Education ND.-,SC,Kolar,"Social Service, Business",House wife,"Social Work / Activism, Business / Entrepreneurship",Not Given
670,Melukote,Dr.Indresh N.S.,BJP,44,0,105964530.0,61038553.0,Postgraduates,BAMS from Rajiv Gandhi university in 2005,GEN,Mandya,Doctor,Housewife,Medicine / Healthcare,Education / Academia
671,Devar Hippargi,Dundasi Abdulrahiman Mahammadahanip,IND,54,2,43110000.0,,Graduates,"L.L.B -Graduate , Karnataka University Dharwad 2000",GEN,Bijapur,Advocate,House Wife,Law / Judiciary,Cound't Classify
672,Haveri,Duragesh Guddappa Megalamani,IND,42,0,8020341.0,2980000.0,Secondary Education,SSLC Kalidasa High School Haveri in March 1999,SC,Haveri,Private Job,House Wife,Information Technology,Cound't Classify
673,Babaleshwar,Dundasi Abdulrahiman Mahammadhanif,IND,54,2,43110000.0,,Postgraduates,"LLB ,Karnataka University Dharwada in 2000",GEN,Bijapur,Advocate,House Work,Law / Judiciary,Cound't Classify
674,Kanakapura,E Puttaraju,AAP,51,0,7345500.0,2400000.0,Literate,8th Standard Discounted,GEN,Ramanagaram,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
675,Moodabidri,Durga Prasad,IND,32,0,5548045.0,1381618.0,Higher Secondary Education,"2nd PUC, Commerce - National Council for Academic Learning - 2009",GEN,Dakshina Kannada,Film Editor Writer and Director,No,Arts / Entertainment,Cound't Classify
676,Hiriyur,E Pathalingappa,Uttama Prajaakeeya Party,28,1,573946.0,371500.0,Graduates,"B.A,Vanisakkare,Govt First Grade Collage,hiriyur",GEN,Chitradurga,Orange Retail Finance FM Ltd,NO,Banking / Finance,Not Given
677,Hubli-Dharwad East,Durgappa Kashappa Bijawad,All India Majlis-E-Ittehadul Muslimeen,63,2,16033852.0,,Secondary Education,SSLC From Shivappa Jigajure High School 1977-98,SC,Dharwad,Agriculture and Social service,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify
678,Shirahatti,Duragappa Shekhappa Binjadagi,IND,67,2,5030000.0,954595.0,Higher Secondary Education,PUC From NVA Government PU College Magadi in 2004,SC,Gadag,Contractor,House Wife,Consulting / Advisory,Cound't Classify
679,Shimoga Rural,Dr.Srinivas Kariyanna,INC,44,0,6717779.0,,Doctorates,MD from DR Ambedkar Medical College Bangalore in 2013-14,SC,Shimoga,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
680,Holalkere,E. Raju,Uttama Prajaakeeya Party,46,0,133357.0,17192.0,Higher Secondary Education,"PUC from S.A.S.B.H.P.U.Collage,Dhavangere,Aneconda-1995",SC,Chitradurga,Electrician and sales Executives,Housewife,Engineering / Technology,Education / Academia
681,Harapanahalli,Edigar Karibasappa,Karnataka Rashtra Samithi,47,2,8930000.0,,Graduates,"B.A - A.D.B. College, Harapanahalli 1998",GEN,Davangere,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
682,Bhalki,Eshwar Khandre,INC,61,7,87442877.0,5802106.0,Diploma Holders,B.E. from PDA College of Engineering Gulbarga in 1985,GEN,Bidar,Social Service and Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming
683,Sringeri,Eliyaz Ahammad,IND,31,4,705000.0,212000.0,Primary Education,"4th class -Govt.High school,valagodu gorigandi,sangameshwarapette ,chikkamangalore talluk",GEN,Chikmagalur,Self employee-Driver,Housewife,Transportation / Logistics,Education / Academia
684,Raichur,Eresh,IND,33,0,111200.0,200000.0,Secondary Education,SSLC in 2023 as Private Candidate in Government High school Police Colony Raichur,GEN,Raichur,Jute Bag Business,House Wife,Business / Entrepreneurship,Cound't Classify
685,Davanagere South,Eranna,IND,42,0,2750000.0,,Secondary Education,"7th class, Smt.Kaveramma Govt Higher Primary School, K B Extension, Davanagere 2006-07",GEN,Davangere,Paintaing Contractor,Home made,Consulting / Advisory,Not Given
686,Raichur,Earesh Kumar,IND,39,0,3053000.0,,Graduates,B.Com From PCP University Raichur,GEN,Raichur,Private Job,House Wife,Information Technology,Cound't Classify
687,Haliyal,Eliyas Kati,IND,47,0,45000.0,,Secondary Education,"SSLC, Janatha Vidyalaya Dandeli 1993-94",GEN,Uttara Kannada,Contractor,no,Consulting / Advisory,Cound't Classify
688,Hosakote,Eregowda,IND,42,0,550000.0,,Secondary Education,9th pass,GEN,Bangalore Rural,Agriculture,no,Agriculture / Farming,Cound't Classify
