,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
122,Ranibennur,Koliwad K.B,INC,69,1.0,30624628.0,,Graduates,llb karnataka vishwavidyalaya,Haveri,political,HOME MAKER,Politics / Public Service,Not Given
123,Athani,Laxman Sangappa Savadi,BJP,53,0.0,92466157.0,1000611.0,Higher Secondary Education,2nd puc ssmc clg 1978,Belgaum,"SOCIAL SERVICE,AGRICULTURIST",House wife,"Social Work / Activism, Agriculture / Farming",Not Given
124,Tiptur,K.Shadakshari,INC,64,0.0,21832461.0,13200000.0,Graduates,B.COM,Tumkur,COCOUNT MARCHANT,HOUSE WIFE,Business / Entrepreneurship,Not Given
125,Byatarayanapura,Krishna Byre Gowda,INC,40,0.0,62702490.0,7431000.0,Postgraduates,"M.A. In International Politics Economic Development American University . Washington D.C. USA In The Year 1999. BBM Christ College, Bangalore In The Year 1994-Pre University National College Basavanagudi Bangalore",Bangalore Urban,Agriculture,Senior Consultant CJI Information Systems Ltd,Agriculture / Farming,Consulting / Advisory
126,Bhadravati,M.J.Appaji,JD(S),60,1.0,11004722.0,4351990.0,Graduates,"B.A , SMV College, Bhadravathi",Shimoga,Rtd. VSL Employee,House Wife,Cound't Classify,Cound't Classify
127,Sidlaghatta,M.Rajanna,JD(S),49,0.0,12545000.0,200000.0,Diploma Holders,B.SC. DAIRY TECHNOLOGY,Chikkaballapur,AGRICULTURE,Z.P MEMBER,Agriculture / Farming,Politics / Public Service
128,Babaleshwar,M.B.Patil,INC,49,0.0,401649979.0,191965776.0,Diploma Holders,B.E CIVIL FROM BLDE HALAKATTI COLLAGE OF ENGINEERING TECHNOLOGY COLLAGE BIJAPUR IN 1990,Bijapur,AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given
129,Mandya,M.H Ambareesh,INC,61,0.0,42924502.0,1574361.0,Higher Secondary Education,PUC Mysore,Mandya,Cine Artist,Cine Artist Consultant,Arts / Entertainment,"Arts / Entertainment, Consulting / Advisory"
130,Turuvekere,M T Krishnappa,JD(S),62,6.0,22718868.0,1000000.0,Unknown,bangalore university,Tumkur,Agricultural,House Wife,Agriculture / Farming,Cound't Classify
131,Bommanahalli,M.Sathish Reddy,BJP,41,0.0,429635121.0,59800000.0,Unknown,Unknown,B.B.M.P(South),"President of Devraj Aras Truck Terminal, Chairman for M s Shelters Pvt. Ltd",MD M S Shelters,"Business / Entrepreneurship, Construction / Real Estate",Construction / Real Estate
132,Bijapur City,Makbul S Bagawan,INC,44,0.0,15796527.0,5002479.0,Doctorates,MBBS,Bijapur,Business,House Wife,Business / Entrepreneurship,Cound't Classify
133,Sagar,Kagodu Thimmappa,INC,82,14.0,11980629.0,,Graduates,"B.COM,.B.L",Shimoga,Vice Vidhanasabha,House wife,Politics / Public Service,Not Given
134,Vijay Nagar,M.Krishnappa,INC,61,1.0,1474348896.0,782906332.0,Graduates,BSC FROM BANGALORE UNIVERSITY (1973),B.B.M.P(South),BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given
135,Afzalpur,Malikayya Venkayya Guttedar,INC,57,0.0,38339261.0,2788010.0,Graduates,B.Com From S.B Collage Gulbarga In 1979,Gulbarga,Social Work,House Wife,Social Work / Activism,Cound't Classify
136,Chikkaballapur,K.Sudhakar,INC,39,0.0,22939732.0,,Doctorates,MBBS,Chikkaballapur,DOCTOR,HOUSE WIFE DIRECTOR OF THE INDOMOUNT PVT LTD ,Medicine / Healthcare,"Business / Entrepreneurship, Not Given"
137,Basavakalyan,Mallikarjun Sidramappa Khuba,JD(S),36,3.0,110543029.0,37172378.0,Secondary Education,SSLC From Shri Basaveshwar High School (English Medium) Basavakalyan In 1993,Bidar,Social Service Business,Household,"Business / Entrepreneurship, Social Work / Activism",Not Given
138,Arkalgud,Manju A,INC,55,0.0,159680492.0,450000.0,Graduates,"BA,LLB,SJR COLLEGE, BENGALURU, 1985-86 YEAR",Hassan,Advocate,House Wife,Law / Judiciary,Cound't Classify
139,Bhatkal,Mankala Subba Vaidya,IND,41,3.0,121413466.0,37051662.0,Primary Education,"Janatha Vidyalaya , Murudeshwar 1988",Uttara Kannada,OWN BUSSINESS,DIED,Business / Entrepreneurship,Cound't Classify
140,Hangal,Manohar Thashildar,INC,67,0.0,19640352.0,3400000.0,Graduates,B.E MACHANICAL COURSE,Haveri,EX ASESMBLY VICEPRESIDENT,house wife,Politics / Public Service,Not Given
141,Nagamangala,N.Cheluvaraya Swamy,JD(S),53,0.0,147265276.0,65912645.0,Diploma Holders,"Diploma in Civil Engineering from Polytechnic College, KR Pet, Mandya District during 1978-83; 8th-10th Standard in Sri Siddaganga High School, Tumkur during 1975-78; 5th-7th Standard in Goverment Higher Primary School, Brahmadevarahalli, Nagamangala Talu",Mandya,Agriculture,Housewife,Agriculture / Farming,Education / Academia
142,Bagalkot,Meti Hullappa Yamanappa,INC,68,0.0,62641207.0,8917163.0,Unknown,Unknown,Bagalkot,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
143,Kudachi,P.Rajeev,BSRC,35,0.0,9426000.0,,Graduates,"B.Sc, karnataka mahavidyalaya, dharwad",Belgaum,social activist,Home maker,Social Work / Activism,Construction / Real Estate
144,Krishnarajpet,Narayana Gowda,JD(S),51,0.0,95194236.0,13557820.0,Diploma Holders,Diploma in Hotel Management,Mandya,Business (Self-Employed),Housewife,Business / Entrepreneurship,Education / Academia
145,Gauribidanur,N H Shivashankara Reddy,INC,59,0.0,35604456.0,15231912.0,Graduates,B.SC.AJ,Chikkaballapur,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
146,Malavalli,P.M.Narendra Swamy,INC,50,0.0,100520775.0,9463542.0,Graduates,B.E. Civil From Ambedkar Institute of Technology in 1994,Mandya,Business,House Wife,Business / Entrepreneurship,Cound't Classify
147,Navalgund,N H Konaraddi,JD(S),49,1.0,29896575.0,273301.0,Graduates,B.COM kar vishvavidyalaya 1987,Dharwad,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
148,Rajarajeshwarinagar,Munirathna,INC,49,1.0,288301637.0,,Secondary Education,"SSLC From Corporation High School, Kodandaramapuram, Malleshwaram Bangalore In 1981",B.B.M.P(Central),BBMP Corporator Ward 37,House Wife,"Politics / Public Service, Law Enforcement / Security",Cound't Classify
149,Shanti Nagar,N. A. Haris,INC,46,0.0,1337605689.0,35333440.0,Postgraduates,"Master of Arts in History in Karnataka Open University at Mysore,Year-2005",B.B.M.P(Central),Managing Director - Nalapad group of Compamies,House wife,Business / Entrepreneurship,Not Given
150,Hosakote,N.Nagaraju [M.T.B],INC,61,0.0,4701357248.0,495010696.0,Vocational Training,9th standard ITI Vidhyamandir In 1966,Bangalore Rural,Agriculturist and Business Man,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
151,Devanahalli,Pillamunishamappa,JD(S),48,0.0,86798611.0,6853647.0,Higher Secondary Education,", Second PUC, MES Evening college, Bangalore 1983-84",Bangalore Rural,Agricluture and Business,Agricluture and Business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
152,Chittapur,Priyank .M.Kharge,INC,34,0.0,80509974.0,6116686.0,Higher Secondary Education,"Certified Professional in Computer Arts Animation in 1999, PUC from MES College Malleswaram in 1996",Gulbarga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
153,Gulbarga Uttar,Qamarul Islam,INC,66,1.0,105879993.0,6663808.0,Graduates,"B.E., (Mechanical) Passed in first Class in the year1972 from College of Engineering, Gulbarga of Karnataka University.",Gulbarga,Educationist and Business,Business and Housewife,"Business / Entrepreneurship, Education / Academia","Business / Entrepreneurship, Not Given"
154,Chikkodi-Sadalga,Prakash Hukkeri,INC,66,0.0,67736977.0,1995403.0,Higher Secondary Education,J.A.Composite Pre-university college Belagavi,Belgaum,I.O.C Dealer Social Woker,HouseMaker Social Worker,"Business / Entrepreneurship, Social Work / Activism","Education / Academia, Social Work / Activism"
155,Hebbal,R Jagadeesh Kumar,BJP,56,0.0,136148591.0,82744000.0,Postgraduates,"Bachelor of Engineering in Electronics from R V College of Engineering,Banglore University in 1981",B.B.M.P(North),Self Employed,Housewife,Business / Entrepreneurship,Education / Academia
156,Udupi,Pramod Madhwaraj,INC,45,0.0,1051748405.0,448423400.0,Higher Secondary Education,"II PUC Completed From MGM College, Udupi in April 1986",Udupi,Bussiness,Bussiness,Business / Entrepreneurship,Business / Entrepreneurship
157,Govindraj Nagar,Priyakrishna,INC,29,2.0,9109861857.0,8532359544.0,Postgraduates,LLB In Bangalore Univeristy 2008,B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify
158,Hanur,R Narendra,INC,55,0.0,65468242.0,500000.0,Postgraduates,"M.A,LLB",Chamarajnagar,Farmer,Agriculture,Agriculture / Farming,Agriculture / Farming
159,Pulakeshinagar,R. Akhanda Srinivasa Murthy,JD(S),43,1.0,41195000.0,4400000.0,Higher Secondary Education,P.U.C.,B.B.M.P(North),SOCIAL WORKER,BBMP MEMBER,Social Work / Activism,Politics / Public Service
160,Aurad,Prabhu B. Chavhan,BJP,44,0.0,40396787.0,9575822.0,Unknown,in 1997-98,Bidar,BUSSINESS AND SOCIAL HELPER,HOUSE WIFE,"Business / Entrepreneurship, Social Work / Activism",Not Given
161,Padmanaba Nagar,R. Ashoka,BJP,55,4.0,262070695.0,19918743.0,Graduates,"B.Sc. From Bangalore University, VV Puram College of Science, in the year 1979-80, Second PUC-VV Puram College Bangalore during 1975-76",B.B.M.P(South),Agriculturist Public Servant,Agriculturist and homemaker,"Politics / Public Service, Agriculture / Farming",Agriculture / Farming
162,Hadagalli,P.T .Parameshwaranaik,INC,48,0.0,14824000.0,22008500.0,Unknown,"1982-84, ARG COLLEGE, DAVANGERE",Bellary,FARMER EX-MLA,HOUSEWIFE,"Agriculture / Farming, Politics / Public Service",Not Given
163,Kolar,R. Varthur Prakash,IND,47,0.0,6643621.0,,Postgraduates,"BE from Dayanandsagar College of Engineering in 1987, PUC II Sri Sathya Sai Institute of Higher Learning in 1983",Kolar,social service,house wife,Social Work / Activism,Not Given
164,Koratagere,P.R.Sudhakarlal,JD(S),48,0.0,18192015.0,6407664.0,Graduates,"B.E.(Mech.), L.L.B.",Tumkur,OWN BUSSINESS AND AGRICULTURE,K.A.S OFFICER,"Business / Entrepreneurship, Agriculture / Farming",Politics / Public Service
165,Shivajinagar,R.Roshan Baig,INC,59,0.0,197120057.0,40993806.0,Graduates,"B.Com R C Collage Bangalore, LL.B Government Law Collage Bangalore",B.B.M.P(Central),Social Worker,House Wife,Social Work / Activism,Cound't Classify
166,Koppal,Raghavendra K.Basavaraj Hitnal,INC,34,0.0,15963607.0,924982.0,Higher Secondary Education,PUC GSS College Dharwad,Koppal,Business and Self employment,HOUSE WIFE and Business,Business / Entrepreneurship,Business / Entrepreneurship
167,Kolar Gold Field,Ramakka. Y,BJP,59,0.0,7370319.0,,Secondary Education,"SSLC from Govt High School, Kallubalu, Jigani, Anekal in 1968",Kolar,House wife,Agriculturer,Not Given,Agriculture / Farming
168,B.T.M.Layout,Ramalinga Reddy,INC,60,0.0,359370681.0,172517202.0,Graduates,"B.Sc. From Government Arts Science College, Bangalore, year of Passing 1975",B.B.M.P(South),Business,Family Business,Business / Entrepreneurship,Business / Entrepreneurship
169,Belur,Rudresh Gowda. Y. N,INC,57,0.0,98673362.0,3520975.0,Postgraduates,"B.Sc, LL.B",Hassan,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
170,Sindgi,Ramesh Balappa Bhusanur,BJP,54,0.0,29033907.0,7500000.0,Graduates,S.B. College Bijapura in the year 1982,Bijapur,Not Given,Not Given,Cound't Classify,Cound't Classify
171,Krishnarajanagara,S R Mahesh,JD(S),47,0.0,370717828.0,113307010.0,Graduates,"B.Sc., D.Pharma",Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
172,Humnabad,Rajshekar Baswaraj Patil,INC,49,1.0,37213729.0,2956625.0,Graduates,"Govt. Padavi East Boys College, Humnabad. Year 1982-83",Bidar,"Business,Agriculture and Social service",House Wife,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Cound't Classify
173,Haveri,Rudrappa Manappa Lamani,INC,54,2.0,34282615.0,4256845.0,Unknown,Unknown,Haveri,Not Given,Not Given,Cound't Classify,Cound't Classify
174,Basavanagudi,Ravi Subramanya.L.A.,BJP,55,0.0,29340256.0,3582855.0,Postgraduates,"BA from Banglore University in 1984, MBA from CSM Institute of Graduate Studies, Year-2004",B.B.M.P(South),"MLA, Drawing Salary, Interest income on Deposits and Agriculture Income",Income from Running Educational Institute and having interest on deposits,"Politics / Public Service, Banking / Finance, Agriculture / Farming","Business / Entrepreneurship, Social Work / Activism"
175,Chickpet,R.V.Devaraj,INC,55,0.0,320838000.0,75677342.0,Graduates,"B.A FROM GURU GHASIDAS UNIVERSITY, BILASPUR (C.G), 2007",B.B.M.P(Central),Business,Housewife,Business / Entrepreneurship,Education / Academia
176,Yeshvanthapura,S.T. Somashekar,INC,55,0.0,70064872.0,30053411.0,Graduates,BSc,Bangalore Urban,Private Transport,Housewife,Transportation / Logistics,Education / Academia
177,Sorab,S.Madhu Bangarappa,JD(S),47,0.0,332325000.0,156544875.0,Graduates,B.A. Bangalore University in 1988,Shimoga,self employed and agriculture,Homemaker,"Business / Entrepreneurship, Agriculture / Farming",Not Given
178,Bangarapet,S.N Narayanaswamy K.M,INC,45,0.0,106774940.0,37406757.0,Secondary Education,"SSLC from Govt Boys Junior College,. Bangarpet",Kolar,Business Agriculture,House wife Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
179,Gubbi,S.R.Srinivas,JD(S),51,0.0,19080210.0,6975441.0,Graduates,B.A. From Tumkur University,Tumkur,Bussiness and Agriculture,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify
180,Bagepalli,S. N. Subbareddy (Chinnakayalapalli),IND,47,0.0,864199071.0,190861001.0,Secondary Education,"SSLC in 1983 from Govt. High School,Gulur Bagepalli Taluk and TCH .Venketesh TCH Training college Marathalli ,Banglore 1986",Chikkaballapur,Hotel Bussiness,Hotel Bussiness,"Hospitality / Tourism, Business / Entrepreneurship","Hospitality / Tourism, Business / Entrepreneurship"
181,Belgaum Dakshin,Sambhaji Lakshman Patil,IND,62,1.0,208404808.0,14286364.0,Primary Education,"6th Standard in 1966 from MBS 18,Shahapur",Belgaum,Agriculturist Partner in milk dairy firm,Partner in milk dairy firm,Agriculture / Farming,Agriculture / Farming
182,Rajaji Nagar,S.Suresh Kumar,BJP,57,1.0,26451449.0,1272623.0,Graduates,B.Sc LLB From Bangalore University In 1980,B.B.M.P(Central),"MLA, Rajajinagar","Chief Editor, Cine Jossh Monthly Magazine","Politics / Public Service, Law Enforcement / Security",Arts / Entertainment
183,Molakalmuru,S. Thippeswamy,BSRC,64,0.0,13050000.0,100000.0,Graduates,"BA, B.Ed",Chitradurga,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
184,Belgaum Rural,Sanjay B Patil,BJP,44,2.0,74108226.0,9313543.0,Diploma Holders,"Diploma in Automobile Engineering, 1993-94, Gomatesh Poly Technic Belgaum",Belgaum,Social Worker,Fashion Designer,Social Work / Activism,Arts / Entertainment
185,Yelahanka,S R Vishwanath,BJP,50,0.0,221864830.0,20900000.0,Graduates,"B.E. Mechannical Engineering, MR Jayram Institute, Shivajinagar",Bangalore Urban,"Agriculturist, Social Service","Agriculturist, Social Service, President of Zilla Parishad","Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Social Work / Activism"
186,C.V. Raman Nagar,S. Raghu,BJP,43,0.0,316420000.0,2500000.0,Diploma Holders,"Diploma In Civil Engineering At Acharya Pata Shala At Bangalore In The Year 1990, And Bachelor Of Civil Engineering At Dayananda Sagar College Bangalore In The Year 1995 With In Bangalore University",B.B.M.P(North),MLA,House Wife,Politics / Public Service,Cound't Classify
187,Karwar,Santeesh Sail Krishna,IND,45,6.0,664607591.0,341097550.0,Graduates,B.Sc.Govt.Arts Science College,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
188,Kalghatgi,Santhosh Lad,INC,38,0.0,1864009320.0,140587660.0,Graduates,B.com from SES College Sandur Taluk Bellary District in the year 1996,Dharwad,Business,House wife,Business / Entrepreneurship,Not Given
189,Kollegal,S. Jayanna,INC,61,0.0,14740000.0,2865000.0,Postgraduates,M.A. Year-1978-79,Chamarajnagar,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
190,Davanagere North,S.S.Mallikarjun,INC,45,4.0,602024677.0,126426164.0,Graduates,"B.Com. from M..S.B. College of Commerce, Davangere Mysore University in April 1990, P.U.C. from A.R.G. College Davangere in April 1986, S.S.L.C. from D.R.R. High School Davangere in April 1983",Davangere,"Managing Director, Indian Cane Power Ltd Davangere",House Wife,Business / Entrepreneurship,Cound't Classify
191,Basavana Bagevadi,Shivanand S Patil,INC,53,2.0,87033766.0,18267038.0,Diploma Holders,"DIPLOMO IN PHARAMACY FROM KLE'S J N MEDICAL COLLEGE BELGAUM,YEAR-1981",Bijapur,Medical Business and Agriculture,Private Job Agriculture,"Medicine / Healthcare, Business / Entrepreneurship",Agriculture / Farming
192,Davanagere South,Shamanur Shivashankarappa,INC,81,4.0,678978344.0,184206483.0,Secondary Education,"Intermediate from D.R.M Science College, Davangere in 1951",Davangere,"Chairman, Davangere Sugar Co. Ltd., Chairman, Indian Cane Power Ltd.",Not Given,Business / Entrepreneurship,Cound't Classify
193,Yemkanmardi,Satish Laxmanarao Jarakiholi,INC,50,0.0,630518613.0,64075834.0,Higher Secondary Education,"P.U.C. from J.S.S. Art's, Science Commerce College Gokak in the year 1981",Belgaum,Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
194,Shimoga Rural,Sharada Pooryanaik,JD(S),42,0.0,16538455.0,2418941.0,Higher Secondary Education,"PUC, 1987",Shimoga,Petrol Pump Owner Mining Crusher,Not Given,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify
195,Kumta,Sharada Mohan Shetty,INC,51,0.0,55810894.0,32063604.0,Higher Secondary Education,PUC FROM SIRSI,Uttara Kannada,Businessman,Not Given,Business / Entrepreneurship,Cound't Classify
196,Varuna,Siddaramaiah,INC,64,0.0,136124398.0,28894264.0,Graduates,"B.Sc. Yuvaraj's College, Mysore L.L.B. -Sharada Vilas Law College,Mysorein 1972",Mysore,MLA,House Wife,Politics / Public Service,Cound't Classify
197,Jamkhandi,Siddu B. Nyamagouda,INC,63,1.0,36384575.0,,Graduates,B.Sc KARNATAKA UNIVERSITY,Bagalkot,Agriculturist,HOUSE WIFE,Agriculture / Farming,Not Given
198,Hiriyur,Sudhakara D,INC,52,2.0,297797492.0,127024873.0,Graduates,"B.Com in the year 1982, Mysore University",Chitradurga,Business,House wife Business,Business / Entrepreneurship,Business / Entrepreneurship
199,Nippani,Shashikala Annasaheb Jolle,BJP,45,0.0,248027072.0,89836187.0,Secondary Education,SSLC From SDT High School Ghataprabha in the year 1985,Belgaum,Business and Agriculture,Business and Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
200,Anekal,Shivanna.B,INC,46,0.0,70695000.0,936000.0,Postgraduates,"M.Sc-Bangalore University, 1992,LLB-Islamia Law College, Bangalore-1995",Bangalore Urban,Social Service,House Wife and Social Service,Social Work / Activism,Social Work / Activism
201,Sira,T B Jayachandra,INC,64,0.0,124301835.0,,Postgraduates,"L.L.B Vidyodaya Law College Tumkur Bangalore University 1972, B.SC, Govt First Grade College Tumkur Maysore University 1969",Tumkur,Advocate,Agriculturist,Law / Judiciary,Agriculture / Farming
202,Puttur,Shakunthala T. Shetty,INC,66,0.0,12712877.0,3000000.0,Secondary Education,"10th Pass From Satyanarayana School, Perla, Kasaragod In 1965",Dakshina Kannada,Former,no,Not Given,Cound't Classify
203,Mangalore,U.T. Khadar,INC,43,1.0,11122027.0,,Graduates,L.L.B S.D.M.Law College Manglore University 2003,Dakshina Kannada,Advocate,Bussiness,Law / Judiciary,Business / Entrepreneurship
204,Doddaballapur,T.Venkataramanaiah,INC,52,0.0,112615778.0,14019303.0,Secondary Education,Govt High school Doddabelavangala,Bangalore Rural,Own Business,Not Given,Business / Entrepreneurship,Cound't Classify
205,Kampli,T.H. Suresh Babu,BSRC,31,2.0,65222822.0,26406888.0,Technical/Professional Courses,ENGINEERING,Bellary,ENGINEER,HOUSEHOLD,Engineering / Technology,Not Given
206,Challakere,T.Raghumurthy,INC,50,0.0,13369632.0,,Diploma Holders,B.E CIVIL,Chitradurga,AGRICULTURE AND SOCIAL AWORKER,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given
207,Narasimharaja,Tanveer Sait,INC,44,0.0,50895493.0,5410893.0,Graduates,"BBM (incomplete) from Vidyavardhaka College, Mysore 1988-90",Mysore,Businessman,Businesswoman,Business / Entrepreneurship,Business / Entrepreneurship
208,Terdal,Umashree,INC,55,2.0,33935373.0,2217199.0,Postgraduates,MA Political Science From Karnataka State Open University Mysore 2011,Bagalkot,Social Work Film Actor,Divorced,"Social Work / Activism, Arts / Entertainment",Cound't Classify
209,Chincholi,Umesh G. Jadav,INC,54,1.0,21372074.0,1815000.0,Technical/Professional Courses,M.S. IN GENERAL SURGERY FROM BANGALORE MEDICAL COLLEGE IN 1991,Gulbarga,Doctor,House hold,Medicine / Healthcare,Not Given
210,Hukkeri,Umesh Katti,BJP,52,0.0,144918425.0,17908000.0,Higher Secondary Education,PUC 1st Year Pass From KLE Societies RLS Collage Belgaum In 1980,Belgaum,Agricultural Industrialist,House Wife,Agriculture / Farming,Cound't Classify
211,Karkal,V. Sunill Kumar,BJP,37,1.0,12013319.0,,Graduates,BA (1997),Udupi,Agriculture Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
212,Hirekerur,U. B. Banakar,KJP,53,0.0,14024569.0,300000.0,Graduates,"B.A., LLB",Haveri,Advocate Agriculture,House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify
213,Nanjangud,V.Srinivasa Prasad,INC,64,0.0,38570604.0,2791748.0,Postgraduates,"M.A POLITICAL MANASA GANGOTHRI, MYSORE UNIVERCITY (1987)",Mysore,LPG GAS SUPPLIER,House Wife,Business / Entrepreneurship,Cound't Classify
214,Channagiri,Vadnal Rajanna,INC,61,0.0,163298900.0,2452000.0,Unknown,Unknown,Davangere,Agriculture and Business,Agriculture,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming
215,Raichur Rural,Thipparaja Hawaldar,BJP,36,0.0,8999838.0,44902.0,Graduates,B.Ed FROM GULBARGA UNIVERSITY,Raichur,AGRICULTURE SOCIAL SERVICE,HOUSEWIFE AGRICULTURE,"Agriculture / Farming, Social Work / Activism","Social Work / Activism, Agriculture / Farming"
216,Chamaraja,Vasu,INC,60,3.0,125662258.0,47431000.0,Postgraduates,M.A. Mysore Univercity Mysore 1991-92,Mysore,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify
217,Indi,Yashavantharayagouda Patil,INC,45,3.0,7250000.0,2663000.0,Graduates,JSS COLLEGE DARWAD IN 1987,Bijapur,SELF BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given
218,Saundatti Yellamma,Vishwanath Mamani,BJP,46,0.0,32041091.0,2705471.0,Graduates,"B.Com II from S.V.S. Bellubbi College Saundatti Karnataka University 1986, PUC from S.K. Composiste Jr. College Saundtt in 1984, SSLC from S.K. Composie Jr. College Saundatti in 1982",Belgaum,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify
219,Hungund,Vijayanand Kashappanavar,INC,41,5.0,10121783.0,4270516.0,Unknown,Unknown,Bagalkot,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
220,Kadur,Y.S.V.Datta,JD(S),59,4.0,8212730.0,2300000.0,Graduates,B.Sc,Chikmagalur,Private Teacher,House Wife,Education / Academia,Cound't Classify
221,Bailhongal,Vishwanath Patil,KJP,48,0.0,24147560.0,3722455.0,Doctorates,"Bachelor of Medicine Surgery (M.B.B.S), Jawaharlal Nehru Medical College Belgaum, Dharwad 1992",Belgaum,Agriculture and medical practitioner,Housewife,"Medicine / Healthcare, Agriculture / Farming",Education / Academia
222,Kapu,Vinay Kumar Sorake,INC,58,1.0,15192764.0,4599133.0,Graduates,Karnataka University,Udupi,Social Service,Housewife,Social Work / Activism,Education / Academia
223,Dharwad,Vinay Kulkarni,INC,46,2.0,85627673.0,721943.0,Graduates,B.Sc Agriculture,Dharwad,Agriculture,Milk Dairy,Agriculture / Farming,Agriculture / Farming
